amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.412168, 2.836639, 0.742402, 2.509260, 2.358705, E
1.412168, 2.672082, 0.558108, 2.509260, 2.312952, E
1.412168, 2.658205, 0.403439, 2.509260, 2.064068, E
1.412168, 2.647654, 0.467802, 2.509260, 2.124831, E
1.412168, 2.646832, 0.473813, 2.509260, 2.102606, E
1.412168, 2.655546, 0.418796, 2.509260, 2.040712, E
1.412168, 2.755114, 0.471953, 2.509260, 1.925585, E
1.412168, 2.900212, 0.446252, 2.509260, 1.795556, E
1.412168, 3.062308, 0.470459, 2.509260, 1.746170, E
1.412168, 3.313523, 0.482358, 2.509260, 1.802334, E
1.412168, 3.592194, 0.440303, 2.509260, 1.806667, E
1.412168, 4.294171, 0.644212, 2.509260, 1.296945, E
1.412168, 5.177064, 0.847611, 2.509260, 1.296775, E
1.412168, 6.099326, 0.949704, 2.509260, 1.361571, E
1.412168, 7.540690, 1.334642, 2.509260, 1.121127, E
1.412168, 8.938242, 1.648621, 2.509260, 1.224766, E
1.412168, 10.161554, 1.767372, 2.509260, 1.601155, E
1.412168, 10.625803, 1.469498, 2.509260, 1.832941, E
1.412168, 10.503941, 1.611192, 2.509260, 2.069391, E
1.412168, 10.333496, 1.573549, 2.509260, 2.079594, E
1.412168, 10.044079, 1.603558, 2.509260, 2.167803, E
1.412168, 9.981488, 1.522050, 2.509260, 2.207920, E
1.412168, 9.873757, 1.432832, 2.509260, 2.151883, E
1.412168, 9.957992, 1.512619, 2.509260, 2.105155, E
1.412168, 9.589602, 1.705418, 2.509260, 2.200081, E
1.412168, 9.109100, 1.693872, 2.509260, 2.225201, E
1.412168, 8.897472, 1.463651, 2.509260, 2.195309, E
1.412168, 8.209032, 1.246678, 2.509260, 2.456566, E
1.412168, 7.869643, 1.120426, 2.509260, 2.194854, E
1.412168, 7.616880, 1.081327, 2.509260, 2.285106, E
1.412168, 7.813480, 1.010994, 2.509260, 2.058101, E
1.412168, 8.068370, 1.039015, 2.509260, 1.858422, E
1.412168, 8.548368, 1.368200, 2.509260, 1.803854, E
1.412168, 8.592839, 1.266117, 2.509260, 2.107779, E
1.412168, 9.112120, 1.386305, 2.509260, 1.826759, E
1.412168, 9.802579, 1.641983, 2.509260, 1.731845, E
1.412168, 10.494181, 2.037969, 2.509260, 1.766964, E
1.412168, 11.111745, 1.992694, 2.509260, 1.912491, E
1.412168, 12.306625, 2.019790, 2.509260, 1.740999, E
1.412168, 13.110491, 2.001622, 2.509260, 1.876944, E
1.412168, 14.258911, 2.616468, 2.509260, 1.706068, E
1.412168, 14.934820, 2.317742, 2.509260, 2.007179, E
1.412168, 15.576482, 2.579288, 2.509260, 1.982316, E
1.412168, 16.946573, 2.473001, 2.509260, 1.715906, E
1.412168, 18.977241, 3.124101, 2.509260, 1.716550, E
1.412168, 21.496558, 3.929284, 2.509260, 1.591087, E
1.412168, 24.740305, 3.599460, 2.509260, 1.480464, E
1.412168, 24.751179, 3.660852, 2.509260, 1.958059, E
1.412168, 23.905299, 3.147003, 2.509260, 2.201858, E
1.412168, 22.034113, 3.058814, 2.509260, 2.341561, E
1.412168, 21.378228, 3.335823, 2.509260, 2.107549, E
1.412168, 19.141633, 2.647850, 2.509260, 2.444465, E
1.412168, 17.025006, 2.338398, 2.509260, 2.484168, E
1.412168, 15.552077, 2.340342, 2.509260, 2.344094, E
1.412168, 14.278056, 2.094910, 2.509260, 2.358705, E
1.412168, 13.268313, 1.983151, 2.509260, 2.358705, E
1.412168, 12.217307, 1.799800, 2.509260, 2.358705, E
1.412168, 11.437022, 1.790220, 2.509260, 2.278204, E
1.412168, 10.614561, 1.548340, 2.509260, 2.383797, E
1.412168, 9.962683, 1.385630, 2.509260, 2.317907, E
1.412168, 9.409984, 1.346532, 2.509260, 2.308520, E
1.412168, 8.893882, 1.326987, 2.509260, 2.308520, E
1.412168, 8.445463, 1.060186, 2.509260, 2.333612, E
1.412168, 8.270866, 1.116164, 2.509260, 2.183057, E
1.412168, 8.089866, 1.247491, 2.509260, 2.168446, E
1.412168, 7.853061, 1.135632, 2.509260, 2.208149, E
1.412168, 7.934559, 1.355199, 2.509260, 2.106470, E
1.412168, 8.220256, 1.318810, 2.509260, 1.996912, E
1.412168, 8.699592, 1.390035, 2.509260, 1.932130, E
1.412168, 8.911827, 1.449827, 2.509260, 2.017891, E
1.412168, 9.314603, 1.722398, 2.509260, 1.952451, E
1.412168, 10.088037, 1.994683, 2.509260, 1.792057, E
1.412168, 10.726896, 1.852369, 2.509260, 1.901623, E
1.412168, 11.100771, 1.741816, 2.509260, 1.917520, E
1.412168, 11.752167, 1.775397, 2.509260, 1.840928, E
1.412168, 12.735031, 1.899247, 2.509260, 1.804581, E
1.412168, 14.986015, 2.517668, 2.509260, 1.339747, E
1.412168, 17.752858, 3.066282, 2.509260, 1.364839, E
1.412168, 19.856333, 3.561613, 2.509260, 1.615765, E
1.412168, 20.580202, 3.035565, 2.509260, 1.967062, E
1.412168, 21.967251, 3.311649, 2.509260, 1.847382, E
1.412168, 23.227061, 4.040157, 2.509260, 1.957223, E
1.412168, 23.913708, 3.779644, 2.509260, 2.007408, E
1.412168, 22.674199, 3.223894, 2.509260, 2.358705, E
1.412168, 22.083934, 3.325125, 2.509260, 2.233242, E
1.412168, 21.795074, 3.188855, 2.509260, 2.183057, E
1.412168, 21.569974, 3.354041, 2.509260, 2.207157, E
1.412168, 21.541471, 3.086582, 2.509260, 2.183057, E
1.412168, 20.115056, 3.088827, 2.509260, 2.333612, E
1.412168, 20.046201, 3.395287, 2.509260, 2.082686, E
1.412168, 19.762778, 3.116436, 2.509260, 2.107779, E
1.412168, 20.887523, 4.010193, 2.509260, 1.957223, E
