amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.724490, 3.237088, 0.839677, 2.632789, 2.012438, G
0.724490, 3.478209, 0.656624, 2.632789, 1.984730, G
0.724490, 3.844522, 0.590207, 2.632789, 1.736250, G
0.724490, 4.176378, 0.672316, 2.632789, 1.960632, G
0.724490, 4.579491, 0.619290, 2.632789, 1.715863, G
0.724490, 5.485758, 0.812001, 2.632789, 1.245936, G
0.724490, 6.513606, 0.946202, 2.632789, 1.311599, G
0.724490, 7.663434, 1.200239, 2.632789, 1.358787, G
0.724490, 7.426177, 1.060650, 2.632789, 2.290526, G
0.724490, 6.964721, 0.918028, 2.632789, 2.476065, G
0.724490, 6.736660, 0.962648, 2.632789, 2.199349, G
0.724490, 6.750309, 0.965306, 2.632789, 2.278950, G
0.724490, 7.042994, 1.125019, 2.632789, 2.050448, G
0.724490, 6.878038, 0.918488, 2.632789, 2.264816, G
0.724490, 6.638693, 0.900933, 2.632789, 2.423357, G
0.724490, 6.559454, 0.876658, 2.632789, 2.284901, G
0.724490, 6.572417, 1.106961, 2.632789, 2.222377, G
0.724490, 6.601595, 1.157795, 2.632789, 2.207824, G
0.724490, 6.403879, 0.909110, 2.632789, 2.413136, G
0.724490, 6.392168, 1.005058, 2.632789, 2.178576, G
0.724490, 6.654391, 1.053607, 2.632789, 1.974877, G
0.724490, 7.109674, 1.075889, 2.632789, 1.891889, G
0.724490, 7.392164, 1.192292, 2.632789, 2.023528, G
0.724490, 7.690847, 1.166453, 2.632789, 1.891889, G
0.724490, 8.510748, 1.413753, 2.632789, 1.774803, G
0.724490, 9.474305, 1.759583, 2.632789, 1.711313, G
0.724490, 10.508858, 1.980929, 2.632789, 1.695283, G
0.724490, 11.382173, 2.047728, 2.632789, 1.827459, G
0.724490, 11.381578, 2.253578, 2.632789, 2.264198, G
0.724490, 11.800800, 2.079150, 2.632789, 2.169722, G
0.724490, 12.279932, 2.151449, 2.632789, 2.007049, G
0.724490, 12.746904, 2.062593, 2.632789, 2.090738, G
0.724490, 13.217792, 2.193245, 2.632789, 1.996461, G
0.724490, 13.760464, 2.249834, 2.632789, 1.983074, G
0.724490, 15.325012, 2.898094, 2.632789, 1.736662, G
0.724490, 15.915328, 2.699462, 2.632789, 2.079903, G
0.724490, 16.908728, 2.673171, 2.632789, 1.972239, G
0.724490, 17.591845, 2.702797, 2.632789, 2.114576, G
0.724490, 18.584633, 2.749252, 2.632789, 1.834728, G
0.724490, 18.420937, 2.635525, 2.632789, 2.197600, G
0.724490, 17.236088, 2.496586, 2.632789, 2.501149, G
0.724490, 16.603534, 2.620294, 2.632789, 2.264198, G
0.724490, 16.085733, 2.735844, 2.632789, 2.380208, G
0.724490, 15.373193, 2.581806, 2.632789, 2.423853, G
0.724490, 14.797065, 2.201545, 2.632789, 2.380208, G
0.724490, 14.260302, 2.032250, 2.632789, 2.369510, G
0.724490, 13.716235, 1.861827, 2.632789, 2.460099, G
0.724490, 13.870388, 1.959051, 2.632789, 2.180541, G
0.724490, 14.020839, 1.995753, 2.632789, 2.129573, G
0.724490, 14.871291, 2.458366, 2.632789, 1.934580, G
0.724490, 15.787674, 2.697415, 2.632789, 1.987236, G
0.724490, 16.837651, 2.890214, 2.632789, 1.724408, G
