amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.604186, 0.961148, 2.240037, 1.121753, J
0.726488, 4.357478, 1.034710, 2.240037, 1.033562, J
0.726488, 5.455098, 1.140546, 2.240037, 0.921560, J
0.726488, 6.273277, 1.153872, 2.240037, 1.282651, J
0.726488, 6.067244, 0.934163, 2.240037, 1.956061, J
0.726488, 5.510165, 0.788065, 2.240037, 2.156961, J
0.726488, 5.212762, 0.894540, 2.240037, 2.039268, J
0.726488, 4.781999, 0.766811, 2.240037, 2.052326, J
0.726488, 4.351456, 0.656302, 2.240037, 2.131996, J
0.726488, 4.028927, 0.560173, 2.240037, 2.098398, J
0.726488, 3.745717, 0.512621, 2.240037, 2.105635, J
0.726488, 3.465707, 0.440160, 2.240037, 2.064646, J
0.726488, 3.408677, 0.543203, 2.240037, 1.969299, J
0.726488, 3.319481, 0.479906, 2.240037, 1.942355, J
0.726488, 3.284629, 0.499868, 2.240037, 1.835422, J
0.726488, 3.047256, 0.418067, 2.240037, 2.078682, J
0.726488, 3.085899, 0.456351, 2.240037, 1.764460, J
0.726488, 3.124821, 0.454029, 2.240037, 1.836831, J
0.726488, 3.100922, 0.465893, 2.240037, 1.929117, J
0.726488, 3.304012, 0.558022, 2.240037, 1.593111, J
0.726488, 3.432450, 0.487984, 2.240037, 1.761775, J
0.726488, 3.744131, 0.523379, 2.240037, 1.570094, J
0.726488, 4.078146, 0.616453, 2.240037, 1.582572, J
0.726488, 4.373931, 0.655609, 2.240037, 1.642636, J
0.726488, 4.975261, 0.893909, 2.240037, 1.361870, J
0.726488, 5.735210, 1.071317, 2.240037, 1.262950, J
0.726488, 6.249062, 1.001742, 2.240037, 1.559415, J
0.726488, 6.625082, 0.962058, 2.240037, 1.672791, J
0.726488, 7.355082, 1.300195, 2.240037, 1.447413, J
0.726488, 7.916422, 1.348484, 2.240037, 1.570711, J
0.726488, 8.995184, 1.561821, 2.240037, 1.446417, J
0.726488, 10.012465, 1.741673, 2.240037, 1.436309, J
0.726488, 11.471682, 1.809568, 2.240037, 1.346515, J
0.726488, 13.638395, 2.016103, 2.240037, 1.213487, J
0.726488, 16.332440, 3.033635, 2.240037, 1.168686, J
