amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 2.781534, 0.714643, 2.978407, 11235579135264490.000000, A
0.883466, 2.812142, 0.545003, 2.978407, 15355071347670900000.000000, A
0.883466, 2.916543, 0.545648, 2.978407, 287697819436939580000.000000, A
0.883466, 3.016322, 0.576422, 2.978407, 14858502059876516.000000, A
0.883466, 3.106743, 0.427783, 2.978407, 504404118856729170000.000000, A
0.883466, 3.203536, 0.458153, 2.978407, 68791988988216.580000, A
0.883466, 3.355492, 0.490661, 2.978407, 5459425963788.289000, A
0.883466, 3.449822, 0.485380, 2.978407, 4464082881592.653000, A
0.883466, 3.604895, 0.479132, 2.978407, 841213243744997760.000000, A
0.883466, 3.563858, 0.488956, 2.978407, 503793171719422200000000.000000, A
0.883466, 3.685181, 0.528748, 2.978407, 126912691811171200000.000000, A
0.883466, 3.806267, 0.660733, 2.978407, 2.594712, A
0.883466, 3.834540, 0.532615, 2.978407, 33594220001449550000.000000, A
0.883466, 4.064751, 0.556279, 2.978407, 3083.246199, A
0.883466, 4.115707, 0.521851, 2.978407, 863069.188504, A
0.883466, 3.973019, 0.520841, 2.978407, 1880992.394929, A
0.883466, 3.975414, 0.509419, 2.978407, 2039511423.610515, A
0.883466, 4.237094, 0.649281, 2.978407, 246552535713.334260, A
0.883466, 4.327348, 0.669769, 2.978407, 20422759193.828250, A
0.883466, 4.396743, 0.698593, 2.978407, 1885010738768446.000000, A
0.883466, 4.547736, 0.722243, 2.978407, 8078800820246529.000000, A
0.883466, 4.613678, 0.710178, 2.978407, 6570326687553441.000000, A
0.883466, 4.894792, 0.851298, 2.978407, 67281578192156552.000000, A
0.883466, 5.064637, 0.895494, 2.978407, 8394698102939167.000000, A
0.883466, 5.193144, 0.764433, 2.978407, 25204706.721541, A
0.883466, 5.314223, 0.853993, 2.978407, 32510838493051286000.000000, A
0.883466, 5.453036, 0.754654, 2.978407, 205787354468684352.000000, A
0.883466, 5.580527, 0.744759, 2.978407, 17.680383, A
0.883466, 5.545850, 0.706800, 2.978407, 861190114154170400000.000000, A
0.883466, 5.754495, 0.811439, 2.978407, 6276791715.838934, A
0.883466, 5.880384, 0.892594, 2.978407, 1582707.754037, A
0.883466, 5.969264, 0.813057, 2.978407, 130796517717857984.000000, A
0.883466, 6.034746, 0.878837, 2.978407, 2561049530390599000000.000000, A
0.883466, 6.112199, 0.796984, 2.978407, 0.000000, A
0.883466, 6.514020, 0.894279, 2.978407, 64630406574192224.000000, A
0.883466, 6.906301, 0.915160, 2.978407, 130796509877501152.000000, A
0.883466, 7.345855, 0.964147, 2.978407, 33345200491153535000.000000, A
0.883466, 7.810514, 1.185456, 2.978407, 113406722710304896.000000, A
0.883466, 7.943329, 1.079347, 2.978407, 550154934874223150000.000000, A
0.883466, 8.215638, 1.271305, 2.978407, 5615969841.798044, A
0.883466, 8.577317, 1.533169, 2.978407, 5761908041487013.000000, A
0.883466, 8.869945, 1.396319, 2.978407, 267871252232315700000.000000, A
0.883466, 8.995679, 1.244323, 2.978407, 132631702978206990000.000000, A
0.883466, 9.369859, 1.473923, 2.978407, 32941621532226620000.000000, A
0.883466, 9.963731, 1.419169, 2.978407, 3796242899301870.500000, A
0.883466, 10.201018, 1.467815, 2.978407, 1221330889772474.500000, A
0.883466, 10.530806, 1.370884, 2.978407, 60906871.416989, A
0.883466, 10.992835, 1.430421, 2.978407, 32830226121376600.000000, A
0.883466, 11.201859, 1.574010, 2.978407, 4298085428704867800.000000, A
0.883466, 11.661272, 1.927478, 2.978407, 7582901889989.660000, A
0.883466, 12.051315, 2.045262, 2.978407, 4185492908147319300.000000, A
0.883466, 12.417357, 2.054920, 2.978407, 648830702580941180.000000, A
0.883466, 12.626919, 1.813641, 2.978407, 61969087797599000.000000, A
0.883466, 12.775031, 1.796817, 2.978407, 116122595284391600000.000000, A
0.883466, 13.200558, 1.906662, 2.978407, 14701.548104, A
0.883466, 13.743751, 2.459211, 2.978407, 38906640459828.440000, A
