amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.690001, 2.883645, 0.829689, 1.912332, 20488327268089675000000.000000, B
1.690001, 2.856754, 0.578619, 1.912332, 0.000000, B
1.690001, 2.914359, 0.539991, 1.912332, 0.000000, B
1.690001, 2.978150, 0.477162, 1.912332, 0.000000, B
1.690001, 2.956142, 0.414159, 1.912332, 6924696174.595185, B
1.690001, 3.019119, 0.441581, 1.912332, 0.000000, B
1.690001, 2.940424, 0.458880, 1.912332, 39483.152250, B
1.690001, 2.897095, 0.403027, 1.912332, 36394548.882231, B
1.690001, 2.809906, 0.416359, 1.912332, 74536035985.009770, B
1.690001, 2.758303, 0.453422, 1.912332, 1.965609, B
1.690001, 2.793866, 0.413303, 1.912332, 156313396938035296.000000, B
1.690001, 2.700084, 0.412032, 1.912332, 0.000000, B
1.690001, 2.771590, 0.466130, 1.912332, 0.000000, B
1.690001, 2.821594, 0.399138, 1.912332, 2442396827156800.000000, B
1.690001, 2.891962, 0.454164, 1.912332, 0.000000, B
1.690001, 2.848326, 0.404784, 1.912332, 0.000000, B
1.690001, 2.838847, 0.404925, 1.912332, 0.000000, B
1.690001, 2.786691, 0.447867, 1.912332, 0.000000, B
1.690001, 2.770675, 0.463516, 1.912332, 17704627526261336.000000, B
1.690001, 2.737195, 0.440584, 1.912332, 555.336743, B
1.690001, 2.713096, 0.408084, 1.912332, 631730.435996, B
1.690001, 2.642996, 0.437236, 1.912332, 15.724868, B
1.690001, 2.654117, 0.519247, 1.912332, 0.000000, B
1.690001, 2.626779, 0.506883, 1.912332, 625253587884050560.000000, B
1.690001, 2.620781, 0.417514, 1.912332, 0.000000, B
1.690001, 2.582692, 0.401085, 1.912332, 0.000000, B
1.690001, 2.495536, 0.409472, 1.912332, 290072617390265730000.000000, B
1.690001, 2.492214, 0.330159, 1.912332, 0.000000, B
1.690001, 2.428861, 0.343199, 1.912332, 18564647512977007000000.000000, B
1.690001, 2.378074, 0.348046, 1.912332, 0.000000, B
1.690001, 2.365400, 0.416865, 1.912332, 0.000000, B
1.690001, 2.315231, 0.394851, 1.912332, 16488719.290366, B
1.690001, 2.344699, 0.368841, 1.912332, 0.000000, B
1.690001, 2.330794, 0.411000, 1.912332, 1106539220391333.500000, B
1.690001, 2.294250, 0.386397, 1.912332, 2014.952401, B
1.690001, 2.360428, 0.418399, 1.912332, 0.000000, B
1.690001, 2.431509, 0.424817, 1.912332, 17289675318614.586000, B
1.690001, 2.391225, 0.337825, 1.912332, 0.000000, B
1.690001, 2.385710, 0.339237, 1.912332, 9064769293445804000.000000, B
1.690001, 2.383473, 0.338637, 1.912332, 72789097.641611, B
1.690001, 2.343308, 0.334703, 1.912332, 116291536406057220000.000000, B
1.690001, 2.355909, 0.343067, 1.912332, 9769587308627200.000000, B
1.690001, 2.314651, 0.383404, 1.912332, 67574188762.159030, B
1.690001, 2.278949, 0.329377, 1.912332, 9064769293591381000.000000, B
1.690001, 2.239021, 0.346752, 1.912332, 1055278051.937683, B
1.690001, 2.255176, 0.353601, 1.912332, 17289675318614.586000, B
1.690001, 2.291578, 0.353705, 1.912332, 1250507175504281600.000000, B
1.690001, 2.253060, 0.367373, 1.912332, 283274040420181376.000000, B
1.690001, 2.236682, 0.347129, 1.912332, 0.000000, B
1.690001, 2.225247, 0.371956, 1.912332, 0.000000, B
1.690001, 2.195096, 0.367441, 1.912332, 4303.234605, B
1.690001, 2.134307, 0.358830, 1.912332, 8644837659307.293000, B
1.690001, 2.138088, 0.313460, 1.912332, 0.000000, B
1.690001, 2.119874, 0.355644, 1.912332, 0.000000, B
1.690001, 2.101224, 0.377295, 1.912332, 18634008996.252440, B
1.690001, 2.101380, 0.308200, 1.912332, 0.075308, B
1.690001, 2.072333, 0.325955, 1.912332, 0.000000, B
1.690001, 2.028189, 0.334013, 1.912332, 0.000000, B
1.690001, 2.011340, 0.319155, 1.912332, 1006.391558, B
1.690001, 2.025974, 0.274041, 1.912332, 10244154781731075000000.000000, B
1.690001, 2.110732, 0.331664, 1.912332, 4884793654313600.000000, B
1.690001, 2.117340, 0.383179, 1.912332, 614838389691.715600, B
1.690001, 2.092281, 0.367881, 1.912332, 72789097.641611, B
1.690001, 2.100637, 0.338974, 1.912332, 138317402548916.690000, B
1.690001, 2.044784, 0.306986, 1.912332, 70818510105045344.000000, B
1.690001, 2.055558, 0.304494, 1.912332, 1.083572, B
1.690001, 2.037576, 0.329733, 1.912332, 553269610195666.750000, B
1.690001, 2.029348, 0.350327, 1.912332, 0.000000, B
1.690001, 2.071673, 0.318122, 1.912332, 9769587374582078.000000, B
1.690001, 2.078376, 0.366096, 1.912332, 0.000000, B
1.690001, 2.020729, 0.343856, 1.912332, 2213078440782667.000000, B
1.690001, 2.032897, 0.331497, 1.912332, 327812953015394400000000.000000, B
1.690001, 2.020444, 0.281968, 1.912332, 0.000000, B
1.690001, 1.964704, 0.272745, 1.912332, 0.000000, B
1.690001, 1.976480, 0.298296, 1.912332, 0.000000, B
1.690001, 1.991805, 0.341234, 1.912332, 0.000000, B
1.690001, 2.019943, 0.326943, 1.912332, 1.612281, B
1.690001, 2.018035, 0.315594, 1.912332, 4641161878262885400000.000000, B
1.690001, 1.987182, 0.330312, 1.912332, 0.000000, B
1.690001, 2.067743, 0.355075, 1.912332, 0.000000, B
1.690001, 2.101831, 0.355409, 1.912332, 0.000000, B
1.690001, 2.095618, 0.334670, 1.912332, 0.000000, B
1.690001, 2.025594, 0.319456, 1.912332, 283274040420181376.000000, B
1.690001, 2.001221, 0.303728, 1.912332, 0.000000, B
1.690001, 1.927538, 0.301305, 1.912332, 4426156881934591.500000, B
1.690001, 1.936667, 0.330870, 1.912332, 37129295025954013000000.000000, B
1.690001, 1.957524, 0.340232, 1.912332, 305299603394600.000000, B
1.690001, 1.995895, 0.370608, 1.912332, 85.141961, B
1.690001, 2.028220, 0.358183, 1.912332, 4221112138.333639, B
1.690001, 1.947402, 0.310906, 1.912332, 0.000000, B
1.690001, 1.949884, 0.303595, 1.912332, 0.000000, B
1.690001, 1.968042, 0.312214, 1.912332, 0.000000, B
1.690001, 1.916896, 0.281166, 1.912332, 0.000000, B
1.690001, 1.894219, 0.262804, 1.912332, 15.724868, B
1.690001, 1.900791, 0.314533, 1.912332, 142166.206331, B
1.690001, 1.909080, 0.286024, 1.912332, 2.169284, B
1.690001, 1.891922, 0.275796, 1.912332, 5122077390865537000000.000000, B
1.690001, 1.881713, 0.296082, 1.912332, 0.000000, B
1.690001, 1.841080, 0.261447, 1.912332, 9769587308627200.000000, B
1.690001, 1.791852, 0.223162, 1.912332, 0.000000, B
