amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 3.039063, 0.834219, 2.585320, 413948148858171460.000000, D
1.124094, 3.032120, 0.566756, 2.585320, 181643523010.012540, D
1.124094, 3.012040, 0.484366, 2.585320, 3673588208448739800.000000, D
1.124094, 2.968006, 0.412885, 2.585320, 58934610060739990000.000000, D
1.124094, 2.830074, 0.490271, 2.585320, 1122053630751617.200000, D
1.124094, 2.768414, 0.411738, 2.585320, 1356994485384298500000000.000000, D
1.124094, 2.687500, 0.409945, 2.585320, 0.000000, D
1.124094, 2.602073, 0.392423, 2.585320, 561026824779708.300000, D
1.124094, 2.571870, 0.439950, 2.585320, 9873437699439.447000, D
1.124094, 2.608698, 0.458110, 2.585320, 9628533000.556740, D
1.124094, 2.589828, 0.410756, 2.585320, 58777411335161000000.000000, D
1.124094, 2.555300, 0.365239, 2.585320, 393606370893.981570, D
1.124094, 2.460316, 0.333498, 2.585320, 323532697053771710.000000, D
1.124094, 2.460367, 0.401525, 2.585320, 30756635976412116000000.000000, D
1.124094, 2.442109, 0.372994, 2.585320, 1945033.108249, D
1.124094, 2.370411, 0.369078, 2.585320, 27043136567637758000.000000, D
1.124094, 2.307291, 0.352229, 2.585320, 1207197574.717377, D
1.124094, 2.285503, 0.387737, 2.585320, 4.489918, D
1.124094, 2.294422, 0.370840, 2.585320, 0.000000, D
1.124094, 2.162505, 0.330356, 2.585320, 101.962555, D
1.124094, 2.149576, 0.316398, 2.585320, 6.372660, D
1.124094, 2.154316, 0.402909, 2.585320, 52204.828314, D
1.124094, 2.071463, 0.387012, 2.585320, 0.000000, D
1.124094, 2.017625, 0.313461, 2.585320, 647065394107543420.000000, D
1.124094, 1.988437, 0.298754, 2.585320, 521934281899500.800000, D
1.124094, 1.922665, 0.259726, 2.585320, 6949201258958.210000, D
1.124094, 1.897713, 0.266551, 2.585320, 9198871034.578436, D
1.124094, 1.825176, 0.236255, 2.585320, 6419055086582.400000, D
1.124094, 1.727705, 0.220346, 2.585320, 1931169302471914800000000.000000, D
1.124094, 1.673105, 0.197999, 2.585320, 128419460597994.780000, D
1.124094, 1.645751, 0.216545, 2.585320, 104410.290368, D
