amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.412168, 2.853254, 0.706609, 2.509260, 77088.201789, E
1.412168, 2.724099, 0.566864, 2.509260, 0.000000, E
1.412168, 2.570867, 0.452069, 2.509260, 1944768.557688, E
1.412168, 2.334819, 0.364725, 2.509260, 6336116402269877000000.000000, E
1.412168, 2.166956, 0.314820, 2.509260, 75.288444, E
1.412168, 2.063629, 0.299475, 2.509260, 2612835819805955000000000.000000, E
1.412168, 1.995879, 0.307869, 2.509260, 2514571550828399000000.000000, E
1.412168, 1.845632, 0.327616, 2.509260, 281752732578983680.000000, E
1.412168, 1.704949, 0.273474, 2.509260, 0.000000, E
1.412168, 1.614180, 0.243789, 2.509260, 0.000000, E
1.412168, 1.480762, 0.202460, 2.509260, 20667.344215, E
1.412168, 1.412721, 0.202332, 2.509260, 16015.788552, E
1.412168, 1.336820, 0.187587, 2.509260, 0.000000, E
1.412168, 1.237518, 0.180095, 2.509260, 662182611237491.600000, E
1.412168, 1.133696, 0.175162, 2.509260, 5606787807124547600.000000, E
1.412168, 1.078778, 0.171126, 2.509260, 1724225301605680700000.000000, E
1.412168, 1.015095, 0.177932, 2.509260, 1558048381556009300000000.000000, E
1.412168, 0.960664, 0.170158, 2.509260, 0.000000, E
1.412168, 0.905442, 0.151722, 2.509260, 1969581680039.232400, E
1.412168, 0.847295, 0.129231, 2.509260, 2133039494244606700000000.000000, E
1.412168, 0.808379, 0.146173, 2.509260, 540860072184588350000000.000000, E
1.412168, 0.747598, 0.122129, 2.509260, 0.000000, E
1.412168, 0.711046, 0.099389, 2.509260, 504449216503326.800000, E
1.412168, 0.659679, 0.107931, 2.509260, 592634751516231.500000, E
1.412168, 0.631023, 0.130497, 2.509260, 2541117231784016000000000.000000, E
1.412168, 0.578735, 0.106166, 2.509260, 0.000000, E
1.412168, 0.537236, 0.089129, 2.509260, 0.000000, E
1.412168, 0.499996, 0.087055, 2.509260, 0.000000, E
1.412168, 0.473607, 0.067790, 2.509260, 1781147599141493800000000.000000, E
1.412168, 0.436170, 0.056514, 2.509260, 37816211527845550000000000.000000, E
1.412168, 0.419730, 0.053368, 2.509260, 8804772872925234.000000, E
1.412168, 0.401253, 0.060382, 2.509260, 8804839194212023.000000, E
1.412168, 0.379807, 0.054380, 2.509260, 0.000000, E
1.412168, 0.366711, 0.055178, 2.509260, 484778352638045060.000000, E
1.412168, 0.343359, 0.054375, 2.509260, 3557771123577076000000000.000000, E
1.412168, 0.323769, 0.063337, 2.509260, 360166518.603420, E
1.412168, 0.294511, 0.049120, 2.509260, 0.000000, E
1.412168, 0.274225, 0.045058, 2.509260, 615952364404964.400000, E
1.412168, 0.259978, 0.040727, 2.509260, 202957600.586756, E
1.412168, 0.239448, 0.037274, 2.509260, 377661967411108.250000, E
1.412168, 0.227436, 0.036298, 2.509260, 6187613674063459300.000000, E
1.412168, 0.215115, 0.036413, 2.509260, 0.000000, E
1.412168, 0.204035, 0.035999, 2.509260, 23603872977901.895000, E
1.412168, 0.192119, 0.031719, 2.509260, 1154059189693680600000.000000, E
1.412168, 0.179869, 0.027606, 2.509260, 0.000000, E
1.412168, 0.171232, 0.025341, 2.509260, 62.561674, E
1.412168, 0.165532, 0.025122, 2.509260, 1087431514121.425200, E
1.412168, 0.157255, 0.024526, 2.509260, 7048157254.344265, E
1.412168, 0.154403, 0.025632, 2.509260, 550298304411197.750000, E
1.412168, 0.144714, 0.024951, 2.509260, 1923419878.464553, E
1.412168, 0.135017, 0.020701, 2.509260, 38774371822876220000.000000, E
1.412168, 0.126441, 0.020165, 2.509260, 188830983705549.900000, E
1.412168, 0.121381, 0.018807, 2.509260, 1475242060200.029300, E
1.412168, 0.114530, 0.017770, 2.509260, 1774449138858571600000.000000, E
1.412168, 0.106622, 0.015256, 2.509260, 7337.263525, E
1.412168, 0.097446, 0.013077, 2.509260, 28881374740499472000.000000, E
1.412168, 0.090884, 0.012781, 2.509260, 1000.986785, E
1.412168, 0.084803, 0.012106, 2.509260, 1.050981, E
1.412168, 0.081109, 0.011136, 2.509260, 144445791524.197360, E
1.412168, 0.077205, 0.011941, 2.509260, 33044097275660880000.000000, E
1.412168, 0.070950, 0.009338, 2.509260, 5297460889430349.000000, E
1.412168, 0.066549, 0.009899, 2.509260, 258157009966100640.000000, E
1.412168, 0.060999, 0.008324, 2.509260, 56782372443474290000000.000000, E
1.412168, 0.057765, 0.009178, 2.509260, 0.000000, E
1.412168, 0.055464, 0.008794, 2.509260, 157876854.920264, E
1.412168, 0.052856, 0.008384, 2.509260, 4846796483622199300.000000, E
1.412168, 0.048324, 0.006998, 2.509260, 0.000000, E
1.412168, 0.047110, 0.007502, 2.509260, 1584029100560403700000.000000, E
1.412168, 0.044782, 0.007731, 2.509260, 0.020964, E
1.412168, 0.042021, 0.006648, 2.509260, 0.000000, E
1.412168, 0.039873, 0.006601, 2.509260, 2541117231784016000000000.000000, E
1.412168, 0.036245, 0.005530, 2.509260, 35265085.737479, E
1.412168, 0.033839, 0.004833, 2.509260, 1069535.040242, E
1.412168, 0.032249, 0.004664, 2.509260, 65600820.472753, E
1.412168, 0.030854, 0.004748, 2.509260, 331091305589399.200000, E
1.412168, 0.028763, 0.004460, 2.509260, 0.000000, E
1.412168, 0.026658, 0.004217, 2.509260, 0.000000, E
1.412168, 0.025336, 0.003834, 2.509260, 0.000000, E
1.412168, 0.024072, 0.003746, 2.509260, 773451709257932420.000000, E
1.412168, 0.023036, 0.003520, 2.509260, 1128482743.647294, E
1.412168, 0.021382, 0.003058, 2.509260, 9244530653446.336000, E
1.412168, 0.020035, 0.003103, 2.509260, 0.000000, E
1.412168, 0.019119, 0.003047, 2.509260, 16346551921499187000.000000, E
1.412168, 0.017775, 0.002850, 2.509260, 21982.819739, E
1.412168, 0.016490, 0.002585, 2.509260, 45840854014896704.000000, E
1.412168, 0.015546, 0.002259, 2.509260, 112871255.874179, E
1.412168, 0.014774, 0.002362, 2.509260, 0.000000, E
1.412168, 0.014269, 0.002155, 2.509260, 28.661186, E
1.412168, 0.013111, 0.001840, 2.509260, 0.000000, E
1.412168, 0.012736, 0.001680, 2.509260, 969556705276090110.000000, E
1.412168, 0.012202, 0.001597, 2.509260, 117396.225584, E
1.412168, 0.011394, 0.001472, 2.509260, 2712299975388336100.000000, E
1.412168, 0.010785, 0.001789, 2.509260, 1388700647104179600000.000000, E
1.412168, 0.010376, 0.001680, 2.509260, 34395084691774.273000, E
1.412168, 0.009852, 0.001428, 2.509260, 9526094614406204000000.000000, E
1.412168, 0.009458, 0.001425, 2.509260, 485263038.070510, E
1.412168, 0.008702, 0.001211, 2.509260, 14155883637940945000000.000000, E
1.412168, 0.008084, 0.001204, 2.509260, 396007275140061400000.000000, E
1.412168, 0.007546, 0.001101, 2.509260, 99001820754597040000.000000, E
1.412168, 0.007076, 0.000959, 2.509260, 480854902.353325, E
