amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.478504, 1.000236, 4.986297, 4302626916.310671, F
0.453340, 4.092272, 0.874264, 4.986297, 1213772950.334312, F
0.453340, 4.795216, 0.841316, 4.986297, 3281639338.427651, F
0.453340, 5.592739, 0.793258, 4.986297, 3050246156.293281, F
0.453340, 6.738008, 1.091435, 4.986297, 24713067693.203957, F
0.453340, 7.977731, 1.312413, 4.986297, 14003359.617998, F
0.453340, 9.640513, 1.619575, 4.986297, 810586983.941418, F
0.453340, 11.684745, 1.975255, 4.986297, 268861278.341923, F
0.453340, 13.642182, 2.220417, 4.986297, 18016905844.176025, F
0.453340, 16.105654, 2.584884, 4.986297, 37081831227.062370, F
0.453340, 19.299329, 3.124162, 4.986297, 197082341.555360, F
0.453340, 22.583492, 3.508039, 4.986297, 451015259893.392640, F
0.453340, 27.008996, 4.549279, 4.986297, 5069246985.572701, F
0.453340, 31.458877, 5.164662, 4.986297, 205559428889.114720, F
0.453340, 37.182227, 6.452716, 4.986297, 238485932.161342, F
0.453340, 44.181072, 6.531460, 4.986297, 6958477118.774830, F
0.453340, 52.446968, 7.554062, 4.986297, 119760628726.754960, F
0.453340, 62.796237, 9.294851, 4.986297, 5729014587.207763, F
0.453340, 74.727228, 12.771550, 4.986297, 2066115670.750528, F
0.453340, 88.289709, 14.950812, 4.986297, 77090383.696673, F
0.453340, 103.074416, 14.277072, 4.986297, 6927695.506088, F
0.453340, 122.209302, 18.260673, 4.986297, 63731799415.366135, F
0.453340, 144.427084, 22.789331, 4.986297, 18272400.900159, F
0.453340, 172.574069, 26.744621, 4.986297, 55584711.947833, F
0.453340, 201.132629, 28.562181, 4.986297, 5136421263.773062, F
0.453340, 240.766892, 37.154349, 4.986297, 926491.490307, F
0.453340, 285.055104, 44.104300, 4.986297, 11167758221.201360, F
0.453340, 335.755829, 48.780013, 4.986297, 3372104637.947505, F
0.453340, 393.179288, 56.725808, 4.986297, 150041023709.841800, F
0.453340, 460.166591, 65.541598, 4.986297, 3769684977.449968, F
0.453340, 550.948663, 76.204969, 4.986297, 91925862304.159930, F
0.453340, 652.993428, 100.430568, 4.986297, 26763735551.315500, F
0.453340, 780.169808, 154.565462, 4.986297, 1409500926.294741, F
0.453340, 910.305874, 195.946754, 4.986297, 8887210934.940931, F
0.453340, 1059.100662, 151.481842, 4.986297, 4647317799.823069, F
0.453340, 1245.876201, 175.475469, 4.986297, 61642121777.420230, F
0.453340, 1458.940540, 221.861188, 4.986297, 1167671853.946022, F
0.453340, 1740.487886, 263.527451, 4.986297, 151027709109.086800, F
0.453340, 2070.455751, 345.056436, 4.986297, 90844392918.851470, F
0.453340, 2461.036386, 384.426359, 4.986297, 19899114793.043926, F
0.453340, 2913.893830, 453.073211, 4.986297, 1730859096.249028, F
0.453340, 3405.771871, 484.467816, 4.986297, 481532821.294097, F
0.453340, 3957.471732, 537.384092, 4.986297, 1764517028.638044, F
0.453340, 4660.733242, 748.970146, 4.986297, 67119659.654016, F
0.453340, 5613.216558, 911.181877, 4.986297, 10795356.683109, F
