amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.724490, 3.393271, 0.937383, 2.632789, 16948753676698.092000, G
0.724490, 3.883546, 0.966962, 2.632789, 1833444564515.593800, G
0.724490, 4.416746, 0.875022, 2.632789, 909708886311666.100000, G
0.724490, 4.831797, 0.904187, 2.632789, 22639511461559684.000000, G
0.724490, 5.484946, 1.027842, 2.632789, 0.102325, G
0.724490, 6.065206, 1.084661, 2.632789, 204164302798.105870, G
0.724490, 6.416446, 0.884956, 2.632789, 3794184.101800, G
0.724490, 7.104218, 1.041503, 2.632789, 6476200201469368.000000, G
0.724490, 7.493466, 1.304056, 2.632789, 5659877913641327.000000, G
0.724490, 8.187315, 1.166721, 2.632789, 3754894588244948.000000, G
0.724490, 9.206258, 1.458752, 2.632789, 4544671.030467, G
0.724490, 9.797253, 1.457288, 2.632789, 86364390325.358220, G
0.724490, 10.945380, 1.632486, 2.632789, 117609822712149232.000000, G
0.724490, 11.992899, 1.872171, 2.632789, 2121995244.717457, G
0.724490, 13.347490, 2.215561, 2.632789, 24125727.448939, G
0.724490, 13.810032, 2.087590, 2.632789, 1582234022221.452400, G
0.724490, 15.410172, 2.608217, 2.632789, 221176316.287221, G
0.724490, 16.741591, 2.379079, 2.632789, 0.000000, G
0.724490, 18.825450, 2.625612, 2.632789, 260745301745758656.000000, G
0.724490, 20.488398, 3.216969, 2.632789, 698064952909.076400, G
0.724490, 22.146851, 3.591259, 2.632789, 463.157063, G
0.724490, 23.417888, 3.646767, 2.632789, 7161899107.090139, G
0.724490, 24.665009, 3.692252, 2.632789, 49409486430.057020, G
0.724490, 26.663671, 3.879860, 2.632789, 51809601612229224.000000, G
0.724490, 28.958194, 4.365811, 2.632789, 15019702195059280.000000, G
0.724490, 29.943620, 3.940262, 2.632789, 3754894466810142.500000, G
0.724490, 33.351311, 4.533363, 2.632789, 691216328855137.600000, G
0.724490, 37.755117, 6.260068, 2.632789, 58670227362627.800000, G
0.724490, 41.966841, 7.158839, 2.632789, 3162207129728.495000, G
0.724490, 46.178783, 8.005339, 2.632789, 437127.247780, G
0.724490, 49.445677, 7.890210, 2.632789, 348543.441632, G
0.724490, 50.078757, 7.913082, 2.632789, 69984121857031376.000000, G
0.724490, 53.218849, 8.134910, 2.632789, 1778063874514082820.000000, G
