amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.095922, 0.832239, 4.087576, 1350521602515.057600, H
0.736620, 3.313535, 0.671716, 4.087576, 1007725975360.259500, H
0.736620, 3.530025, 0.552159, 4.087576, 67164266318514.380000, H
0.736620, 3.744168, 0.605837, 4.087576, 136820834423146.450000, H
0.736620, 4.005625, 0.630289, 4.087576, 34381277264901072.000000, H
0.736620, 4.210477, 0.609566, 4.087576, 125077.752815, H
0.736620, 4.344825, 0.621484, 4.087576, 484905597684449.700000, H
0.736620, 4.606501, 0.619922, 4.087576, 423611.548776, H
0.736620, 4.902459, 0.788102, 4.087576, 18633165906048610000.000000, H
0.736620, 5.255689, 0.789683, 4.087576, 106239206181499616.000000, H
0.736620, 5.379778, 0.732390, 4.087576, 1413054.761135, H
0.736620, 5.829601, 0.778802, 4.087576, 257913198530949536.000000, H
0.736620, 6.007031, 0.861143, 4.087576, 683102150453382400.000000, H
0.736620, 6.668502, 0.889282, 4.087576, 4003859.479131, H
0.736620, 7.148387, 1.073163, 4.087576, 51830988534593.560000, H
0.736620, 7.606921, 1.036498, 4.087576, 12266556510314.893000, H
0.736620, 7.899623, 1.043759, 4.087576, 3913071484087898600.000000, H
0.736620, 8.458280, 1.142262, 4.087576, 916667122541682820.000000, H
0.736620, 9.031922, 1.364489, 4.087576, 582286433166771710.000000, H
0.736620, 9.713693, 1.423530, 4.087576, 131924817073996096.000000, H
0.736620, 10.444804, 1.688152, 4.087576, 755391589587808.400000, H
0.736620, 11.188755, 1.687341, 4.087576, 129873544347658160.000000, H
0.736620, 12.005441, 1.787430, 4.087576, 13268731357632218.000000, H
0.736620, 12.660190, 1.920824, 4.087576, 6107393466319246300.000000, H
0.736620, 13.880016, 2.134999, 4.087576, 1376980791882928640.000000, H
0.736620, 14.362620, 2.251256, 4.087576, 1302.746289, H
0.736620, 15.595416, 2.727958, 4.087576, 45801548775640.960000, H
0.736620, 17.040144, 2.845553, 4.087576, 322482940231789760.000000, H
0.736620, 17.499256, 2.306090, 4.087576, 275409957164654496.000000, H
0.736620, 19.024958, 2.926704, 4.087576, 218545503799.598080, H
0.736620, 20.250861, 3.305292, 4.087576, 315928980547165250.000000, H
0.736620, 22.120795, 3.307601, 4.087576, 521179955087.854550, H
0.736620, 23.089156, 4.217963, 4.087576, 6671352417.250136, H
0.736620, 24.723546, 3.977897, 4.087576, 3890425311860250.000000, H
0.736620, 25.709605, 4.397323, 4.087576, 466369.697873, H
0.736620, 27.145996, 6.016915, 4.087576, 2209104.131335, H
0.736620, 28.850288, 5.043032, 4.087576, 545159101818.253300, H
0.736620, 30.744775, 5.102952, 4.087576, 2542845970766439900.000000, H
0.736620, 32.497815, 5.384716, 4.087576, 722138874322919.500000, H
0.736620, 34.927862, 5.001522, 4.087576, 6085485404769886200.000000, H
0.736620, 38.249581, 5.574191, 4.087576, 67476335359967.140000, H
0.736620, 41.589246, 5.304469, 4.087576, 81062386.460086, H
0.736620, 44.318100, 6.358811, 4.087576, 178912305548.931200, H
