amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.280900, 0.796826, 2.240037, 37229868804724704.000000, J
0.726488, 3.672677, 0.739560, 2.240037, 13427787586465052.000000, J
0.726488, 4.059151, 0.644967, 2.240037, 10575427364.205364, J
0.726488, 4.534160, 0.752905, 2.240037, 17646131657.418297, J
0.726488, 4.925715, 0.712132, 2.240037, 4764905337537701900.000000, J
0.726488, 5.221111, 0.759224, 2.240037, 409663475604876030.000000, J
0.726488, 5.792227, 0.844226, 2.240037, 4169596986418735.500000, J
0.726488, 6.243914, 0.959961, 2.240037, 174511220668994.380000, J
0.726488, 6.779522, 1.102423, 2.240037, 66028319.082609, J
0.726488, 7.444086, 1.165419, 2.240037, 9796.631188, J
0.726488, 8.198465, 1.305923, 2.240037, 1209074063152.769500, J
0.726488, 9.035190, 1.375981, 2.240037, 2161279534265.817100, J
0.726488, 9.991644, 1.792311, 2.240037, 65109878406097.310000, J
0.726488, 10.705504, 1.669775, 2.240037, 74467969235565920.000000, J
0.726488, 11.976200, 1.943362, 2.240037, 390685602601.881160, J
0.726488, 13.326436, 2.092529, 2.240037, 491585.254792, J
0.726488, 13.990977, 1.996354, 2.240037, 1080799337383918590.000000, J
0.726488, 15.351141, 2.403673, 2.240037, 71304035.509441, J
0.726488, 16.292096, 2.466812, 2.240037, 16312240030749.588000, J
0.726488, 17.778729, 2.766963, 2.240037, 544992920877848640.000000, J
0.726488, 19.817042, 3.188144, 2.240037, 8442417809.124507, J
0.726488, 22.014662, 3.607216, 2.240037, 135001425278.440500, J
0.726488, 23.384373, 3.528536, 2.240037, 78620182440447312.000000, J
0.726488, 26.065110, 3.578289, 2.240037, 1003592881409556.600000, J
0.726488, 28.152564, 4.056318, 2.240037, 235.434497, J
0.726488, 30.002135, 4.069264, 2.240037, 4322936749842467300.000000, J
0.726488, 32.202281, 4.747020, 2.240037, 2084508577.079281, J
0.726488, 34.124958, 4.791923, 2.240037, 4322937531246095900.000000, J
0.726488, 37.538481, 6.024803, 2.240037, 7863409.202865, J
0.726488, 40.392410, 6.162540, 2.240037, 1062223461541902.500000, J
0.726488, 45.389219, 7.231598, 2.240037, 32750896923688.203000, J
0.726488, 49.358869, 7.244625, 2.240037, 1886042912765.878400, J
0.726488, 54.950513, 8.638666, 2.240037, 200031001712150.000000, J
0.726488, 61.498980, 9.551917, 2.240037, 69651092009617.140000, J
0.726488, 66.031201, 9.829037, 2.240037, 2326456931.645846, J
0.726488, 72.310421, 11.067920, 2.240037, 4167032217803934.500000, J
0.726488, 78.387670, 10.832041, 2.240037, 519301623348.602360, J
0.726488, 87.192911, 14.902434, 2.240037, 546347631560022.250000, J
0.726488, 98.449752, 16.914120, 2.240037, 2563711164492706.000000, J
0.726488, 109.865481, 17.308854, 2.240037, 2296469462870.598000, J
0.726488, 118.273564, 21.060576, 2.240037, 1042400856809007.600000, J
0.726488, 126.896331, 18.147388, 2.240037, 4544103232060.972000, J
0.726488, 137.332035, 20.970734, 2.240037, 37210753387900960.000000, J
0.726488, 149.917773, 25.782758, 2.240037, 68287333151871.300000, J
0.726488, 168.341823, 26.676677, 2.240037, 1369857022932574.500000, J
0.726488, 181.042184, 21.302694, 2.240037, 515334218721.683400, J
0.726488, 193.847297, 23.097826, 2.240037, 6693574515662902.000000, J
0.726488, 210.840725, 25.866053, 2.240037, 410241704245638400.000000, J
0.726488, 226.647861, 34.801448, 2.240037, 568016974214.981700, J
0.726488, 242.339245, 44.014669, 2.240037, 349725151611.511100, J
0.726488, 269.681734, 50.878792, 2.240037, 282338105679.262800, J
0.726488, 302.643847, 50.122716, 2.240037, 1065.535906, J
