amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 3.098825, 0.871122, 2.978407, 1.733612, A
0.883466, 3.022116, 0.629665, 2.978407, 2.436142, A
0.883466, 3.122053, 0.513311, 2.978407, 2.268298, A
0.883466, 3.359047, 0.487435, 2.978407, 2.116776, A
0.883466, 4.195377, 0.657699, 2.978407, 1.150641, A
0.883466, 3.659363, 0.481947, 2.978407, 2.873402, A
0.883466, 3.270158, 0.383851, 2.978407, 2.881524, A
0.883466, 3.468331, 0.461528, 2.978407, 2.185592, A
0.883466, 4.374777, 0.697674, 2.978407, 1.072735, A
0.883466, 3.604268, 0.479178, 2.978407, 2.978407, A
0.883466, 2.935821, 0.381029, 2.978407, 2.978407, A
0.883466, 2.498215, 0.309589, 2.978407, 2.948622, A
0.883466, 2.235208, 0.265058, 2.978407, 2.948622, A
0.883466, 2.158835, 0.312827, 2.978407, 2.729175, A
0.883466, 2.362637, 0.385682, 2.978407, 1.967571, A
0.883466, 2.821456, 0.477821, 2.978407, 1.557094, A
0.883466, 2.633143, 0.408195, 2.978407, 2.685811, A
0.883466, 2.485258, 0.330250, 2.978407, 2.622664, A
0.883466, 2.433848, 0.289026, 2.978407, 2.555338, A
0.883466, 2.803978, 0.374061, 2.978407, 1.553579, A
0.883466, 2.188318, 0.291516, 2.978407, 2.978407, A
0.883466, 1.678047, 0.230222, 2.978407, 2.978407, A
0.883466, 1.290241, 0.188680, 2.978407, 2.978407, A
0.883466, 1.028509, 0.169267, 2.978407, 2.978407, A
0.883466, 0.859226, 0.145095, 2.978407, 2.948622, A
0.883466, 0.746468, 0.115135, 2.978407, 2.917364, A
0.883466, 0.741950, 0.116241, 2.978407, 2.586925, A
0.883466, 0.796372, 0.130349, 2.978407, 2.128419, A
0.883466, 0.991548, 0.149857, 2.978407, 1.030113, A
0.883466, 1.477957, 0.235211, 2.978407, 0.000000, A
0.883466, 1.304001, 0.156583, 2.978407, 2.943037, A
0.883466, 1.136666, 0.114247, 2.978407, 2.978407, A
0.883466, 1.064835, 0.135260, 2.978407, 2.738379, A
0.883466, 1.088031, 0.154391, 2.978407, 2.270446, A
0.883466, 0.972589, 0.110904, 2.978407, 2.799702, A
0.883466, 0.898185, 0.118766, 2.978407, 2.650782, A
0.883466, 0.830968, 0.096915, 2.978407, 2.741764, A
0.883466, 0.831697, 0.114843, 2.978407, 2.501378, A
0.883466, 0.820006, 0.085575, 2.978407, 2.517302, A
0.883466, 0.863780, 0.092359, 2.978407, 2.211216, A
0.883466, 0.752990, 0.083449, 2.978407, 2.889588, A
0.883466, 0.658075, 0.083862, 2.978407, 2.889054, A
0.883466, 0.552957, 0.072768, 2.978407, 2.948622, A
0.883466, 0.501344, 0.061125, 2.978407, 2.799702, A
0.883466, 0.470701, 0.065440, 2.978407, 2.728881, A
0.883466, 0.475483, 0.066908, 2.978407, 2.465836, A
0.883466, 0.507448, 0.074397, 2.978407, 2.197074, A
0.883466, 0.683314, 0.107556, 2.978407, 0.744602, A
0.883466, 0.575204, 0.085480, 2.978407, 2.956402, A
0.883466, 0.463779, 0.066005, 2.978407, 2.978407, A
0.883466, 0.378280, 0.054498, 2.978407, 2.918838, A
0.883466, 0.322406, 0.047874, 2.978407, 2.978407, A
0.883466, 0.283540, 0.043152, 2.978407, 2.859270, A
0.883466, 0.264432, 0.036184, 2.978407, 2.769918, A
0.883466, 0.244995, 0.036350, 2.978407, 2.711806, A
0.883466, 0.258366, 0.036730, 2.978407, 2.276861, A
0.883466, 0.323871, 0.044145, 2.978407, 1.231901, A
0.883466, 0.468232, 0.064225, 2.978407, 0.187603, A
0.883466, 0.364838, 0.044035, 2.978407, 2.978407, A
0.883466, 0.290690, 0.039388, 2.978407, 2.978407, A
0.883466, 0.236272, 0.035194, 2.978407, 2.978407, A
0.883466, 0.199313, 0.031039, 2.978407, 2.948622, A
0.883466, 0.193575, 0.030654, 2.978407, 2.510586, A
0.883466, 0.210005, 0.029836, 2.978407, 1.957017, A
0.883466, 0.290398, 0.042867, 2.978407, 0.445067, A
0.883466, 0.237698, 0.025721, 2.978407, 2.978407, A
0.883466, 0.204892, 0.020962, 2.978407, 2.948622, A
0.883466, 0.188774, 0.020550, 2.978407, 2.717631, A
0.883466, 0.213050, 0.027944, 2.978407, 1.706651, A
0.883466, 0.232324, 0.028888, 2.978407, 1.957272, A
0.883466, 0.179144, 0.022365, 2.978407, 2.978407, A
0.883466, 0.140170, 0.018952, 2.978407, 2.978407, A
0.883466, 0.109649, 0.016356, 2.978407, 2.978407, A
0.883466, 0.088594, 0.014734, 2.978407, 2.978407, A
0.883466, 0.073601, 0.012358, 2.978407, 2.978407, A
0.883466, 0.062702, 0.011782, 2.978407, 2.948622, A
0.883466, 0.053440, 0.009107, 2.978407, 2.948622, A
0.883466, 0.050868, 0.006984, 2.978407, 2.688965, A
0.883466, 0.060306, 0.008733, 2.978407, 1.639579, A
0.883466, 0.079596, 0.012042, 2.978407, 0.746252, A
0.883466, 0.109821, 0.017282, 2.978407, 0.625465, A
0.883466, 0.113235, 0.015873, 2.978407, 2.196771, A
0.883466, 0.095896, 0.011627, 2.978407, 2.948622, A
0.883466, 0.080229, 0.009323, 2.978407, 2.935243, A
0.883466, 0.069281, 0.009402, 2.978407, 2.928073, A
0.883466, 0.063170, 0.008628, 2.978407, 2.859270, A
0.883466, 0.069884, 0.009688, 2.978407, 1.873981, A
0.883466, 0.076096, 0.010687, 2.978407, 1.918055, A
0.883466, 0.074795, 0.009067, 2.978407, 2.620998, A
0.883466, 0.068031, 0.006950, 2.978407, 2.751033, A
0.883466, 0.063107, 0.006961, 2.978407, 2.675352, A
0.883466, 0.064948, 0.007345, 2.978407, 2.258494, A
0.883466, 0.056455, 0.006657, 2.978407, 2.913644, A
0.883466, 0.049616, 0.005347, 2.978407, 2.905481, A
0.883466, 0.047505, 0.006415, 2.978407, 2.695126, A
