amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.690001, 2.747178, 0.865058, 1.912332, 1.721099, B
1.690001, 2.653594, 0.622006, 1.912332, 1.723077, B
1.690001, 2.752941, 0.545387, 1.912332, 1.494188, B
1.690001, 2.864337, 0.499362, 1.912332, 1.493839, B
1.690001, 2.961820, 0.609599, 1.912332, 1.472496, B
1.690001, 3.378294, 0.550519, 1.912332, 1.223613, B
1.690001, 3.996927, 0.714795, 1.912332, 0.973485, B
1.690001, 3.914776, 0.599031, 1.912332, 1.610520, B
1.690001, 3.613782, 0.464285, 1.912332, 1.757966, B
1.690001, 3.419179, 0.390288, 1.912332, 1.728994, B
1.690001, 3.371023, 0.350212, 1.912332, 1.625483, B
1.690001, 3.527163, 0.544065, 1.912332, 1.396003, B
1.690001, 3.537850, 0.511226, 1.912332, 1.606359, B
1.690001, 3.868227, 0.426681, 1.912332, 1.294824, B
1.690001, 3.405902, 0.334051, 1.912332, 1.874086, B
1.690001, 2.886002, 0.290286, 1.912332, 1.874086, B
1.690001, 2.388198, 0.274127, 1.912332, 1.912332, B
1.690001, 2.051213, 0.249894, 1.912332, 1.912332, B
1.690001, 1.807249, 0.226819, 1.912332, 1.835839, B
1.690001, 1.656949, 0.215916, 1.912332, 1.749649, B
1.690001, 1.740624, 0.301280, 1.912332, 1.463079, B
1.690001, 1.884499, 0.291181, 1.912332, 1.428780, B
1.690001, 2.014765, 0.290807, 1.912332, 1.432664, B
1.690001, 2.013035, 0.254352, 1.912332, 1.614833, B
1.690001, 1.959805, 0.271343, 1.912332, 1.701976, B
1.690001, 1.753962, 0.215207, 1.912332, 1.854962, B
1.690001, 1.642236, 0.206307, 1.912332, 1.785343, B
1.690001, 1.489155, 0.168940, 1.912332, 1.820368, B
1.690001, 1.411586, 0.156463, 1.912332, 1.776811, B
1.690001, 1.300547, 0.138813, 1.912332, 1.797592, B
1.690001, 1.169289, 0.124100, 1.912332, 1.896540, B
1.690001, 1.181451, 0.152986, 1.912332, 1.649088, B
1.690001, 1.215322, 0.173017, 1.912332, 1.529866, B
1.690001, 1.104042, 0.158409, 1.912332, 1.835839, B
1.690001, 0.914775, 0.121541, 1.912332, 1.912332, B
1.690001, 0.743334, 0.096552, 1.912332, 1.912332, B
1.690001, 0.637669, 0.080248, 1.912332, 1.908909, B
1.690001, 0.616124, 0.084836, 1.912332, 1.663430, B
1.690001, 0.664812, 0.088680, 1.912332, 1.319833, B
1.690001, 0.821852, 0.111077, 1.912332, 0.843357, B
1.690001, 0.771811, 0.098951, 1.912332, 1.756398, B
1.690001, 0.652622, 0.085192, 1.912332, 1.912332, B
1.690001, 0.571660, 0.072199, 1.912332, 1.893209, B
1.690001, 0.497316, 0.065268, 1.912332, 1.893209, B
1.690001, 0.459815, 0.069161, 1.912332, 1.759346, B
1.690001, 0.437598, 0.059056, 1.912332, 1.781036, B
1.690001, 0.438727, 0.062904, 1.912332, 1.661009, B
1.690001, 0.492891, 0.075946, 1.912332, 1.250538, B
1.690001, 0.588208, 0.096537, 1.912332, 0.998802, B
1.690001, 0.489209, 0.069262, 1.912332, 1.912332, B
1.690001, 0.420565, 0.049799, 1.912332, 1.912332, B
1.690001, 0.358884, 0.047884, 1.912332, 1.877361, B
1.690001, 0.324305, 0.044239, 1.912332, 1.835839, B
1.690001, 0.312020, 0.043090, 1.912332, 1.714597, B
1.690001, 0.348358, 0.047944, 1.912332, 1.162404, B
1.690001, 0.485859, 0.065471, 1.912332, 0.344220, B
1.690001, 0.397890, 0.045720, 1.912332, 1.912332, B
1.690001, 0.319623, 0.038056, 1.912332, 1.912332, B
1.690001, 0.261597, 0.038725, 1.912332, 1.912332, B
1.690001, 0.221108, 0.035889, 1.912332, 1.874086, B
1.690001, 0.189018, 0.031736, 1.912332, 1.893209, B
1.690001, 0.163405, 0.024587, 1.912332, 1.912332, B
1.690001, 0.150446, 0.020814, 1.912332, 1.797592, B
1.690001, 0.146445, 0.024494, 1.912332, 1.718292, B
1.690001, 0.150154, 0.025591, 1.912332, 1.511966, B
1.690001, 0.163787, 0.024598, 1.912332, 1.223893, B
1.690001, 0.184332, 0.027496, 1.912332, 1.166523, B
1.690001, 0.204106, 0.030168, 1.912332, 1.281263, B
1.690001, 0.228911, 0.033212, 1.912332, 1.237419, B
1.690001, 0.189781, 0.025674, 1.912332, 1.912332, B
1.690001, 0.158259, 0.018439, 1.912332, 1.912332, B
1.690001, 0.137058, 0.017769, 1.912332, 1.876251, B
1.690001, 0.131442, 0.017729, 1.912332, 1.697447, B
1.690001, 0.146459, 0.021223, 1.912332, 1.271130, B
1.690001, 0.185317, 0.028234, 1.912332, 0.736624, B
1.690001, 0.160532, 0.018919, 1.912332, 1.901683, B
1.690001, 0.127179, 0.014400, 1.912332, 1.912332, B
1.690001, 0.102561, 0.013238, 1.912332, 1.912332, B
1.690001, 0.084264, 0.011022, 1.912332, 1.912332, B
1.690001, 0.073292, 0.011075, 1.912332, 1.854962, B
1.690001, 0.067370, 0.010157, 1.912332, 1.811839, B
1.690001, 0.078473, 0.013389, 1.912332, 1.077838, B
1.690001, 0.104112, 0.016317, 1.912332, 0.558565, B
1.690001, 0.088138, 0.011818, 1.912332, 1.877222, B
1.690001, 0.075447, 0.009993, 1.912332, 1.891829, B
1.690001, 0.064941, 0.008340, 1.912332, 1.874086, B
1.690001, 0.058690, 0.007850, 1.912332, 1.808588, B
1.690001, 0.065470, 0.009475, 1.912332, 1.178719, B
1.690001, 0.081111, 0.011255, 1.912332, 0.702544, B
1.690001, 0.072931, 0.009124, 1.912332, 1.840943, B
1.690001, 0.062478, 0.007117, 1.912332, 1.912332, B
1.690001, 0.053568, 0.006057, 1.912332, 1.859231, B
1.690001, 0.046358, 0.005396, 1.912332, 1.891764, B
1.690001, 0.040940, 0.005524, 1.912332, 1.874086, B
1.690001, 0.037120, 0.004516, 1.912332, 1.874086, B
1.690001, 0.036151, 0.004659, 1.912332, 1.640312, B
1.690001, 0.036764, 0.006034, 1.912332, 1.510743, B
1.690001, 0.040073, 0.006874, 1.912332, 1.319509, B
1.690001, 0.040164, 0.005651, 1.912332, 1.663729, B
1.690001, 0.035583, 0.004354, 1.912332, 1.893209, B
