amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.793129, 3.051666, 0.729375, 2.021896, 1.708236, C
0.793129, 2.870450, 0.558835, 2.021896, 1.876709, C
0.793129, 2.946605, 0.462433, 2.021896, 1.604663, C
0.793129, 3.251879, 0.584910, 2.021896, 1.448036, C
0.793129, 4.168196, 0.801863, 2.021896, 0.769292, C
0.793129, 3.805926, 0.579566, 2.021896, 1.941020, C
0.793129, 3.569238, 0.485966, 2.021896, 1.860144, C
0.793129, 3.664350, 0.518545, 2.021896, 1.577079, C
0.793129, 3.989407, 0.499919, 2.021896, 1.435546, C
0.793129, 3.678960, 0.442965, 2.021896, 1.881468, C
0.793129, 3.347186, 0.463352, 2.021896, 1.961239, C
0.793129, 3.268514, 0.413186, 2.021896, 1.841030, C
0.793129, 3.476282, 0.517573, 2.021896, 1.424524, C
0.793129, 3.958488, 0.622105, 2.021896, 1.273794, C
0.793129, 3.368329, 0.442174, 2.021896, 2.017270, C
0.793129, 2.780113, 0.307569, 2.021896, 2.021896, C
0.793129, 2.267368, 0.270628, 2.021896, 2.021896, C
0.793129, 1.870699, 0.261222, 2.021896, 2.021896, C
0.793129, 1.546357, 0.240261, 2.021896, 2.021896, C
0.793129, 1.318021, 0.208913, 2.021896, 2.001677, C
0.793129, 1.196859, 0.184403, 2.021896, 1.920801, C
0.793129, 1.033597, 0.152645, 2.021896, 2.001677, C
0.793129, 0.929384, 0.146779, 2.021896, 1.920801, C
0.793129, 0.916843, 0.125198, 2.021896, 1.687450, C
0.793129, 1.016678, 0.147776, 2.021896, 1.325673, C
0.793129, 1.335287, 0.176094, 2.021896, 0.586225, C
0.793129, 1.889375, 0.279215, 2.021896, 0.233481, C
0.793129, 1.583360, 0.178966, 2.021896, 2.021896, C
0.793129, 1.308031, 0.155357, 2.021896, 2.015441, C
0.793129, 1.112676, 0.142081, 2.021896, 2.001677, C
0.793129, 0.964328, 0.138869, 2.021896, 1.961239, C
0.793129, 0.874288, 0.116905, 2.021896, 1.959671, C
0.793129, 0.898436, 0.119121, 2.021896, 1.610157, C
0.793129, 1.051454, 0.147687, 2.021896, 1.128821, C
0.793129, 1.070085, 0.117820, 2.021896, 1.627198, C
0.793129, 1.058989, 0.131251, 2.021896, 1.686301, C
0.793129, 0.851193, 0.097922, 2.021896, 2.021896, C
0.793129, 0.720667, 0.089985, 2.021896, 2.001677, C
0.793129, 0.612975, 0.086729, 2.021896, 2.001677, C
0.793129, 0.538702, 0.072378, 2.021896, 1.981458, C
0.793129, 0.486705, 0.071589, 2.021896, 1.944396, C
0.793129, 0.451755, 0.071607, 2.021896, 1.826187, C
0.793129, 0.444096, 0.056191, 2.021896, 1.743197, C
0.793129, 0.464440, 0.065482, 2.021896, 1.536641, C
0.793129, 0.494634, 0.064164, 2.021896, 1.475984, C
0.793129, 0.598711, 0.081296, 2.021896, 0.953564, C
0.793129, 0.573759, 0.069738, 2.021896, 1.819706, C
0.793129, 0.536336, 0.063075, 2.021896, 1.829472, C
0.793129, 0.534131, 0.067472, 2.021896, 1.779268, C
0.793129, 0.472740, 0.056127, 2.021896, 2.006645, C
0.793129, 0.438310, 0.048205, 2.021896, 1.894454, C
0.793129, 0.427860, 0.047979, 2.021896, 1.770483, C
0.793129, 0.446743, 0.053739, 2.021896, 1.561410, C
0.793129, 0.462622, 0.059100, 2.021896, 1.583446, C
0.793129, 0.415692, 0.049982, 2.021896, 1.956536, C
0.793129, 0.373462, 0.041505, 2.021896, 1.948268, C
0.793129, 0.342082, 0.045959, 2.021896, 1.900582, C
0.793129, 0.311009, 0.041823, 2.021896, 1.932243, C
0.793129, 0.304473, 0.042545, 2.021896, 1.746872, C
0.793129, 0.300721, 0.040885, 2.021896, 1.686098, C
0.793129, 0.357962, 0.053036, 2.021896, 0.908139, C
0.793129, 0.329604, 0.041414, 2.021896, 1.935051, C
0.793129, 0.287002, 0.036192, 2.021896, 1.981458, C
0.793129, 0.256354, 0.031969, 2.021896, 1.945584, C
0.793129, 0.246107, 0.034466, 2.021896, 1.831117, C
0.793129, 0.245204, 0.035339, 2.021896, 1.626613, C
0.793129, 0.225023, 0.029557, 2.021896, 1.841107, C
0.793129, 0.208767, 0.023833, 2.021896, 1.911073, C
0.793129, 0.184391, 0.021326, 2.021896, 1.981458, C
0.793129, 0.171149, 0.022122, 2.021896, 1.900582, C
0.793129, 0.167264, 0.020538, 2.021896, 1.678173, C
0.793129, 0.195573, 0.030694, 2.021896, 1.139431, C
0.793129, 0.188888, 0.025160, 2.021896, 1.823947, C
0.793129, 0.171486, 0.024661, 2.021896, 1.860144, C
0.793129, 0.157422, 0.022524, 2.021896, 1.870155, C
0.793129, 0.169096, 0.025457, 2.021896, 1.455534, C
0.793129, 0.138868, 0.019096, 2.021896, 2.021896, C
0.793129, 0.114564, 0.014354, 2.021896, 2.001677, C
0.793129, 0.095304, 0.013533, 2.021896, 2.001677, C
0.793129, 0.081615, 0.012472, 2.021896, 2.021896, C
0.793129, 0.073723, 0.010793, 2.021896, 1.960655, C
0.793129, 0.070843, 0.009783, 2.021896, 1.816936, C
0.793129, 0.079464, 0.011818, 2.021896, 1.290222, C
0.793129, 0.100393, 0.014371, 2.021896, 0.822041, C
0.793129, 0.082440, 0.010215, 2.021896, 2.021896, C
0.793129, 0.068421, 0.008622, 2.021896, 2.001677, C
0.793129, 0.057773, 0.007579, 2.021896, 2.021896, C
0.793129, 0.052581, 0.008456, 2.021896, 1.918527, C
0.793129, 0.050019, 0.008448, 2.021896, 1.819706, C
0.793129, 0.047665, 0.009104, 2.021896, 1.860144, C
0.793129, 0.045716, 0.007282, 2.021896, 1.818839, C
0.793129, 0.047465, 0.006901, 2.021896, 1.490517, C
0.793129, 0.055386, 0.008368, 2.021896, 1.170312, C
0.793129, 0.059817, 0.008823, 2.021896, 1.462456, C
0.793129, 0.051126, 0.007178, 2.021896, 2.001677, C
0.793129, 0.041922, 0.006088, 2.021896, 2.021896, C
0.793129, 0.035273, 0.004919, 2.021896, 2.021896, C
0.793129, 0.029885, 0.004409, 2.021896, 2.001677, C
0.793129, 0.025972, 0.003707, 2.021896, 1.981458, C
0.793129, 0.024829, 0.003275, 2.021896, 1.866488, C
