amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.412168, 3.167935, 0.838985, 2.509260, 1.958282, E
1.412168, 3.082629, 0.546976, 2.509260, 2.036140, E
1.412168, 3.186790, 0.367941, 2.509260, 1.830652, E
1.412168, 4.593574, 0.601228, 2.509260, 0.175959, E
1.412168, 3.604328, 0.478049, 2.509260, 2.509260, E
1.412168, 2.822825, 0.398827, 2.509260, 2.509260, E
1.412168, 2.245377, 0.352129, 2.509260, 2.509260, E
1.412168, 1.810920, 0.298964, 2.509260, 2.509260, E
1.412168, 1.505526, 0.249884, 2.509260, 2.509260, E
1.412168, 1.339775, 0.234630, 2.509260, 2.433983, E
1.412168, 1.211302, 0.239065, 2.509260, 2.459075, E
1.412168, 1.194309, 0.186649, 2.509260, 2.107779, E
1.412168, 1.270071, 0.183640, 2.509260, 1.816091, E
1.412168, 1.461154, 0.228536, 2.509260, 1.530373, E
1.412168, 1.713645, 0.282511, 2.509260, 1.405186, E
1.412168, 2.147698, 0.374356, 2.509260, 1.047075, E
1.412168, 2.972260, 0.527042, 2.509260, 0.446873, E
1.412168, 2.772311, 0.418805, 2.509260, 2.351384, E
1.412168, 2.528335, 0.316822, 2.509260, 2.397711, E
1.412168, 2.234596, 0.267938, 2.509260, 2.421159, E
1.412168, 1.931649, 0.225277, 2.509260, 2.433983, E
1.412168, 1.740043, 0.212696, 2.509260, 2.371270, E
1.412168, 1.862685, 0.269710, 2.509260, 1.707071, E
1.412168, 2.249685, 0.303594, 2.509260, 1.089143, E
1.412168, 1.903320, 0.226146, 2.509260, 2.484168, E
1.412168, 1.618012, 0.202080, 2.509260, 2.459075, E
1.412168, 1.366393, 0.173551, 2.509260, 2.459075, E
1.412168, 1.211761, 0.154191, 2.509260, 2.459075, E
1.412168, 1.064580, 0.137184, 2.509260, 2.459075, E
1.412168, 1.005569, 0.129159, 2.509260, 2.389022, E
1.412168, 1.056200, 0.151186, 2.509260, 1.957223, E
1.412168, 1.215611, 0.204425, 2.509260, 1.455371, E
1.412168, 1.250188, 0.186171, 2.509260, 1.950866, E
1.412168, 1.061809, 0.130118, 2.509260, 2.509260, E
1.412168, 0.902940, 0.109971, 2.509260, 2.509260, E
1.412168, 0.819806, 0.107085, 2.509260, 2.382266, E
1.412168, 0.796093, 0.110679, 2.509260, 2.190712, E
1.412168, 0.811519, 0.122688, 2.509260, 2.103620, E
