amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 2.971740, 0.655326, 4.042147, 2.895881, I
0.688203, 3.641422, 0.707370, 4.042147, 1.567481, I
0.688203, 4.563803, 0.731718, 4.042147, 1.379347, I
0.688203, 3.598809, 0.542968, 4.042147, 4.042147, I
0.688203, 2.888981, 0.412576, 4.042147, 4.042147, I
0.688203, 2.393938, 0.320567, 4.042147, 4.042147, I
0.688203, 2.160414, 0.309525, 4.042147, 3.874132, I
0.688203, 2.479833, 0.433028, 4.042147, 2.124347, I
0.688203, 3.701276, 0.682760, 4.042147, 0.000000, I
0.688203, 4.814396, 0.692156, 4.042147, 1.067038, I
0.688203, 4.144430, 0.486069, 4.042147, 3.969389, I
0.688203, 3.988724, 0.449976, 4.042147, 3.325540, I
0.688203, 4.320894, 0.551303, 4.042147, 2.613822, I
0.688203, 3.748712, 0.448230, 4.042147, 4.001725, I
0.688203, 3.248393, 0.327418, 4.042147, 4.028748, I
0.688203, 2.812273, 0.288524, 4.042147, 4.028738, I
0.688203, 2.434820, 0.290892, 4.042147, 3.971650, I
0.688203, 2.242418, 0.269902, 4.042147, 3.823833, I
0.688203, 2.598216, 0.362290, 4.042147, 2.200965, I
0.688203, 2.311072, 0.242800, 4.042147, 3.916342, I
0.688203, 2.240650, 0.261423, 4.042147, 3.585385, I
0.688203, 2.405636, 0.296002, 4.042147, 2.651977, I
0.688203, 2.176900, 0.244824, 4.042147, 3.743775, I
0.688203, 1.857031, 0.187318, 4.042147, 3.968017, I
0.688203, 1.746485, 0.214260, 4.042147, 3.714246, I
0.688203, 1.952116, 0.259223, 4.042147, 2.468588, I
0.688203, 1.782328, 0.182895, 4.042147, 3.716407, I
0.688203, 1.569138, 0.151373, 4.042147, 3.851245, I
0.688203, 1.353748, 0.135112, 4.042147, 3.969224, I
0.688203, 1.305127, 0.146877, 4.042147, 3.592055, I
0.688203, 1.490660, 0.217505, 4.042147, 2.246741, I
0.688203, 1.257915, 0.167958, 4.042147, 4.001725, I
0.688203, 1.061769, 0.145374, 4.042147, 3.959485, I
0.688203, 1.015719, 0.152672, 4.042147, 3.343851, I
0.688203, 1.054557, 0.160312, 4.042147, 2.968254, I
0.688203, 1.010700, 0.118447, 4.042147, 3.494081, I
0.688203, 0.866025, 0.090763, 4.042147, 3.865542, I
0.688203, 0.785535, 0.089054, 4.042147, 3.776555, I
