amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.621577, 0.967343, 2.240037, 1.185973, J
0.726488, 3.689966, 0.750713, 2.240037, 1.837370, J
0.726488, 3.400534, 0.571320, 2.240037, 2.111397, J
0.726488, 3.078206, 0.450175, 2.240037, 2.141482, J
0.726488, 3.076682, 0.500416, 2.240037, 1.841870, J
0.726488, 3.481413, 0.458129, 2.240037, 1.199309, J
0.726488, 4.723339, 0.621334, 2.240037, 0.447754, J
0.726488, 4.145740, 0.481993, 2.240037, 2.117714, J
0.726488, 3.316838, 0.346293, 2.240037, 2.240037, J
0.726488, 2.658148, 0.312410, 2.240037, 2.240037, J
0.726488, 2.246197, 0.318072, 2.240037, 2.240037, J
0.726488, 1.991295, 0.314788, 2.240037, 2.163511, J
0.726488, 1.803442, 0.262686, 2.240037, 2.128780, J
0.726488, 1.730722, 0.245743, 2.240037, 2.058027, J
0.726488, 1.818147, 0.256823, 2.240037, 1.633913, J
0.726488, 2.137462, 0.330705, 2.240037, 1.181404, J
0.726488, 2.616972, 0.389631, 2.240037, 1.059101, J
0.726488, 3.048826, 0.480452, 2.240037, 1.253012, J
0.726488, 2.500988, 0.360352, 2.240037, 2.240037, J
0.726488, 2.006137, 0.299810, 2.240037, 2.240037, J
0.726488, 1.661891, 0.257393, 2.240037, 2.240037, J
0.726488, 1.417957, 0.220161, 2.240037, 2.240037, J
0.726488, 1.254470, 0.191640, 2.240037, 2.133372, J
0.726488, 1.212700, 0.207788, 2.240037, 1.942310, J
0.726488, 1.301822, 0.167924, 2.240037, 1.604448, J
0.726488, 1.538001, 0.214526, 2.240037, 1.209620, J
0.726488, 1.775969, 0.234267, 2.240037, 1.333807, J
0.726488, 1.705457, 0.192858, 2.240037, 2.016105, J
0.726488, 1.358034, 0.140601, 2.240037, 2.240037, J
0.726488, 1.099364, 0.135827, 2.240037, 2.240037, J
0.726488, 0.885891, 0.129604, 2.240037, 2.240037, J
0.726488, 0.758914, 0.123344, 2.240037, 2.217637, J
0.726488, 0.639498, 0.106270, 2.240037, 2.240037, J
0.726488, 0.564813, 0.084961, 2.240037, 2.195237, J
0.726488, 0.522684, 0.086626, 2.240037, 2.089512, J
0.726488, 0.514394, 0.085042, 2.240037, 1.973239, J
0.726488, 0.578373, 0.099581, 2.240037, 1.425074, J
0.726488, 0.598159, 0.087161, 2.240037, 1.836831, J
0.726488, 0.766926, 0.127608, 2.240037, 0.854365, J
0.726488, 0.851049, 0.131533, 2.240037, 1.401699, J
0.726488, 0.756054, 0.099036, 2.240037, 2.165083, J
0.726488, 0.648821, 0.077299, 2.240037, 2.195237, J
0.726488, 0.594781, 0.073843, 2.240037, 2.075301, J
0.726488, 0.573048, 0.070661, 2.240037, 1.985339, J
0.726488, 0.549727, 0.074381, 2.240037, 2.029880, J
0.726488, 0.536946, 0.077513, 2.240037, 1.854212, J
0.726488, 0.547467, 0.070291, 2.240037, 1.751968, J
0.726488, 0.586701, 0.077496, 2.240037, 1.601029, J
0.726488, 0.569030, 0.082143, 2.240037, 1.993633, J
0.726488, 0.518912, 0.063523, 2.240037, 2.108320, J
0.726488, 0.530297, 0.070382, 2.240037, 1.775797, J
0.726488, 0.488146, 0.049791, 2.240037, 2.104779, J
0.726488, 0.481194, 0.061247, 2.240037, 1.953729, J
0.726488, 0.441817, 0.053371, 2.240037, 2.104226, J
0.726488, 0.390575, 0.043410, 2.240037, 2.175521, J
0.726488, 0.387495, 0.054165, 2.240037, 1.816299, J
0.726488, 0.406245, 0.057585, 2.240037, 1.703702, J
0.726488, 0.341299, 0.043696, 2.240037, 2.217637, J
0.726488, 0.289031, 0.038403, 2.240037, 2.217637, J
0.726488, 0.260352, 0.035923, 2.240037, 2.105635, J
0.726488, 0.238513, 0.029596, 2.240037, 2.161229, J
0.726488, 0.242304, 0.039297, 2.240037, 1.807814, J
0.726488, 0.286230, 0.042390, 2.240037, 1.197732, J
0.726488, 0.330299, 0.044517, 2.240037, 1.298236, J
0.726488, 0.262681, 0.032160, 2.240037, 2.240037, J
0.726488, 0.208607, 0.024818, 2.240037, 2.240037, J
0.726488, 0.167424, 0.023208, 2.240037, 2.240037, J
0.726488, 0.136090, 0.021063, 2.240037, 2.240037, J
0.726488, 0.114662, 0.018213, 2.240037, 2.240037, J
0.726488, 0.096480, 0.015465, 2.240037, 2.237830, J
0.726488, 0.088085, 0.013686, 2.240037, 2.105635, J
0.726488, 0.084202, 0.013276, 2.240037, 2.050903, J
0.726488, 0.092087, 0.016907, 2.240037, 1.493604, J
0.726488, 0.101872, 0.018050, 2.240037, 1.531070, J
0.726488, 0.121285, 0.022603, 2.240037, 1.260321, J
0.726488, 0.136412, 0.020071, 2.240037, 1.425528, J
0.726488, 0.159165, 0.023440, 2.240037, 1.173085, J
0.726488, 0.129889, 0.017409, 2.240037, 2.240037, J
0.726488, 0.104774, 0.013423, 2.240037, 2.240037, J
0.726488, 0.088655, 0.011460, 2.240037, 2.240037, J
0.726488, 0.077216, 0.011207, 2.240037, 2.189199, J
0.726488, 0.074169, 0.010678, 2.240037, 1.981975, J
0.726488, 0.083419, 0.012752, 2.240037, 1.446773, J
0.726488, 0.088912, 0.014336, 2.240037, 1.724829, J
0.726488, 0.083727, 0.010600, 2.240037, 2.065170, J
