amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 2.926128, 0.769075, 2.585320, 2.291751, D
1.124094, 2.888762, 0.490129, 2.585320, 2.072545, D
1.124094, 3.119990, 0.483861, 2.585320, 1.760190, D
1.124094, 3.651425, 0.604241, 2.585320, 1.385196, D
1.124094, 3.956628, 0.577246, 2.585320, 1.748545, D
1.124094, 4.011526, 0.467752, 2.585320, 1.948264, D
1.124094, 4.085207, 0.541014, 2.585320, 1.984561, D
1.124094, 3.959039, 0.438091, 2.585320, 2.230614, D
1.124094, 3.683053, 0.410316, 2.585320, 2.375409, D
1.124094, 3.548396, 0.425907, 2.585320, 2.220660, D
1.124094, 3.514843, 0.401142, 2.585320, 2.122719, D
1.124094, 4.586854, 0.614918, 2.585320, 0.669115, D
1.124094, 3.678951, 0.452978, 2.585320, 2.585320, D
1.124094, 3.048734, 0.380800, 2.585320, 2.585320, D
1.124094, 2.682247, 0.347771, 2.585320, 2.533613, D
1.124094, 2.374330, 0.350511, 2.585320, 2.456054, D
1.124094, 2.188220, 0.336910, 2.585320, 2.481907, D
1.124094, 2.194579, 0.356578, 2.585320, 2.254158, D
1.124094, 2.258256, 0.322058, 2.585320, 1.938990, D
1.124094, 2.229927, 0.276274, 2.585320, 2.234056, D
1.124094, 2.403270, 0.334918, 2.585320, 1.807064, D
1.124094, 2.228112, 0.343608, 2.585320, 2.430200, D
1.124094, 2.158712, 0.276145, 2.585320, 2.316541, D
1.124094, 2.109697, 0.277400, 2.585320, 2.251393, D
1.124094, 2.027641, 0.235683, 2.585320, 2.290489, D
1.124094, 1.832192, 0.229326, 2.585320, 2.427659, D
1.124094, 1.564683, 0.200701, 2.585320, 2.559466, D
1.124094, 1.389686, 0.191407, 2.585320, 2.507760, D
1.124094, 1.367126, 0.180754, 2.585320, 2.179979, D
1.124094, 1.322256, 0.156745, 2.585320, 2.202680, D
1.124094, 1.371526, 0.178298, 2.585320, 2.083727, D
1.124094, 1.285882, 0.184850, 2.585320, 2.289738, D
1.124094, 1.175703, 0.143901, 2.585320, 2.475188, D
1.124094, 1.036471, 0.130988, 2.585320, 2.533613, D
1.124094, 1.043502, 0.149559, 2.585320, 2.165952, D
1.124094, 1.017517, 0.147050, 2.585320, 2.268798, D
1.124094, 0.886762, 0.107125, 2.585320, 2.507760, D
1.124094, 0.756608, 0.079874, 2.585320, 2.559466, D
1.124094, 0.658515, 0.071927, 2.585320, 2.507760, D
1.124094, 0.608138, 0.081757, 2.585320, 2.481907, D
1.124094, 0.617517, 0.085666, 2.585320, 2.104759, D
1.124094, 0.724100, 0.117250, 2.585320, 1.510948, D
1.124094, 0.754724, 0.106600, 2.585320, 1.887222, D
1.124094, 0.677439, 0.084701, 2.585320, 2.456054, D
1.124094, 0.574214, 0.062511, 2.585320, 2.552970, D
1.124094, 0.486608, 0.053831, 2.585320, 2.585320, D
1.124094, 0.433630, 0.053792, 2.585320, 2.556555, D
1.124094, 0.387467, 0.052588, 2.585320, 2.499513, D
1.124094, 0.376781, 0.054433, 2.585320, 2.289984, D
1.124094, 0.392476, 0.062067, 2.585320, 1.964789, D
1.124094, 0.454643, 0.069957, 2.585320, 1.576577, D
1.124094, 0.493142, 0.068023, 2.585320, 1.777976, D
1.124094, 0.539197, 0.071537, 2.585320, 1.732582, D
1.124094, 0.439891, 0.062996, 2.585320, 2.559466, D
1.124094, 0.351927, 0.045813, 2.585320, 2.585320, D
1.124094, 0.294356, 0.044687, 2.585320, 2.533613, D
1.124094, 0.256450, 0.037271, 2.585320, 2.559466, D
1.124094, 0.240126, 0.038743, 2.585320, 2.481907, D
