amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.578155, 0.964509, 4.986297, 2.019341, F
0.453340, 4.002210, 0.740947, 4.986297, 2.530894, F
0.453340, 3.342930, 0.507273, 4.986297, 4.856428, F
0.453340, 3.164060, 0.371132, 4.986297, 4.350426, F
0.453340, 3.870223, 0.570043, 4.986297, 2.221914, F
0.453340, 4.771110, 0.729284, 4.986297, 1.943604, F
0.453340, 3.980776, 0.529426, 4.986297, 4.954897, F
0.453340, 3.513592, 0.408653, 4.986297, 4.690932, F
0.453340, 3.503186, 0.430063, 4.986297, 3.932354, F
0.453340, 3.962260, 0.631097, 4.986297, 2.820536, F
0.453340, 5.053561, 0.753013, 4.986297, 1.486224, F
0.453340, 4.005358, 0.557768, 4.986297, 4.986297, F
0.453340, 3.117444, 0.444782, 4.986297, 4.986297, F
0.453340, 2.605678, 0.359742, 4.986297, 4.986297, F
0.453340, 2.321213, 0.329353, 4.986297, 4.886571, F
0.453340, 2.431508, 0.384650, 4.986297, 3.434435, F
0.453340, 3.357985, 0.558198, 4.986297, 0.832946, F
0.453340, 2.780956, 0.462166, 4.986297, 4.936434, F
0.453340, 2.301785, 0.360231, 4.986297, 4.957270, F
0.453340, 2.170313, 0.269684, 4.986297, 4.424599, F
0.453340, 2.640476, 0.357995, 4.986297, 2.062727, F
0.453340, 2.386196, 0.323982, 4.986297, 4.836708, F
0.453340, 2.148576, 0.264288, 4.986297, 4.583020, F
0.453340, 2.085516, 0.245326, 4.986297, 4.243593, F
0.453340, 2.184802, 0.273183, 4.986297, 3.367634, F
0.453340, 1.852037, 0.243701, 4.986297, 4.886571, F
0.453340, 1.510764, 0.177769, 4.986297, 4.986297, F
0.453340, 1.329848, 0.157672, 4.986297, 4.830784, F
0.453340, 1.255286, 0.149214, 4.986297, 4.410976, F
0.453340, 1.404952, 0.180478, 4.986297, 3.029888, F
0.453340, 1.410425, 0.170056, 4.986297, 3.893149, F
0.453340, 1.389050, 0.157386, 4.986297, 3.970590, F
0.453340, 1.193762, 0.135893, 4.986297, 4.886571, F
0.453340, 1.049642, 0.130468, 4.986297, 4.819026, F
0.453340, 1.082101, 0.127465, 4.986297, 3.755171, F
0.453340, 0.980781, 0.109136, 4.986297, 4.619977, F
0.453340, 1.019267, 0.118822, 4.986297, 3.410193, F
0.453340, 0.830032, 0.090931, 4.986297, 4.986297, F
0.453340, 0.732382, 0.086978, 4.986297, 4.936434, F
0.453340, 0.688276, 0.083125, 4.986297, 4.717515, F
0.453340, 0.718034, 0.083867, 4.986297, 3.500250, F
0.453340, 0.834080, 0.112075, 4.986297, 2.345567, F
0.453340, 0.721187, 0.085595, 4.986297, 4.879456, F
0.453340, 0.622020, 0.075545, 4.986297, 4.909882, F
0.453340, 0.594177, 0.071751, 4.986297, 4.453926, F
0.453340, 0.596018, 0.071040, 4.986297, 4.026282, F
0.453340, 0.753999, 0.113314, 4.986297, 1.882859, F
0.453340, 0.577555, 0.084115, 4.986297, 4.986297, F
0.453340, 0.446515, 0.071156, 4.986297, 4.986297, F
0.453340, 0.359467, 0.056096, 4.986297, 4.986297, F
0.453340, 0.315517, 0.047401, 4.986297, 4.954661, F
0.453340, 0.321260, 0.042493, 4.986297, 4.010994, F
0.453340, 0.404710, 0.059469, 4.986297, 2.011615, F
0.453340, 0.541411, 0.084725, 4.986297, 1.391212, F
0.453340, 0.445746, 0.065288, 4.986297, 4.986297, F
0.453340, 0.352763, 0.053591, 4.986297, 4.986297, F
0.453340, 0.291814, 0.044466, 4.986297, 4.986297, F
0.453340, 0.265449, 0.037270, 4.986297, 4.467908, F
0.453340, 0.291940, 0.044598, 4.986297, 3.302802, F
0.453340, 0.379463, 0.060378, 4.986297, 1.374486, F
0.453340, 0.354420, 0.043150, 4.986297, 4.350366, F
0.453340, 0.342081, 0.038654, 4.986297, 3.989247, F
0.453340, 0.368720, 0.044784, 4.986297, 3.216751, F
0.453340, 0.304190, 0.032915, 4.986297, 4.973366, F
0.453340, 0.250080, 0.026225, 4.986297, 4.921051, F
0.453340, 0.230882, 0.029284, 4.986297, 4.406089, F
0.453340, 0.256703, 0.037708, 4.986297, 2.924153, F
0.453340, 0.229364, 0.027559, 4.986297, 4.662820, F
0.453340, 0.188423, 0.021091, 4.986297, 4.986297, F
0.453340, 0.151413, 0.020364, 4.986297, 4.986297, F
0.453340, 0.135328, 0.018371, 4.986297, 4.838317, F
0.453340, 0.132866, 0.019101, 4.986297, 4.214783, F
0.453340, 0.157929, 0.023146, 4.986297, 2.539255, F
0.453340, 0.198345, 0.023936, 4.986297, 1.891707, F
0.453340, 0.176064, 0.018458, 4.986297, 4.762496, F
0.453340, 0.148848, 0.014902, 4.986297, 4.986297, F
0.453340, 0.151751, 0.018029, 4.986297, 3.809042, F
0.453340, 0.139892, 0.014942, 4.986297, 4.673347, F
0.453340, 0.139871, 0.015528, 4.986297, 3.924081, F
0.453340, 0.116317, 0.012365, 4.986297, 4.986297, F
0.453340, 0.101194, 0.010796, 4.986297, 4.779873, F
0.453340, 0.102201, 0.012291, 4.986297, 3.834231, F
0.453340, 0.096287, 0.011477, 4.986297, 4.139835, F
