amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.724490, 2.953194, 0.806535, 2.632789, 2.318734, G
0.724490, 2.834006, 0.588919, 2.632789, 2.422166, G
0.724490, 3.040917, 0.502351, 2.632789, 1.998150, G
0.724490, 3.331962, 0.541377, 2.632789, 1.819128, G
0.724490, 4.076422, 0.715882, 2.632789, 1.229935, G
0.724490, 4.636118, 0.699316, 2.632789, 1.556353, G
0.724490, 4.311472, 0.516170, 2.632789, 2.405085, G
0.724490, 3.818276, 0.443398, 2.632789, 2.527477, G
0.724490, 3.362321, 0.376392, 2.632789, 2.511984, G
0.724490, 3.476935, 0.445124, 2.632789, 2.048721, G
0.724490, 4.020904, 0.609328, 2.632789, 1.439074, G
0.724490, 4.218361, 0.564172, 2.632789, 2.008835, G
0.724490, 4.453033, 0.567476, 2.632789, 1.890696, G
0.724490, 3.666879, 0.427099, 2.632789, 2.612781, G
0.724490, 3.029258, 0.363857, 2.632789, 2.632789, G
0.724490, 2.592038, 0.387143, 2.632789, 2.575533, G
0.724490, 2.310224, 0.293118, 2.632789, 2.588699, G
0.724490, 2.486575, 0.385433, 2.632789, 1.956296, G
0.724490, 2.528078, 0.319552, 2.632789, 2.077086, G
0.724490, 2.255336, 0.248545, 2.632789, 2.606461, G
0.724490, 2.024572, 0.225899, 2.632789, 2.476509, G
0.724490, 2.009654, 0.241641, 2.632789, 2.207338, G
0.724490, 2.250852, 0.286591, 2.632789, 1.540919, G
0.724490, 2.181097, 0.278969, 2.632789, 2.325831, G
0.724490, 1.979234, 0.217577, 2.632789, 2.486032, G
0.724490, 1.742282, 0.168843, 2.632789, 2.591771, G
0.724490, 1.635411, 0.208502, 2.632789, 2.374421, G
0.724490, 1.523558, 0.201664, 2.632789, 2.448494, G
0.724490, 1.293495, 0.158404, 2.632789, 2.632789, G
0.724490, 1.158542, 0.155058, 2.632789, 2.583390, G
0.724490, 1.144083, 0.147915, 2.632789, 2.184657, G
0.724490, 1.288477, 0.222774, 2.632789, 1.638641, G
0.724490, 1.215332, 0.142622, 2.632789, 2.316802, G
0.724490, 1.036115, 0.107670, 2.632789, 2.606461, G
0.724490, 0.885424, 0.099672, 2.632789, 2.555291, G
0.724490, 0.812241, 0.095300, 2.632789, 2.501149, G
0.724490, 0.790094, 0.121614, 2.632789, 2.246932, G
0.724490, 0.877370, 0.128546, 2.632789, 1.642023, G
0.724490, 0.760076, 0.095242, 2.632789, 2.601907, G
0.724490, 0.675727, 0.091566, 2.632789, 2.549147, G
0.724490, 0.673185, 0.082074, 2.632789, 2.167205, G
0.724490, 0.780831, 0.117072, 2.632789, 1.513672, G
0.724490, 0.730080, 0.100831, 2.632789, 2.369510, G
0.724490, 0.636870, 0.074480, 2.632789, 2.606461, G
0.724490, 0.570642, 0.064444, 2.632789, 2.511984, G
0.724490, 0.542210, 0.065243, 2.632789, 2.381178, G
0.724490, 0.537828, 0.064335, 2.632789, 2.127360, G
0.724490, 0.546042, 0.071082, 2.632789, 2.158887, G
0.724490, 0.516418, 0.066090, 2.632789, 2.434629, G
0.724490, 0.538113, 0.072133, 2.632789, 1.988238, G
0.724490, 0.571290, 0.065849, 2.632789, 1.965496, G
0.724490, 0.488619, 0.050894, 2.632789, 2.588285, G
0.724490, 0.411396, 0.042218, 2.632789, 2.632789, G
0.724490, 0.378075, 0.049050, 2.632789, 2.472004, G
0.724490, 0.350602, 0.044989, 2.632789, 2.390317, G
0.724490, 0.326572, 0.043563, 2.632789, 2.384268, G
0.724490, 0.371895, 0.053449, 2.632789, 1.488845, G
0.724490, 0.393539, 0.051635, 2.632789, 1.870080, G
0.724490, 0.395371, 0.040070, 2.632789, 2.055978, G
0.724490, 0.352439, 0.033344, 2.632789, 2.527307, G
0.724490, 0.325150, 0.029688, 2.632789, 2.496600, G
0.724490, 0.361559, 0.046048, 2.632789, 1.589681, G
0.724490, 0.319739, 0.036513, 2.632789, 2.589951, G
