amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.683552, 0.965117, 4.087576, 1.361374, H
0.736620, 3.811407, 0.626238, 4.087576, 2.898597, H
0.736620, 3.741900, 0.456252, 4.087576, 3.439972, H
0.736620, 3.542565, 0.447135, 4.087576, 3.746498, H
0.736620, 3.721574, 0.506456, 4.087576, 3.030940, H
0.736620, 3.960709, 0.529670, 4.087576, 2.616983, H
0.736620, 4.335008, 0.596983, 4.087576, 2.524702, H
0.736620, 3.900274, 0.439550, 4.087576, 3.811011, H
0.736620, 3.883219, 0.418171, 4.087576, 3.282179, H
0.736620, 4.416764, 0.555870, 4.087576, 2.085848, H
0.736620, 3.778463, 0.430080, 4.087576, 4.087576, H
0.736620, 3.470190, 0.477168, 4.087576, 3.878335, H
0.736620, 3.789094, 0.474668, 4.087576, 2.882954, H
0.736620, 3.798225, 0.418335, 4.087576, 3.425331, H
0.736620, 3.527843, 0.395562, 4.087576, 3.767635, H
0.736620, 2.892619, 0.320361, 4.087576, 4.087576, H
0.736620, 2.393037, 0.286034, 4.087576, 4.079012, H
0.736620, 2.189904, 0.277742, 4.087576, 3.898121, H
0.736620, 2.349802, 0.398339, 4.087576, 3.005601, H
0.736620, 2.266571, 0.304825, 4.087576, 3.459638, H
0.736620, 2.673279, 0.428694, 4.087576, 2.243184, H
0.736620, 2.556643, 0.322883, 4.087576, 3.630772, H
0.736620, 2.079217, 0.235895, 4.087576, 4.087576, H
0.736620, 1.653685, 0.188130, 4.087576, 4.087576, H
0.736620, 1.384890, 0.156924, 4.087576, 4.087576, H
0.736620, 1.209889, 0.150505, 4.087576, 4.046700, H
0.736620, 1.106519, 0.146469, 4.087576, 3.800692, H
0.736620, 1.189190, 0.175790, 4.087576, 2.877143, H
0.736620, 1.765052, 0.292907, 4.087576, 0.079952, H
0.736620, 1.463948, 0.222526, 4.087576, 4.084127, H
0.736620, 1.211687, 0.171070, 4.087576, 4.087576, H
0.736620, 1.026903, 0.146033, 4.087576, 4.005824, H
0.736620, 0.903845, 0.111510, 4.087576, 3.945810, H
0.736620, 0.914466, 0.135356, 4.087576, 3.351847, H
0.736620, 0.959791, 0.140768, 4.087576, 2.922966, H
0.736620, 0.969397, 0.116474, 4.087576, 3.295507, H
0.736620, 0.981468, 0.147985, 4.087576, 3.238265, H
0.736620, 0.872747, 0.119344, 4.087576, 4.046700, H
0.736620, 0.726093, 0.090024, 4.087576, 4.075499, H
0.736620, 0.636806, 0.089046, 4.087576, 3.952768, H
0.736620, 0.628665, 0.090463, 4.087576, 3.590397, H
0.736620, 0.729041, 0.094506, 4.087576, 2.357424, H
0.736620, 0.778121, 0.092701, 4.087576, 2.539682, H
0.736620, 0.684669, 0.070375, 4.087576, 3.964949, H
0.736620, 0.568290, 0.065067, 4.087576, 4.035645, H
0.736620, 0.486285, 0.056048, 4.087576, 4.029136, H
0.736620, 0.429266, 0.054199, 4.087576, 4.035487, H
0.736620, 0.421477, 0.057916, 4.087576, 3.639870, H
0.736620, 0.496049, 0.070970, 4.087576, 2.269685, H
0.736620, 0.644386, 0.102837, 4.087576, 1.330912, H
0.736620, 0.540064, 0.067112, 4.087576, 4.046700, H
0.736620, 0.451301, 0.055800, 4.087576, 4.076521, H
0.736620, 0.393504, 0.049057, 4.087576, 4.005824, H
0.736620, 0.361880, 0.040989, 4.087576, 3.847197, H
0.736620, 0.365723, 0.051123, 4.087576, 3.234115, H
0.736620, 0.451847, 0.066537, 4.087576, 1.618815, H
0.736620, 0.395874, 0.047280, 4.087576, 3.995274, H
0.736620, 0.334325, 0.036441, 4.087576, 4.087576, H
0.736620, 0.307054, 0.032266, 4.087576, 3.783250, H
0.736620, 0.321804, 0.037802, 4.087576, 3.057650, H
0.736620, 0.381023, 0.042804, 4.087576, 1.895183, H
0.736620, 0.325754, 0.035415, 4.087576, 4.080275, H
0.736620, 0.286206, 0.027547, 4.087576, 4.028661, H
