amtProduced_need, avg_price, sd, char
1.236869, 2.270987, 0.525880, A
1.236869, 1.624374, 0.316922, A
1.236869, 1.178480, 0.180410, A
1.236869, 0.895174, 0.122990, A
1.236869, 0.640810, 0.089124, A
1.236869, 0.469565, 0.073396, A
1.236869, 0.344421, 0.047174, A
1.236869, 0.260880, 0.039610, A
1.236869, 0.187079, 0.027335, A
1.236869, 0.136659, 0.019985, A
1.236869, 0.099234, 0.013986, A
1.236869, 0.072431, 0.012580, A
1.236869, 0.053730, 0.008601, A
1.236869, 0.038243, 0.005848, A
1.236869, 0.027920, 0.003957, A
