amtProduced_need, avg_price, sd, char
2.009290, 2.238148, 0.576739, B
2.009290, 1.627122, 0.346391, B
2.009290, 1.189697, 0.260795, B
2.009290, 0.884479, 0.159939, B
2.009290, 0.655405, 0.101886, B
2.009290, 0.493411, 0.086420, B
2.009290, 0.381586, 0.064405, B
2.009290, 0.276815, 0.043329, B
2.009290, 0.210327, 0.039267, B
2.009290, 0.154577, 0.027077, B
2.009290, 0.115052, 0.017543, B
2.009290, 0.088496, 0.015586, B
2.009290, 0.068188, 0.011727, B
2.009290, 0.050122, 0.008925, B
2.009290, 0.036977, 0.005922, B
