amtProduced_need, avg_price, sd, char
1.427492, 2.311164, 0.533150, C
1.427492, 1.945299, 0.417315, C
1.427492, 1.606448, 0.294853, C
1.427492, 1.337880, 0.195398, C
1.427492, 1.122605, 0.177593, C
1.427492, 0.918164, 0.142687, C
1.427492, 0.787090, 0.120183, C
1.427492, 0.681342, 0.143815, C
1.427492, 0.563147, 0.094031, C
1.427492, 0.474385, 0.095365, C
1.427492, 0.394468, 0.081981, C
1.427492, 0.307697, 0.059258, C
1.427492, 0.247740, 0.045662, C
1.427492, 0.188041, 0.032396, C
1.427492, 0.159137, 0.029941, C
