amtProduced_need, avg_price, sd, char
1.315148, 2.251524, 0.576458, D
1.315148, 1.646794, 0.340571, D
1.315148, 1.185019, 0.239442, D
1.315148, 0.878618, 0.153720, D
1.315148, 0.663786, 0.132028, D
1.315148, 0.489466, 0.081254, D
1.315148, 0.356966, 0.062400, D
1.315148, 0.260572, 0.041731, D
1.315148, 0.197652, 0.029287, D
1.315148, 0.142442, 0.018971, D
1.315148, 0.105747, 0.014429, D
1.315148, 0.078870, 0.009645, D
1.315148, 0.058666, 0.008405, D
1.315148, 0.044430, 0.007253, D
1.315148, 0.032770, 0.004756, D
