amtProduced_need, avg_price, sd, char
1.174297, 2.266998, 0.510257, E
1.174297, 1.737081, 0.314059, E
1.174297, 1.412992, 0.319704, E
1.174297, 1.144179, 0.437723, E
1.174297, 0.883858, 0.189540, E
1.174297, 0.701039, 0.118738, E
1.174297, 0.558243, 0.092378, E
1.174297, 0.449886, 0.093233, E
1.174297, 0.350654, 0.062335, E
1.174297, 0.275932, 0.044972, E
1.174297, 0.218494, 0.039594, E
1.174297, 0.176422, 0.030301, E
1.174297, 0.139179, 0.022062, E
1.174297, 0.112781, 0.015858, E
1.174297, 0.089179, 0.013037, E
