amtProduced_need, avg_price, sd, char
0.437581, 4.283640, 0.799375, F
0.437581, 6.426858, 1.006422, F
0.437581, 9.322146, 1.378239, F
0.437581, 13.766791, 1.989323, F
0.437581, 20.657329, 3.316528, F
0.437581, 30.316129, 4.693401, F
0.437581, 44.523334, 10.634884, F
0.437581, 64.180743, 8.986682, F
0.437581, 98.064396, 15.138138, F
0.437581, 146.389513, 24.816700, F
0.437581, 220.130381, 36.471820, F
0.437581, 328.957511, 63.642337, F
0.437581, 498.148229, 102.542466, F
0.437581, 759.946221, 147.156146, F
0.437581, 1148.100204, 211.186713, F
