amtProduced_need, avg_price, sd, char
1.703011, 2.099309, 0.558928, G
1.703011, 1.466410, 0.334424, G
1.703011, 1.029268, 0.233279, G
1.703011, 0.720991, 0.151685, G
1.703011, 0.515204, 0.104803, G
1.703011, 0.371176, 0.061914, G
1.703011, 0.278375, 0.066200, G
1.703011, 0.192661, 0.041313, G
1.703011, 0.137237, 0.024011, G
1.703011, 0.099540, 0.016189, G
1.703011, 0.072229, 0.011876, G
1.703011, 0.051439, 0.008790, G
1.703011, 0.037212, 0.006850, G
1.703011, 0.026526, 0.004668, G
1.703011, 0.018362, 0.002717, G
