amtProduced_need, avg_price, sd, char
0.685894, 3.232100, 0.455324, H
0.685894, 3.655236, 0.507592, H
0.685894, 3.989195, 0.456041, H
0.685894, 4.309866, 0.456593, H
0.685894, 4.726397, 0.584674, H
0.685894, 5.069191, 0.626961, H
0.685894, 5.413142, 0.511731, H
0.685894, 5.627319, 0.726468, H
0.685894, 5.914502, 0.573890, H
0.685894, 6.278459, 0.685012, H
0.685894, 6.766474, 0.926933, H
0.685894, 7.290307, 0.878157, H
0.685894, 8.007713, 1.225458, H
0.685894, 8.627985, 1.028441, H
0.685894, 9.159442, 1.055709, H
