amtProduced_need, avg_price, sd, char
0.492440, 4.241514, 0.803008, I
0.492440, 5.855547, 0.841929, I
0.492440, 8.101345, 1.100900, I
0.492440, 11.349205, 1.998501, I
0.492440, 15.715523, 2.300053, I
0.492440, 22.741651, 3.181814, I
0.492440, 32.112806, 4.971919, I
0.492440, 45.358923, 8.289938, I
0.492440, 64.870517, 9.165176, I
0.492440, 94.006768, 16.217866, I
0.492440, 133.646270, 17.715939, I
0.492440, 193.796165, 30.624983, I
0.492440, 276.661261, 42.025947, I
0.492440, 397.715970, 60.536779, I
0.492440, 569.617357, 86.623415, I
