amtProduced_need, avg_price, sd, char
2.089728, 2.019390, 0.503909, J
2.089728, 1.412085, 0.271574, J
2.089728, 0.989239, 0.165177, J
2.089728, 0.676725, 0.123050, J
2.089728, 0.467380, 0.073876, J
2.089728, 0.316862, 0.048951, J
2.089728, 0.223662, 0.037711, J
2.089728, 0.158436, 0.025280, J
2.089728, 0.111939, 0.019094, J
2.089728, 0.078596, 0.013791, J
2.089728, 0.054408, 0.008700, J
2.089728, 0.038452, 0.005839, J
2.089728, 0.027058, 0.004607, J
2.089728, 0.019414, 0.003915, J
2.089728, 0.013851, 0.002533, J
