amount produced/need, avg price, sd, char
 year: 1
1.236869, 2.270987, 0.525880, A
2.009290, 2.238148, 0.576739, B
1.427492, 2.311164, 0.533150, C
1.315148, 2.251524, 0.576458, D
1.174297, 2.266998, 0.510257, E
0.437581, 4.283640, 0.799375, F
1.703011, 2.099309, 0.558928, G
0.685894, 3.232100, 0.455324, H
0.492440, 4.241514, 0.803008, I
2.089728, 2.019390, 0.503909, J
amount produced/need, avg price, sd, char
 year: 2
1.236869, 1.624374, 0.316922, A
2.009290, 1.627122, 0.346391, B
1.427492, 1.945299, 0.417315, C
1.315148, 1.646794, 0.340571, D
1.174297, 1.737081, 0.314059, E
0.437581, 6.426858, 1.006422, F
1.703011, 1.466410, 0.334424, G
0.685894, 3.655236, 0.507592, H
0.492440, 5.855547, 0.841929, I
2.089728, 1.412085, 0.271574, J
amount produced/need, avg price, sd, char
 year: 3
1.236869, 1.178480, 0.180410, A
2.009290, 1.189697, 0.260795, B
1.427492, 1.606448, 0.294853, C
1.315148, 1.185019, 0.239442, D
1.174297, 1.412992, 0.319704, E
0.437581, 9.322146, 1.378239, F
1.703011, 1.029268, 0.233279, G
0.685894, 3.989195, 0.456041, H
0.492440, 8.101345, 1.100900, I
2.089728, 0.989239, 0.165177, J
amount produced/need, avg price, sd, char
 year: 4
1.236869, 0.895174, 0.122990, A
2.009290, 0.884479, 0.159939, B
1.427492, 1.337880, 0.195398, C
1.315148, 0.878618, 0.153720, D
1.174297, 1.144179, 0.437723, E
0.437581, 13.766791, 1.989323, F
1.703011, 0.720991, 0.151685, G
0.685894, 4.309866, 0.456593, H
0.492440, 11.349205, 1.998501, I
2.089728, 0.676725, 0.123050, J
amount produced/need, avg price, sd, char
 year: 5
1.236869, 0.640810, 0.089124, A
2.009290, 0.655405, 0.101886, B
1.427492, 1.122605, 0.177593, C
1.315148, 0.663786, 0.132028, D
1.174297, 0.883858, 0.189540, E
0.437581, 20.657329, 3.316528, F
1.703011, 0.515204, 0.104803, G
0.685894, 4.726397, 0.584674, H
0.492440, 15.715523, 2.300053, I
2.089728, 0.467380, 0.073876, J
amount produced/need, avg price, sd, char
 year: 6
1.236869, 0.469565, 0.073396, A
2.009290, 0.493411, 0.086420, B
1.427492, 0.918164, 0.142687, C
1.315148, 0.489466, 0.081254, D
1.174297, 0.701039, 0.118738, E
0.437581, 30.316129, 4.693401, F
1.703011, 0.371176, 0.061914, G
0.685894, 5.069191, 0.626961, H
0.492440, 22.741651, 3.181814, I
2.089728, 0.316862, 0.048951, J
amount produced/need, avg price, sd, char
 year: 7
1.236869, 0.344421, 0.047174, A
2.009290, 0.381586, 0.064405, B
1.427492, 0.787090, 0.120183, C
1.315148, 0.356966, 0.062400, D
1.174297, 0.558243, 0.092378, E
0.437581, 44.523334, 10.634884, F
1.703011, 0.278375, 0.066200, G
0.685894, 5.413142, 0.511731, H
0.492440, 32.112806, 4.971919, I
2.089728, 0.223662, 0.037711, J
amount produced/need, avg price, sd, char
 year: 8
1.236869, 0.260880, 0.039610, A
2.009290, 0.276815, 0.043329, B
1.427492, 0.681342, 0.143815, C
1.315148, 0.260572, 0.041731, D
1.174297, 0.449886, 0.093233, E
0.437581, 64.180743, 8.986682, F
1.703011, 0.192661, 0.041313, G
0.685894, 5.627319, 0.726468, H
0.492440, 45.358923, 8.289938, I
2.089728, 0.158436, 0.025280, J
amount produced/need, avg price, sd, char
 year: 9
1.236869, 0.187079, 0.027335, A
2.009290, 0.210327, 0.039267, B
1.427492, 0.563147, 0.094031, C
1.315148, 0.197652, 0.029287, D
1.174297, 0.350654, 0.062335, E
0.437581, 98.064396, 15.138138, F
1.703011, 0.137237, 0.024011, G
0.685894, 5.914502, 0.573890, H
0.492440, 64.870517, 9.165176, I
2.089728, 0.111939, 0.019094, J
amount produced/need, avg price, sd, char
 year: 10
1.236869, 0.136659, 0.019985, A
2.009290, 0.154577, 0.027077, B
1.427492, 0.474385, 0.095365, C
1.315148, 0.142442, 0.018971, D
1.174297, 0.275932, 0.044972, E
0.437581, 146.389513, 24.816700, F
1.703011, 0.099540, 0.016189, G
0.685894, 6.278459, 0.685012, H
0.492440, 94.006768, 16.217866, I
2.089728, 0.078596, 0.013791, J
amount produced/need, avg price, sd, char
 year: 11
1.236869, 0.099234, 0.013986, A
2.009290, 0.115052, 0.017543, B
1.427492, 0.394468, 0.081981, C
1.315148, 0.105747, 0.014429, D
1.174297, 0.218494, 0.039594, E
0.437581, 220.130381, 36.471820, F
1.703011, 0.072229, 0.011876, G
0.685894, 6.766474, 0.926933, H
0.492440, 133.646270, 17.715939, I
2.089728, 0.054408, 0.008700, J
amount produced/need, avg price, sd, char
 year: 12
1.236869, 0.072431, 0.012580, A
2.009290, 0.088496, 0.015586, B
1.427492, 0.307697, 0.059258, C
1.315148, 0.078870, 0.009645, D
1.174297, 0.176422, 0.030301, E
0.437581, 328.957511, 63.642337, F
1.703011, 0.051439, 0.008790, G
0.685894, 7.290307, 0.878157, H
0.492440, 193.796165, 30.624983, I
2.089728, 0.038452, 0.005839, J
amount produced/need, avg price, sd, char
 year: 13
1.236869, 0.053730, 0.008601, A
2.009290, 0.068188, 0.011727, B
1.427492, 0.247740, 0.045662, C
1.315148, 0.058666, 0.008405, D
1.174297, 0.139179, 0.022062, E
0.437581, 498.148229, 102.542466, F
1.703011, 0.037212, 0.006850, G
0.685894, 8.007713, 1.225458, H
0.492440, 276.661261, 42.025947, I
2.089728, 0.027058, 0.004607, J
amount produced/need, avg price, sd, char
 year: 14
1.236869, 0.038243, 0.005848, A
2.009290, 0.050122, 0.008925, B
1.427492, 0.188041, 0.032396, C
1.315148, 0.044430, 0.007253, D
1.174297, 0.112781, 0.015858, E
0.437581, 759.946221, 147.156146, F
1.703011, 0.026526, 0.004668, G
0.685894, 8.627985, 1.028441, H
0.492440, 397.715970, 60.536779, I
2.089728, 0.019414, 0.003915, J
amount produced/need, avg price, sd, char
 year: 15
1.236869, 0.027920, 0.003957, A
2.009290, 0.036977, 0.005922, B
1.427492, 0.159137, 0.029941, C
