amtProduced_need, avg_price, sd, char
0.873396, 3.264553, 0.260479, A
0.873396, 3.432964, 0.168100, A
0.873396, 3.717634, 0.189211, A
0.873396, 3.913485, 0.146361, A
0.873396, 4.108070, 0.175406, A
0.873396, 4.523418, 0.488924, A
0.873396, 4.876933, 0.250465, A
0.873396, 5.139026, 0.224526, A
0.873396, 5.309703, 0.245838, A
0.873396, 5.309703, 0.245838, A
0.873396, 5.522484, 0.197873, A
0.873396, 5.752793, 0.165530, A
0.873396, 6.141246, 0.234987, A
0.873396, 6.560963, 0.300207, A
0.873396, 6.834489, 0.281389, A
