amtProduced_need, avg_price, sd, char
1.076404, 3.012581, 0.204434, B
1.076404, 3.194173, 0.115343, B
1.076404, 3.308152, 0.131729, B
1.076404, 3.476955, 0.149192, B
1.076404, 3.533805, 0.074220, B
1.076404, 3.736201, 0.124689, B
1.076404, 3.943399, 0.195874, B
1.076404, 4.106859, 0.149960, B
1.076404, 4.283173, 0.132841, B
1.076404, 4.283173, 0.132841, B
1.076404, 4.427741, 0.121878, B
1.076404, 4.647365, 0.109972, B
1.076404, 4.867453, 0.135956, B
1.076404, 5.115762, 0.188760, B
1.076404, 5.352889, 0.167292, B
