amtProduced_need, avg_price, sd, char
0.552480, 4.731238, 0.882274, C
0.552480, 6.556292, 1.108932, C
0.552480, 8.944467, 1.517201, C
0.552480, 12.617496, 1.789987, C
0.552480, 15.596265, 1.168733, C
0.552480, 19.113828, 1.800243, C
0.552480, 23.950490, 2.680264, C
0.552480, 31.800149, 5.335244, C
0.552480, 41.312873, 4.841187, C
0.552480, 41.312873, 4.841187, C
0.552480, 51.904642, 6.454636, C
0.552480, 64.392963, 6.897701, C
0.552480, 80.201155, 5.919130, C
0.552480, 99.817422, 12.383179, C
0.552480, 139.875396, 24.363854, C
