amtProduced_need, avg_price, sd, char
1.319914, 3.378956, 0.337539, D
1.319914, 3.564341, 0.106079, D
1.319914, 3.664604, 0.099672, D
1.319914, 3.748366, 0.098280, D
1.319914, 3.903420, 0.092375, D
1.319914, 3.994928, 0.107058, D
1.319914, 4.088129, 0.116893, D
1.319914, 4.190935, 0.101322, D
1.319914, 4.260042, 0.077372, D
1.319914, 4.260042, 0.077372, D
1.319914, 4.327868, 0.090037, D
1.319914, 4.524838, 0.136042, D
1.319914, 4.636282, 0.103522, D
1.319914, 4.820838, 0.110252, D
1.319914, 4.933619, 0.119428, D
