amtProduced_need, avg_price, sd, char
1.059761, 3.319560, 0.236273, F
1.059761, 3.508845, 0.189457, F
1.059761, 3.767245, 0.192895, F
1.059761, 3.985246, 0.151463, F
1.059761, 4.207950, 0.188912, F
1.059761, 4.427448, 0.190363, F
1.059761, 4.582183, 0.174723, F
1.059761, 4.761000, 0.127744, F
1.059761, 5.054402, 0.382137, F
1.059761, 5.054402, 0.382137, F
1.059761, 5.351899, 0.168684, F
1.059761, 5.666061, 0.516020, F
1.059761, 5.943784, 0.152112, F
1.059761, 6.160246, 0.151859, F
1.059761, 6.611881, 0.309507, F
