amtProduced_need, avg_price, sd, char
1.241988, 3.097764, 0.178417, G
1.241988, 3.136369, 0.087469, G
1.241988, 3.205186, 0.055353, G
1.241988, 3.273649, 0.070921, G
1.241988, 3.315176, 0.073532, G
1.241988, 3.450314, 0.139585, G
1.241988, 3.485919, 0.069882, G
1.241988, 3.611400, 0.080343, G
1.241988, 3.669718, 0.107444, G
1.241988, 3.669718, 0.107444, G
1.241988, 3.684137, 0.089308, G
1.241988, 3.762387, 0.088672, G
1.241988, 3.855273, 0.087963, G
1.241988, 3.919884, 0.112280, G
1.241988, 3.980911, 0.077141, G
