amtProduced_need, avg_price, sd, char
1.015411, 3.040983, 0.243802, H
1.015411, 3.194212, 0.263910, H
1.015411, 3.260018, 0.086021, H
1.015411, 3.351514, 0.114622, H
1.015411, 3.472239, 0.102638, H
1.015411, 3.566957, 0.070779, H
1.015411, 3.634512, 0.096140, H
1.015411, 3.719727, 0.080699, H
1.015411, 3.868832, 0.145424, H
1.015411, 3.868832, 0.145424, H
1.015411, 4.022447, 0.113111, H
1.015411, 4.190467, 0.120968, H
1.015411, 4.278239, 0.115469, H
1.015411, 4.315828, 0.105744, H
1.015411, 4.488247, 0.131493, H
