amtProduced_need, avg_price, sd, char
0.465079, 3.860711, 0.537871, I
0.465079, 4.978001, 0.522232, I
0.465079, 6.262235, 0.580736, I
0.465079, 7.764940, 0.647382, I
0.465079, 10.241157, 1.223144, I
0.465079, 12.734212, 1.104058, I
0.465079, 16.328894, 1.753783, I
0.465079, 21.139656, 1.956436, I
0.465079, 26.934834, 2.796401, I
0.465079, 26.934834, 2.796401, I
0.465079, 34.410342, 2.661191, I
0.465079, 42.517953, 4.808328, I
0.465079, 53.154036, 4.054892, I
0.465079, 66.843731, 5.669847, I
0.465079, 84.475462, 7.108839, I
