amtProduced_need, avg_price, sd, char
1.162011, 3.319495, 0.388707, J
1.162011, 3.471050, 0.123743, J
1.162011, 3.604572, 0.117706, J
1.162011, 3.712838, 0.132710, J
1.162011, 3.842936, 0.086605, J
1.162011, 3.963348, 0.096091, J
1.162011, 4.166382, 0.121038, J
1.162011, 4.200522, 0.077366, J
1.162011, 4.434287, 0.171734, J
1.162011, 4.434287, 0.171734, J
1.162011, 4.581013, 0.107648, J
1.162011, 4.813216, 0.128190, J
1.162011, 5.015372, 0.141911, J
1.162011, 5.235700, 0.128804, J
1.162011, 5.476022, 0.162519, J
