amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 2.866777, 0.695283, 2.978407, 165153929846061140000.000000, A
0.883466, 3.685669, 0.725853, 2.978407, 2192217.934015, A
0.883466, 3.535324, 0.489991, 2.978407, 98531432706.086650, A
0.883466, 3.037368, 0.342084, 2.978407, 0.000000, A
0.883466, 3.379355, 0.468308, 2.978407, 597980484378.954100, A
0.883466, 4.412290, 0.562716, 2.978407, 44086504.967913, A
0.883466, 3.627553, 0.360238, 2.978407, 0.000000, A
0.883466, 3.309059, 0.326699, 2.978407, 526.702542, A
0.883466, 3.824279, 0.517864, 2.978407, 8325505221323.677000, A
0.883466, 4.697468, 0.579581, 2.978407, 109574228315.532380, A
0.883466, 3.383626, 0.422125, 2.978407, 0.000000, A
0.883466, 2.470140, 0.325181, 2.978407, 0.000000, A
0.883466, 1.825732, 0.296473, 2.978407, 0.000000, A
0.883466, 1.402370, 0.259538, 2.978407, 2068649690785709.500000, A
0.883466, 1.133865, 0.207065, 2.978407, 0.000000, A
0.883466, 1.095538, 0.199615, 2.978407, 892931918882289500000000.000000, A
0.883466, 1.535651, 0.254355, 2.978407, 1608.334788, A
0.883466, 2.288075, 0.387975, 2.978407, 0.000000, A
0.883466, 1.717938, 0.243727, 2.978407, 0.000000, A
0.883466, 1.311409, 0.183121, 2.978407, 0.000000, A
0.883466, 1.037076, 0.156692, 2.978407, 0.000000, A
0.883466, 0.840326, 0.141129, 2.978407, 0.000000, A
0.883466, 0.703247, 0.122426, 2.978407, 0.000000, A
0.883466, 0.711445, 0.121423, 2.978407, 102482889368619300000000.000000, A
0.883466, 0.941710, 0.143288, 2.978407, 419711.579501, A
0.883466, 1.184009, 0.179049, 2.978407, 3942702007.765051, A
0.883466, 0.809384, 0.122589, 2.978407, 0.000000, A
0.883466, 0.558138, 0.097231, 2.978407, 0.000000, A
0.883466, 0.391444, 0.078883, 2.978407, 0.000000, A
0.883466, 0.278765, 0.061721, 2.978407, 0.000000, A
0.883466, 0.200593, 0.048665, 2.978407, 0.000000, A
0.883466, 0.149170, 0.041049, 2.978407, 0.000000, A
0.883466, 0.111803, 0.033151, 2.978407, 0.000000, A
0.883466, 0.090154, 0.025092, 2.978407, 0.000000, A
0.883466, 0.083682, 0.018721, 2.978407, 2125891288065.736000, A
0.883466, 0.097218, 0.017400, 2.978407, 15897138700908.250000, A
0.883466, 0.144066, 0.027157, 2.978407, 0.006707, A
