amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.660540, 1.047197, 4.986297, 74714132.860638, F
0.453340, 2.968029, 0.675045, 4.986297, 0.000000, F
0.453340, 2.877589, 0.439722, 4.986297, 18790345832016833000000.000000, F
0.453340, 3.893359, 0.610391, 4.986297, 66862.045903, F
0.453340, 3.352110, 0.381900, 4.986297, 614677896887752.900000, F
0.453340, 4.378962, 0.536029, 4.986297, 627494.318061, F
0.453340, 3.699341, 0.419720, 4.986297, 315094549189986.750000, F
0.453340, 4.150758, 0.593893, 4.986297, 10568165464899.889000, F
0.453340, 4.548149, 0.518002, 4.986297, 456949098564226.200000, F
0.453340, 3.825536, 0.343123, 4.986297, 2.686548, F
0.453340, 3.741690, 0.406816, 4.986297, 283819573628259630000000.000000, F
0.453340, 5.139852, 0.625896, 4.986297, 108913.382986, F
0.453340, 3.541744, 0.423253, 4.986297, 0.000000, F
0.453340, 2.494307, 0.355505, 4.986297, 0.000000, F
0.453340, 1.842283, 0.305448, 4.986297, 0.000000, F
0.453340, 1.438615, 0.258010, 4.986297, 0.000000, F
0.453340, 1.452766, 0.207273, 4.986297, 329948374449688190.000000, F
0.453340, 2.164532, 0.323321, 4.986297, 0.000000, F
0.453340, 1.825608, 0.228645, 4.986297, 0.000000, F
0.453340, 1.508706, 0.174364, 4.986297, 0.000000, F
0.453340, 1.759472, 0.248527, 4.986297, 18166842530179.473000, F
0.453340, 1.384099, 0.186741, 4.986297, 0.000000, F
0.453340, 1.163622, 0.161403, 4.986297, 668552537862.173300, F
0.453340, 1.291105, 0.186737, 4.986297, 1597893094005.098900, F
0.453340, 1.297853, 0.161010, 4.986297, 209262937808284600000.000000, F
0.453340, 0.907881, 0.122153, 4.986297, 0.000000, F
0.453340, 0.649685, 0.099105, 4.986297, 0.000000, F
0.453340, 0.484617, 0.090183, 4.986297, 0.000000, F
0.453340, 0.385029, 0.071293, 4.986297, 0.000000, F
0.453340, 0.402391, 0.059122, 4.986297, 14883608591365687000.000000, F
0.453340, 0.442536, 0.053401, 4.986297, 160447712668304.280000, F
0.453340, 0.396094, 0.040286, 4.986297, 453829731615477700000000000.000000, F
0.453340, 0.329608, 0.032362, 4.986297, 0.000000, F
0.453340, 0.312880, 0.031345, 4.986297, 2265627093973170100000000.000000, F
0.453340, 0.226056, 0.026064, 4.986297, 0.000000, F
0.453340, 0.167664, 0.024528, 4.986297, 0.000000, F
0.453340, 0.128155, 0.020576, 4.986297, 0.000000, F
0.453340, 0.114007, 0.015811, 4.986297, 312973361233071940000000.000000, F
0.453340, 0.160835, 0.023220, 4.986297, 539.460906, F
0.453340, 0.132576, 0.016685, 4.986297, 0.000000, F
0.453340, 0.097716, 0.013715, 4.986297, 0.000000, F
0.453340, 0.072920, 0.012354, 4.986297, 0.000000, F
0.453340, 0.055172, 0.010367, 4.986297, 0.000000, F
0.453340, 0.046789, 0.008178, 4.986297, 522932327.534400, F
0.453340, 0.048586, 0.008000, 4.986297, 526597526956259100000.000000, F
0.453340, 0.036073, 0.005676, 4.986297, 0.000000, F
0.453340, 0.026809, 0.004645, 4.986297, 0.000000, F
0.453340, 0.020820, 0.003832, 4.986297, 0.000000, F
0.453340, 0.016765, 0.003066, 4.986297, 0.000000, F
0.453340, 0.017738, 0.003027, 4.986297, 1007030097076.734500, F
0.453340, 0.012834, 0.002181, 4.986297, 0.000000, F
0.453340, 0.009461, 0.001636, 4.986297, 0.000000, F
0.453340, 0.007212, 0.001269, 4.986297, 0.000000, F
0.453340, 0.006066, 0.000960, 4.986297, 475113308612469400000000000000.000000, F
0.453340, 0.006671, 0.000937, 4.986297, 16709918510480420.000000, F
0.453340, 0.009716, 0.001449, 4.986297, 49.342555, F
0.453340, 0.007588, 0.000976, 4.986297, 0.000000, F
0.453340, 0.006502, 0.000790, 4.986297, 959541.027139, F
0.453340, 0.008749, 0.001098, 4.986297, 436113.597508, F
0.453340, 0.006041, 0.000876, 4.986297, 0.000000, F
0.453340, 0.004246, 0.000726, 4.986297, 0.000000, F
0.453340, 0.003058, 0.000624, 4.986297, 0.000000, F
0.453340, 0.002366, 0.000505, 4.986297, 0.000000, F
0.453340, 0.001968, 0.000365, 4.986297, 97195924577796820000.000000, F
0.453340, 0.002675, 0.000519, 4.986297, 25512.081571, F
0.453340, 0.003993, 0.000829, 4.986297, 0.000000, F
0.453340, 0.002789, 0.000648, 4.986297, 0.000000, F
0.453340, 0.001943, 0.000501, 4.986297, 0.000000, F
0.453340, 0.001349, 0.000365, 4.986297, 0.000000, F
0.453340, 0.000951, 0.000285, 4.986297, 0.000000, F
0.453340, 0.000707, 0.000228, 4.986297, 0.000000, F
0.453340, 0.000541, 0.000174, 4.986297, 0.000000, F
0.453340, 0.000436, 0.000126, 4.986297, 0.000000, F
0.453340, 0.000422, 0.000085, 4.986297, 4485536436634399700.000000, F
0.453340, 0.000584, 0.000112, 4.986297, 1772.558304, F
0.453340, 0.000847, 0.000164, 4.986297, 13.562419, F
0.453340, 0.000590, 0.000135, 4.986297, 0.000000, F
0.453340, 0.000415, 0.000102, 4.986297, 0.000000, F
