amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 3.018734, 0.703097, 4.042147, 707870376135147780.000000, I
0.688203, 4.099895, 0.829261, 4.042147, 32910.607371, I
0.688203, 3.121436, 0.553804, 4.042147, 0.000000, I
0.688203, 2.408322, 0.379368, 4.042147, 0.000000, I
0.688203, 2.036775, 0.289295, 4.042147, 75280123.929822, I
0.688203, 2.390387, 0.326655, 4.042147, 1560890863315.247300, I
0.688203, 3.467659, 0.550388, 4.042147, 9.183204, I
0.688203, 5.033966, 0.817810, 4.042147, 4.557109, I
0.688203, 3.914918, 0.525185, 4.042147, 0.000000, I
0.688203, 3.107749, 0.427690, 4.042147, 0.000000, I
0.688203, 2.724108, 0.371782, 4.042147, 261779842439255880000000.000000, I
0.688203, 3.702565, 0.520333, 4.042147, 579349.114479, I
0.688203, 5.203350, 0.799257, 4.042147, 80.820383, I
0.688203, 3.717709, 0.549671, 4.042147, 0.000000, I
0.688203, 2.660656, 0.434062, 4.042147, 0.000000, I
0.688203, 1.969258, 0.368550, 4.042147, 0.000000, I
0.688203, 1.529913, 0.302973, 4.042147, 0.000000, I
0.688203, 1.328251, 0.242354, 4.042147, 1137699001626620800000000.000000, I
0.688203, 1.874211, 0.342167, 4.042147, 354.278288, I
0.688203, 1.467991, 0.222218, 4.042147, 0.000000, I
0.688203, 1.199904, 0.174760, 4.042147, 0.000000, I
0.688203, 1.308081, 0.197125, 4.042147, 1232169357464508.800000, I
0.688203, 1.923464, 0.313061, 4.042147, 6.045003, I
0.688203, 1.326235, 0.223753, 4.042147, 0.000000, I
0.688203, 0.931607, 0.177491, 4.042147, 0.000000, I
0.688203, 0.659312, 0.139136, 4.042147, 0.000000, I
0.688203, 0.473123, 0.110779, 4.042147, 0.000000, I
0.688203, 0.358755, 0.088734, 4.042147, 0.000000, I
0.688203, 0.288922, 0.065509, 4.042147, 0.000000, I
0.688203, 0.347647, 0.072194, 4.042147, 23827956544.012897, I
0.688203, 0.518797, 0.112581, 4.042147, 3.756321, I
0.688203, 0.379484, 0.080544, 4.042147, 0.000000, I
0.688203, 0.286354, 0.064165, 4.042147, 0.000000, I
0.688203, 0.216410, 0.047447, 4.042147, 0.000000, I
0.688203, 0.181332, 0.037376, 4.042147, 14361691991.038742, I
0.688203, 0.201568, 0.034777, 4.042147, 55754599045.680640, I
0.688203, 0.200006, 0.024023, 4.042147, 193713162946085536.000000, I
0.688203, 0.143549, 0.017965, 4.042147, 0.000000, I
0.688203, 0.104846, 0.016262, 4.042147, 0.000000, I
0.688203, 0.078849, 0.013999, 4.042147, 0.000000, I
0.688203, 0.060776, 0.011630, 4.042147, 0.000000, I
0.688203, 0.050421, 0.009494, 4.042147, 24900928879608980000000000.000000, I
0.688203, 0.058153, 0.009844, 4.042147, 1149533767323707.800000, I
0.688203, 0.063886, 0.008464, 4.042147, 58372209988942360.000000, I
0.688203, 0.044145, 0.006210, 4.042147, 0.000000, I
0.688203, 0.030976, 0.005236, 4.042147, 0.000000, I
0.688203, 0.022658, 0.004593, 4.042147, 0.000000, I
0.688203, 0.017057, 0.004064, 4.042147, 0.000000, I
0.688203, 0.013047, 0.003266, 4.042147, 0.000000, I
0.688203, 0.010732, 0.002498, 4.042147, 262783930568105860000000.000000, I
0.688203, 0.010617, 0.001799, 4.042147, 63918853554007550000000.000000, I
0.688203, 0.014162, 0.002278, 4.042147, 88588.905424, I
0.688203, 0.010149, 0.001739, 4.042147, 0.000000, I
0.688203, 0.007239, 0.001392, 4.042147, 0.000000, I
0.688203, 0.005183, 0.001113, 4.042147, 0.000000, I
0.688203, 0.003968, 0.000920, 4.042147, 0.000000, I
0.688203, 0.003144, 0.000768, 4.042147, 0.000000, I
0.688203, 0.002710, 0.000622, 4.042147, 561770493079260840000000000.000000, I
0.688203, 0.003074, 0.000564, 4.042147, 193448407350696.300000, I
0.688203, 0.004578, 0.000847, 4.042147, 3.021584, I
0.688203, 0.006833, 0.001368, 4.042147, 0.000000, I
0.688203, 0.005535, 0.000903, 4.042147, 0.000000, I
0.688203, 0.005044, 0.000705, 4.042147, 16924979722804278000000000.000000, I
0.688203, 0.004255, 0.000500, 4.042147, 0.000000, I
0.688203, 0.003165, 0.000416, 4.042147, 0.000000, I
0.688203, 0.002432, 0.000372, 4.042147, 0.000000, I
0.688203, 0.001941, 0.000355, 4.042147, 0.000000, I
0.688203, 0.001645, 0.000286, 4.042147, 61187469794283225000.000000, I
0.688203, 0.001643, 0.000247, 4.042147, 15041588613359049000.000000, I
0.688203, 0.002171, 0.000319, 4.042147, 1880688.430263, I
0.688203, 0.001553, 0.000225, 4.042147, 0.000000, I
0.688203, 0.001133, 0.000183, 4.042147, 0.000000, I
0.688203, 0.000843, 0.000155, 4.042147, 0.000000, I
0.688203, 0.000682, 0.000131, 4.042147, 3355643199.100197, I
0.688203, 0.000653, 0.000109, 4.042147, 28145639112527180000000.000000, I
0.688203, 0.000610, 0.000074, 4.042147, 1473212557785922000000000000.000000, I
0.688203, 0.000764, 0.000100, 4.042147, 13200235178.182207, I
0.688203, 0.000557, 0.000071, 4.042147, 0.000000, I
0.688203, 0.000416, 0.000063, 4.042147, 0.000000, I
0.688203, 0.000315, 0.000056, 4.042147, 0.000000, I
0.688203, 0.000254, 0.000049, 4.042147, 0.000000, I
0.688203, 0.000231, 0.000038, 4.042147, 461330952066695940.000000, I
0.688203, 0.000286, 0.000047, 4.042147, 277374145497.170040, I
0.688203, 0.000216, 0.000029, 4.042147, 0.000000, I
0.688203, 0.000159, 0.000024, 4.042147, 0.000000, I
0.688203, 0.000123, 0.000022, 4.042147, 0.000000, I
0.688203, 0.000100, 0.000018, 4.042147, 0.000000, I
0.688203, 0.000105, 0.000015, 4.042147, 8812066415108866000.000000, I
0.688203, 0.000123, 0.000015, 4.042147, 65857464.567904, I
0.688203, 0.000093, 0.000011, 4.042147, 0.000000, I
0.688203, 0.000072, 0.000009, 4.042147, 0.000000, I
0.688203, 0.000055, 0.000008, 4.042147, 0.000000, I
0.688203, 0.000042, 0.000007, 4.042147, 0.000000, I
0.688203, 0.000036, 0.000006, 4.042147, 69852056337.453610, I
0.688203, 0.000035, 0.000005, 4.042147, 1576744943740234.500000, I
0.688203, 0.000046, 0.000007, 4.042147, 119312.046532, I
0.688203, 0.000036, 0.000005, 4.042147, 0.000000, I
0.688203, 0.000029, 0.000004, 4.042147, 0.000000, I
0.688203, 0.000025, 0.000003, 4.042147, 25137365263390146000000.000000, I
0.688203, 0.000028, 0.000003, 4.042147, 26232528716121356.000000, I
