amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 2.866777, 0.695283, 2.978407, 2.234764, A
0.883466, 3.685669, 0.725853, 2.978407, 0.866622, A
0.883466, 3.535324, 0.489991, 2.978407, 2.612008, A
0.883466, 3.037368, 0.342084, 2.978407, 2.948622, A
0.883466, 3.379355, 0.468308, 2.978407, 1.763814, A
0.883466, 4.412290, 0.562716, 2.978407, 0.812899, A
0.883466, 3.627553, 0.360238, 2.978407, 2.978407, A
0.883466, 3.309059, 0.326699, 2.978407, 2.745278, A
0.883466, 3.824279, 0.517864, 2.978407, 1.617369, A
0.883466, 4.697468, 0.579581, 2.978407, 1.220419, A
0.883466, 3.383626, 0.422125, 2.978407, 2.978407, A
0.883466, 2.470140, 0.325181, 2.978407, 2.978407, A
0.883466, 1.825732, 0.296473, 2.978407, 2.978407, A
0.883466, 1.402370, 0.259538, 2.978407, 2.966996, A
0.883466, 1.133865, 0.207065, 2.978407, 2.978407, A
0.883466, 1.095538, 0.199615, 2.978407, 2.519949, A
0.883466, 1.535651, 0.254355, 2.978407, 0.399892, A
0.883466, 2.288075, 0.387975, 2.978407, 0.000000, A
0.883466, 1.717938, 0.243727, 2.978407, 2.978407, A
0.883466, 1.311409, 0.183121, 2.978407, 2.978407, A
0.883466, 1.037076, 0.156692, 2.978407, 2.978407, A
0.883466, 0.840326, 0.141129, 2.978407, 2.978407, A
0.883466, 0.703247, 0.122426, 2.978407, 2.978407, A
0.883466, 0.711445, 0.121423, 2.978407, 2.316454, A
0.883466, 0.941710, 0.143288, 2.978407, 0.705948, A
0.883466, 1.184009, 0.179049, 2.978407, 0.996687, A
0.883466, 0.809384, 0.122589, 2.978407, 2.978407, A
0.883466, 0.558138, 0.097231, 2.978407, 2.978407, A
0.883466, 0.391444, 0.078883, 2.978407, 2.978407, A
0.883466, 0.278765, 0.061721, 2.978407, 2.978407, A
0.883466, 0.200593, 0.048665, 2.978407, 2.978407, A
0.883466, 0.149170, 0.041049, 2.978407, 2.978407, A
0.883466, 0.111803, 0.033151, 2.978407, 2.978407, A
0.883466, 0.090154, 0.025092, 2.978407, 2.978407, A
0.883466, 0.083682, 0.018721, 2.978407, 2.691835, A
0.883466, 0.097218, 0.017400, 2.978407, 1.601444, A
0.883466, 0.144066, 0.027157, 2.978407, 0.029851, A
0.883466, 0.177339, 0.027504, 2.978407, 1.200038, A
0.883466, 0.123007, 0.020625, 2.978407, 2.978407, A
0.883466, 0.086158, 0.015375, 2.978407, 2.978407, A
0.883466, 0.061261, 0.012894, 2.978407, 2.978407, A
0.883466, 0.044541, 0.011067, 2.978407, 2.978407, A
0.883466, 0.033142, 0.008830, 2.978407, 2.978407, A
0.883466, 0.025422, 0.007146, 2.978407, 2.978407, A
0.883466, 0.020537, 0.005581, 2.978407, 2.978407, A
0.883466, 0.019944, 0.004393, 2.978407, 2.590983, A
0.883466, 0.028074, 0.005975, 2.978407, 0.428350, A
0.883466, 0.025265, 0.003874, 2.978407, 2.791021, A
0.883466, 0.019245, 0.002760, 2.978407, 2.978407, A
0.883466, 0.014599, 0.002180, 2.978407, 2.978407, A
0.883466, 0.011284, 0.001737, 2.978407, 2.978407, A
0.883466, 0.009264, 0.001596, 2.978407, 2.918838, A
0.883466, 0.008276, 0.001319, 2.978407, 2.877479, A
0.883466, 0.008895, 0.001376, 2.978407, 2.037325, A
