amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.537921, 0.889420, 4.087576, 1.574782, H
0.736620, 3.177412, 0.481666, 4.087576, 3.851111, H
0.736620, 3.677473, 0.455211, 4.087576, 1.811183, H
0.736620, 2.965428, 0.299521, 4.087576, 4.087576, H
0.736620, 2.538527, 0.265141, 4.087576, 4.032628, H
0.736620, 3.249382, 0.442931, 4.087576, 1.284196, H
0.736620, 4.846082, 0.724222, 4.087576, 0.000000, H
0.736620, 3.767344, 0.458366, 4.087576, 4.087576, H
0.736620, 3.194162, 0.410103, 4.087576, 3.920562, H
0.736620, 3.468255, 0.437222, 4.087576, 2.420881, H
0.736620, 5.170745, 0.712468, 4.087576, 0.000000, H
0.736620, 3.549396, 0.539731, 4.087576, 4.087576, H
0.736620, 2.437946, 0.419621, 4.087576, 4.087576, H
0.736620, 1.726326, 0.354400, 4.087576, 4.087576, H
0.736620, 1.262283, 0.273525, 4.087576, 4.087576, H
0.736620, 0.953484, 0.226377, 4.087576, 4.087576, H
0.736620, 0.793076, 0.163397, 4.087576, 3.969746, H
0.736620, 0.988789, 0.201057, 4.087576, 1.528546, H
0.736620, 1.461664, 0.295244, 4.087576, 0.051543, H
0.736620, 2.177694, 0.447393, 4.087576, 0.034480, H
0.736620, 1.503399, 0.325280, 4.087576, 4.087576, H
0.736620, 1.042929, 0.252759, 4.087576, 4.087576, H
0.736620, 0.753990, 0.198958, 4.087576, 4.087576, H
0.736620, 0.561583, 0.155072, 4.087576, 4.087576, H
0.736620, 0.429017, 0.126341, 4.087576, 4.087576, H
0.736620, 0.361226, 0.091999, 4.087576, 3.965874, H
0.736620, 0.426448, 0.081004, 4.087576, 1.832243, H
0.736620, 0.635977, 0.127618, 4.087576, 0.000000, H
0.736620, 0.564887, 0.077875, 4.087576, 3.924073, H
0.736620, 0.410820, 0.056769, 4.087576, 4.087576, H
0.736620, 0.304587, 0.049103, 4.087576, 4.087576, H
0.736620, 0.231754, 0.043321, 4.087576, 4.087576, H
0.736620, 0.189877, 0.033907, 4.087576, 4.046700, H
0.736620, 0.204327, 0.030553, 4.087576, 2.559453, H
0.736620, 0.289857, 0.046131, 4.087576, 0.386431, H
0.736620, 0.209351, 0.031237, 4.087576, 4.087576, H
0.736620, 0.149509, 0.022972, 4.087576, 4.087576, H
