amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 3.018734, 0.703097, 4.042147, 2.752105, I
0.688203, 4.099895, 0.829261, 4.042147, 0.667904, I
0.688203, 3.121436, 0.553804, 4.042147, 4.042147, I
0.688203, 2.408322, 0.379368, 4.042147, 4.042147, I
0.688203, 2.036775, 0.289295, 4.042147, 3.932100, I
0.688203, 2.390387, 0.326655, 4.042147, 2.040133, I
0.688203, 3.467659, 0.550388, 4.042147, 0.248023, I
0.688203, 5.033966, 0.817810, 4.042147, 0.224893, I
0.688203, 3.914918, 0.525185, 4.042147, 4.042147, I
0.688203, 3.107749, 0.427690, 4.042147, 4.042147, I
0.688203, 2.724108, 0.371782, 4.042147, 3.947252, I
0.688203, 3.702565, 0.520333, 4.042147, 0.821284, I
0.688203, 5.203350, 0.799257, 4.042147, 0.495149, I
0.688203, 3.717709, 0.549671, 4.042147, 4.042147, I
0.688203, 2.660656, 0.434062, 4.042147, 4.042147, I
0.688203, 1.969258, 0.368550, 4.042147, 4.042147, I
0.688203, 1.529913, 0.302973, 4.042147, 4.042147, I
0.688203, 1.328251, 0.242354, 4.042147, 3.913462, I
0.688203, 1.874211, 0.342167, 4.042147, 0.463452, I
0.688203, 1.467991, 0.222218, 4.042147, 4.042147, I
0.688203, 1.199904, 0.174760, 4.042147, 4.042147, I
0.688203, 1.308081, 0.197125, 4.042147, 2.460505, I
0.688203, 1.923464, 0.313061, 4.042147, 0.129850, I
0.688203, 1.326235, 0.223753, 4.042147, 4.042147, I
0.688203, 0.931607, 0.177491, 4.042147, 4.042147, I
0.688203, 0.659312, 0.139136, 4.042147, 4.042147, I
0.688203, 0.473123, 0.110779, 4.042147, 4.042147, I
0.688203, 0.358755, 0.088734, 4.042147, 4.042147, I
0.688203, 0.288922, 0.065509, 4.042147, 4.042147, I
0.688203, 0.347647, 0.072194, 4.042147, 1.617260, I
0.688203, 0.518797, 0.112581, 4.042147, 0.037563, I
0.688203, 0.379484, 0.080544, 4.042147, 4.042147, I
0.688203, 0.286354, 0.064165, 4.042147, 4.042147, I
0.688203, 0.216410, 0.047447, 4.042147, 4.042147, I
0.688203, 0.181332, 0.037376, 4.042147, 3.954321, I
0.688203, 0.201568, 0.034777, 4.042147, 2.275114, I
0.688203, 0.200006, 0.024023, 4.042147, 3.354319, I
0.688203, 0.143549, 0.017965, 4.042147, 4.042147, I
0.688203, 0.104846, 0.016262, 4.042147, 4.042147, I
0.688203, 0.078849, 0.013999, 4.042147, 4.042147, I
0.688203, 0.060776, 0.011630, 4.042147, 4.042147, I
0.688203, 0.050421, 0.009494, 4.042147, 3.966990, I
0.688203, 0.058153, 0.009844, 4.042147, 2.176427, I
0.688203, 0.063886, 0.008464, 4.042147, 2.398908, I
0.688203, 0.044145, 0.006210, 4.042147, 4.042147, I
0.688203, 0.030976, 0.005236, 4.042147, 4.042147, I
0.688203, 0.022658, 0.004593, 4.042147, 4.042147, I
0.688203, 0.017057, 0.004064, 4.042147, 4.042147, I
0.688203, 0.013047, 0.003266, 4.042147, 4.042147, I
0.688203, 0.010732, 0.002498, 4.042147, 4.036504, I
0.688203, 0.010617, 0.001799, 4.042147, 3.429410, I
0.688203, 0.014162, 0.002278, 4.042147, 0.828543, I
0.688203, 0.010149, 0.001739, 4.042147, 4.042147, I
0.688203, 0.007239, 0.001392, 4.042147, 4.042147, I
0.688203, 0.005183, 0.001113, 4.042147, 4.042147, I
0.688203, 0.003968, 0.000920, 4.042147, 4.042147, I
0.688203, 0.003144, 0.000768, 4.042147, 4.042147, I
0.688203, 0.002710, 0.000622, 4.042147, 3.943891, I
0.688203, 0.003074, 0.000564, 4.042147, 2.358779, I
0.688203, 0.004578, 0.000847, 4.042147, 0.030216, I
0.688203, 0.006833, 0.001368, 4.042147, 0.000000, I
0.688203, 0.005535, 0.000903, 4.042147, 4.042147, I
0.688203, 0.005044, 0.000705, 4.042147, 3.767756, I
0.688203, 0.004255, 0.000500, 4.042147, 4.001725, I
0.688203, 0.003165, 0.000416, 4.042147, 4.042147, I
0.688203, 0.002432, 0.000372, 4.042147, 4.042147, I
0.688203, 0.001941, 0.000355, 4.042147, 4.042147, I
0.688203, 0.001645, 0.000286, 4.042147, 3.960462, I
0.688203, 0.001643, 0.000247, 4.042147, 3.266002, I
0.688203, 0.002171, 0.000319, 4.042147, 0.943458, I
0.688203, 0.001553, 0.000225, 4.042147, 4.042147, I
0.688203, 0.001133, 0.000183, 4.042147, 4.042147, I
0.688203, 0.000843, 0.000155, 4.042147, 4.042147, I
0.688203, 0.000682, 0.000131, 4.042147, 3.976930, I
0.688203, 0.000653, 0.000109, 4.042147, 3.319728, I
0.688203, 0.000610, 0.000074, 4.042147, 3.621312, I
0.688203, 0.000764, 0.000100, 4.042147, 1.486454, I
0.688203, 0.000557, 0.000071, 4.042147, 4.042147, I
0.688203, 0.000416, 0.000063, 4.042147, 4.042147, I
