amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.224873, 0.769545, 2.240037, 1.664226, J
0.726488, 3.262402, 0.556070, 2.240037, 1.794001, J
0.726488, 3.311382, 0.409735, 2.240037, 1.813702, J
0.726488, 3.774273, 0.440563, 2.240037, 1.305929, J
0.726488, 3.475750, 0.334703, 2.240037, 2.112047, J
0.726488, 3.645675, 0.443929, 2.240037, 1.546979, J
0.726488, 4.933245, 0.626729, 2.240037, 0.495615, J
0.726488, 3.792149, 0.424612, 2.240037, 2.240037, J
0.726488, 2.944214, 0.377590, 2.240037, 2.240037, J
0.726488, 2.309658, 0.343531, 2.240037, 2.240037, J
0.726488, 1.869354, 0.311590, 2.240037, 2.217637, J
0.726488, 1.588037, 0.278379, 2.240037, 2.233877, J
0.726488, 1.637998, 0.270764, 2.240037, 1.544581, J
0.726488, 2.194910, 0.367271, 2.240037, 0.474985, J
0.726488, 3.274360, 0.586094, 2.240037, 0.000000, J
0.726488, 2.768232, 0.364980, 2.240037, 2.190510, J
0.726488, 2.312691, 0.261382, 2.240037, 2.240037, J
0.726488, 1.893738, 0.214913, 2.240037, 2.240037, J
0.726488, 1.547151, 0.191081, 2.240037, 2.240037, J
0.726488, 1.320907, 0.179220, 2.240037, 2.217637, J
0.726488, 1.241843, 0.170285, 2.240037, 2.079460, J
0.726488, 1.410896, 0.187757, 2.240037, 1.300163, J
0.726488, 1.529831, 0.223437, 2.240037, 1.550506, J
0.726488, 1.536358, 0.227359, 2.240037, 1.849861, J
0.726488, 1.099199, 0.145682, 2.240037, 2.240037, J
0.726488, 0.784324, 0.109388, 2.240037, 2.240037, J
0.726488, 0.568031, 0.084877, 2.240037, 2.240037, J
0.726488, 0.418112, 0.077371, 2.240037, 2.240037, J
0.726488, 0.313110, 0.066063, 2.240037, 2.240037, J
0.726488, 0.239960, 0.056627, 2.240037, 2.240037, J
0.726488, 0.185819, 0.046382, 2.240037, 2.240037, J
0.726488, 0.148137, 0.036484, 2.240037, 2.240037, J
0.726488, 0.122981, 0.026896, 2.240037, 2.217637, J
0.726488, 0.124956, 0.025633, 2.240037, 1.762062, J
0.726488, 0.146884, 0.024998, 2.240037, 1.065080, J
0.726488, 0.210080, 0.037096, 2.240037, 0.203686, J
0.726488, 0.172884, 0.024624, 2.240037, 2.240037, J
0.726488, 0.139531, 0.017187, 2.240037, 2.240037, J
0.726488, 0.119968, 0.014894, 2.240037, 2.212977, J
0.726488, 0.113399, 0.013109, 2.240037, 2.063958, J
0.726488, 0.104959, 0.013726, 2.240037, 2.053954, J
0.726488, 0.081524, 0.011117, 2.240037, 2.240037, J
0.726488, 0.062157, 0.009852, 2.240037, 2.240037, J
0.726488, 0.046188, 0.008120, 2.240037, 2.240037, J
0.726488, 0.034374, 0.006681, 2.240037, 2.240037, J
0.726488, 0.026205, 0.005799, 2.240037, 2.240037, J
0.726488, 0.020954, 0.004866, 2.240037, 2.240037, J
0.726488, 0.016636, 0.004111, 2.240037, 2.240037, J
0.726488, 0.013411, 0.003345, 2.240037, 2.240037, J
0.726488, 0.011585, 0.002531, 2.240037, 2.195237, J
0.726488, 0.012093, 0.002268, 2.240037, 1.682305, J
0.726488, 0.011187, 0.001465, 2.240037, 2.009066, J
0.726488, 0.010373, 0.001071, 2.240037, 2.105635, J
0.726488, 0.007898, 0.000929, 2.240037, 2.240037, J
0.726488, 0.006152, 0.000798, 2.240037, 2.240037, J
0.726488, 0.004778, 0.000742, 2.240037, 2.240037, J
0.726488, 0.003820, 0.000681, 2.240037, 2.240037, J
0.726488, 0.003252, 0.000575, 2.240037, 2.191134, J
0.726488, 0.003521, 0.000604, 2.240037, 1.480711, J
0.726488, 0.004770, 0.000826, 2.240037, 0.398743, J
0.726488, 0.007110, 0.001277, 2.240037, 0.000000, J
0.726488, 0.005504, 0.000885, 2.240037, 2.240037, J
0.726488, 0.004223, 0.000705, 2.240037, 2.240037, J
0.726488, 0.003314, 0.000561, 2.240037, 2.240037, J
0.726488, 0.002711, 0.000458, 2.240037, 2.227348, J
0.726488, 0.002391, 0.000381, 2.240037, 2.183940, J
0.726488, 0.002489, 0.000363, 2.240037, 1.616987, J
0.726488, 0.001986, 0.000266, 2.240037, 2.217637, J
0.726488, 0.001486, 0.000227, 2.240037, 2.240037, J
0.726488, 0.001136, 0.000197, 2.240037, 2.240037, J
0.726488, 0.000868, 0.000177, 2.240037, 2.240037, J
0.726488, 0.000680, 0.000148, 2.240037, 2.240037, J
0.726488, 0.000545, 0.000117, 2.240037, 2.240037, J
0.726488, 0.000453, 0.000095, 2.240037, 2.240037, J
0.726488, 0.000397, 0.000074, 2.240037, 2.217637, J
0.726488, 0.000391, 0.000072, 2.240037, 1.823597, J
0.726488, 0.000464, 0.000080, 2.240037, 1.024694, J
0.726488, 0.000690, 0.000118, 2.240037, 0.000000, J
0.726488, 0.000497, 0.000076, 2.240037, 2.240037, J
0.726488, 0.000354, 0.000061, 2.240037, 2.240037, J
0.726488, 0.000253, 0.000048, 2.240037, 2.240037, J
0.726488, 0.000184, 0.000039, 2.240037, 2.240037, J
0.726488, 0.000134, 0.000032, 2.240037, 2.240037, J
0.726488, 0.000099, 0.000026, 2.240037, 2.240037, J
0.726488, 0.000075, 0.000021, 2.240037, 2.240037, J
0.726488, 0.000058, 0.000017, 2.240037, 2.240037, J
0.726488, 0.000047, 0.000014, 2.240037, 2.240037, J
0.726488, 0.000040, 0.000010, 2.240037, 2.240037, J
0.726488, 0.000038, 0.000008, 2.240037, 2.008429, J
0.726488, 0.000041, 0.000008, 2.240037, 1.587590, J
0.726488, 0.000047, 0.000008, 2.240037, 1.319657, J
0.726488, 0.000063, 0.000011, 2.240037, 0.415703, J
0.726488, 0.000051, 0.000007, 2.240037, 2.240037, J
0.726488, 0.000042, 0.000005, 2.240037, 2.231107, J
0.726488, 0.000035, 0.000004, 2.240037, 2.240037, J
0.726488, 0.000031, 0.000004, 2.240037, 2.171426, J
0.726488, 0.000037, 0.000005, 2.240037, 1.062127, J
0.726488, 0.000031, 0.000004, 2.240037, 2.217637, J
0.726488, 0.000026, 0.000003, 2.240037, 2.217637, J
0.726488, 0.000022, 0.000003, 2.240037, 2.240037, J
