amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.342576, 0.914832, 4.986297, 2.597947, F
0.453340, 3.631110, 0.675651, 4.986297, 3.027507, F
0.453340, 3.822364, 0.576920, 4.986297, 3.194064, F
0.453340, 4.350676, 0.693939, 4.986297, 2.737687, F
0.453340, 4.941245, 0.806818, 4.986297, 2.730513, F
0.453340, 5.455804, 0.811125, 4.986297, 2.730513, F
0.453340, 6.407802, 1.066767, 4.986297, 2.516881, F
0.453340, 7.702363, 1.521394, 4.986297, 1.982281, F
0.453340, 9.228875, 1.384908, 4.986297, 2.120087, F
0.453340, 9.676425, 1.446462, 4.986297, 3.492381, F
0.453340, 9.388946, 1.217616, 4.986297, 4.159401, F
0.453340, 8.428130, 1.092591, 4.986297, 4.585774, F
0.453340, 7.270054, 0.957667, 4.986297, 4.836708, F
0.453340, 6.440102, 0.967545, 4.986297, 4.807657, F
0.453340, 5.529125, 0.821137, 4.986297, 4.936434, F
0.453340, 4.766660, 0.855489, 4.986297, 4.882004, F
0.453340, 4.127505, 0.753455, 4.986297, 4.899611, F
0.453340, 3.630578, 0.634144, 4.986297, 4.939808, F
0.453340, 3.174354, 0.549484, 4.986297, 4.886571, F
0.453340, 2.788845, 0.468689, 4.986297, 4.795865, F
0.453340, 2.548867, 0.407548, 4.986297, 4.786845, F
0.453340, 2.343419, 0.408458, 4.986297, 4.616407, F
0.453340, 2.092228, 0.351665, 4.986297, 4.858198, F
0.453340, 1.898411, 0.291409, 4.986297, 4.836708, F
0.453340, 1.839023, 0.272155, 4.986297, 4.313026, F
0.453340, 1.842561, 0.267270, 4.986297, 4.014035, F
0.453340, 1.851930, 0.297976, 4.986297, 4.181417, F
0.453340, 1.857374, 0.283717, 4.986297, 4.093193, F
0.453340, 1.824823, 0.252110, 4.986297, 4.088763, F
0.453340, 1.902630, 0.268018, 4.986297, 3.705169, F
0.453340, 1.991804, 0.262125, 4.986297, 3.597469, F
0.453340, 2.256774, 0.292868, 4.986297, 2.641414, F
0.453340, 2.642987, 0.397790, 4.986297, 2.484493, F
0.453340, 3.108615, 0.541954, 4.986297, 2.351627, F
0.453340, 3.676349, 0.557927, 4.986297, 2.172549, F
0.453340, 4.593164, 0.773878, 4.986297, 1.805319, F
0.453340, 5.613591, 0.889653, 4.986297, 1.805319, F
0.453340, 7.016497, 1.049915, 4.986297, 1.805319, F
0.453340, 8.874739, 1.297945, 4.986297, 1.550721, F
0.453340, 11.378816, 1.718024, 4.986297, 1.550721, F
0.453340, 14.628395, 2.314878, 4.986297, 1.550721, F
0.453340, 19.425726, 3.282740, 4.986297, 1.355469, F
0.453340, 23.270771, 3.906488, 4.986297, 2.129459, F
0.453340, 24.227993, 3.829739, 4.986297, 3.656443, F
0.453340, 22.646490, 3.367256, 4.986297, 4.456113, F
0.453340, 20.160643, 3.075009, 4.986297, 4.786845, F
0.453340, 17.894316, 2.861490, 4.986297, 4.844968, F
0.453340, 15.714755, 2.560669, 4.986297, 4.831216, F
0.453340, 14.283944, 2.268193, 4.986297, 4.710064, F
0.453340, 13.012440, 1.939942, 4.986297, 4.786845, F
0.453340, 11.902158, 2.041055, 4.986297, 4.720727, F
0.453340, 11.398457, 1.701056, 4.986297, 4.510702, F
0.453340, 11.067152, 1.749322, 4.986297, 4.196850, F
0.453340, 10.549736, 1.527575, 4.986297, 4.497771, F
0.453340, 10.938136, 1.659737, 4.986297, 3.565257, F
0.453340, 12.171325, 1.793783, 4.986297, 2.896199, F
0.453340, 14.673668, 2.361710, 4.986297, 2.249605, F
0.453340, 17.736760, 2.873589, 4.986297, 2.316861, F
0.453340, 22.427147, 3.716164, 4.986297, 1.840933, F
0.453340, 28.132783, 3.972310, 4.986297, 1.636998, F
0.453340, 32.006864, 4.298715, 4.986297, 2.791414, F
0.453340, 30.329314, 4.246058, 4.986297, 4.408723, F
0.453340, 27.248730, 3.697963, 4.986297, 4.777763, F
0.453340, 24.283473, 3.937652, 4.986297, 4.906322, F
0.453340, 21.336626, 3.584321, 4.986297, 4.829268, F
0.453340, 18.842686, 3.147384, 4.986297, 4.931349, F
0.453340, 17.215656, 2.713895, 4.986297, 4.585801, F
0.453340, 15.625206, 2.451906, 4.986297, 4.856593, F
0.453340, 14.518147, 2.109478, 4.986297, 4.496023, F
0.453340, 13.523617, 1.782096, 4.986297, 4.663604, F
0.453340, 12.735361, 1.650376, 4.986297, 4.577059, F
0.453340, 12.545564, 1.794438, 4.986297, 4.288215, F
0.453340, 12.332298, 1.677333, 4.986297, 4.237240, F
0.453340, 12.369246, 1.761540, 4.986297, 4.003293, F
0.453340, 12.176939, 1.687115, 4.986297, 4.211017, F
0.453340, 12.573506, 1.647744, 4.986297, 3.599786, F
0.453340, 13.719790, 2.043211, 4.986297, 3.088980, F
0.453340, 15.556878, 2.309418, 4.986297, 2.634181, F
0.453340, 17.327750, 2.317807, 4.986297, 2.897162, F
0.453340, 20.865382, 2.980182, 4.986297, 2.171560, F
0.453340, 22.643733, 3.257035, 4.986297, 2.930441, F
0.453340, 25.397471, 3.747710, 4.986297, 2.872624, F
0.453340, 25.853814, 3.642589, 4.986297, 3.846414, F
0.453340, 25.183037, 3.173644, 4.986297, 4.298914, F
0.453340, 22.435785, 2.881783, 4.986297, 4.873433, F
0.453340, 20.401031, 2.778187, 4.986297, 4.620927, F
0.453340, 18.636381, 2.284500, 4.986297, 4.651258, F
0.453340, 17.693300, 2.583027, 4.986297, 4.449305, F
0.453340, 16.692245, 2.089609, 4.986297, 4.425525, F
0.453340, 17.105794, 2.427475, 4.986297, 3.541903, F
0.453340, 17.909219, 2.507276, 4.986297, 3.386975, F
0.453340, 18.833290, 2.501844, 4.986297, 3.389371, F
