amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 2.833712, 0.748783, 2.978407, 2.317110, A
0.883466, 3.082085, 0.665269, 2.978407, 1.939999, A
0.883466, 3.425645, 0.589122, 2.978407, 1.915308, A
0.883466, 4.323999, 0.769241, 2.978407, 1.178332, A
0.883466, 4.615511, 0.826938, 2.978407, 2.166983, A
0.883466, 4.539675, 0.671370, 2.978407, 2.550318, A
0.883466, 4.316213, 0.656828, 2.978407, 2.715456, A
0.883466, 4.244219, 0.688987, 2.978407, 2.542377, A
0.883466, 4.754952, 0.784563, 2.978407, 1.890054, A
0.883466, 4.733888, 0.641814, 2.978407, 2.499184, A
0.883466, 4.505083, 0.707944, 2.978407, 2.740134, A
0.883466, 4.606840, 0.678142, 2.978407, 2.346969, A
0.883466, 5.123805, 0.629527, 2.978407, 1.797715, A
0.883466, 4.812200, 0.616278, 2.978407, 2.682142, A
0.883466, 4.488643, 0.573235, 2.978407, 2.761918, A
0.883466, 4.277518, 0.531408, 2.978407, 2.718505, A
0.883466, 4.153957, 0.516309, 2.978407, 2.644113, A
0.883466, 4.315212, 0.554252, 2.978407, 2.340961, A
0.883466, 4.672866, 0.693500, 2.978407, 2.078731, A
0.883466, 4.227939, 0.574388, 2.978407, 2.874493, A
0.883466, 4.039993, 0.581615, 2.978407, 2.679514, A
0.883466, 4.033359, 0.582217, 2.978407, 2.510222, A
0.883466, 4.074518, 0.558658, 2.978407, 2.460976, A
0.883466, 4.196334, 0.595966, 2.978407, 2.306732, A
0.883466, 4.529129, 0.736192, 2.978407, 2.114669, A
0.883466, 4.312025, 0.598083, 2.978407, 2.724342, A
0.883466, 4.294595, 0.603901, 2.978407, 2.620998, A
0.883466, 4.500844, 0.710921, 2.978407, 2.407212, A
0.883466, 4.831468, 0.861418, 2.978407, 2.146318, A
0.883466, 4.599667, 0.619685, 2.978407, 2.766434, A
0.883466, 4.388772, 0.559147, 2.978407, 2.705255, A
0.883466, 3.977388, 0.442051, 2.978407, 2.873179, A
0.883466, 3.668483, 0.463810, 2.978407, 2.843404, A
0.883466, 3.419708, 0.395697, 2.978407, 2.783827, A
0.883466, 3.284759, 0.435344, 2.978407, 2.545253, A
0.883466, 3.462428, 0.492518, 2.978407, 2.301404, A
0.883466, 3.633189, 0.563252, 2.978407, 2.159300, A
0.883466, 3.679026, 0.576614, 2.978407, 2.352941, A
0.883466, 3.867640, 0.539520, 2.978407, 2.174812, A
0.883466, 4.211926, 0.570019, 2.978407, 1.877013, A
0.883466, 3.568877, 0.498228, 2.978407, 2.948622, A
0.883466, 3.027048, 0.436221, 2.978407, 2.948622, A
0.883466, 2.522830, 0.384153, 2.978407, 2.978407, A
0.883466, 2.140019, 0.331878, 2.978407, 2.978407, A
0.883466, 1.901334, 0.311778, 2.978407, 2.939426, A
0.883466, 1.724920, 0.280976, 2.978407, 2.870751, A
0.883466, 1.792365, 0.288754, 2.978407, 2.408337, A
0.883466, 1.992313, 0.310349, 2.978407, 2.027026, A
0.883466, 2.660917, 0.449479, 2.978407, 0.774386, A
0.883466, 2.378999, 0.327633, 2.978407, 2.859270, A
0.883466, 2.110967, 0.271035, 2.978407, 2.889054, A
0.883466, 1.848806, 0.241936, 2.978407, 2.889054, A
0.883466, 1.673474, 0.226160, 2.978407, 2.829486, A
0.883466, 1.536708, 0.228444, 2.978407, 2.859270, A
0.883466, 1.404758, 0.207338, 2.978407, 2.859270, A
0.883466, 1.296608, 0.180155, 2.978407, 2.859270, A
0.883466, 1.205986, 0.181773, 2.978407, 2.740134, A
0.883466, 1.171755, 0.185856, 2.978407, 2.681765, A
0.883466, 1.151230, 0.149576, 2.978407, 2.633202, A
0.883466, 1.156755, 0.155997, 2.978407, 2.442293, A
0.883466, 1.202016, 0.176158, 2.978407, 2.382725, A
