amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.690001, 2.747178, 0.865058, 1.912332, 1.721099, B
1.690001, 2.627497, 0.613240, 1.912332, 1.742200, B
1.690001, 2.623875, 0.525824, 1.912332, 1.674499, B
1.690001, 2.566091, 0.433123, 1.912332, 1.701976, B
1.690001, 2.496393, 0.436468, 1.912332, 1.678402, B
1.690001, 2.411494, 0.400428, 1.912332, 1.682853, B
1.690001, 2.468412, 0.382903, 1.912332, 1.487169, B
1.690001, 2.601587, 0.461137, 1.912332, 1.510059, B
1.690001, 2.785630, 0.443567, 1.912332, 1.336086, B
1.690001, 3.362160, 0.526802, 1.912332, 1.002092, B
1.690001, 4.073441, 0.626190, 1.912332, 0.975290, B
1.690001, 4.821076, 0.735954, 1.912332, 0.994413, B
1.690001, 5.038429, 0.733540, 1.912332, 1.397060, B
1.690001, 5.596189, 0.886017, 1.912332, 1.276696, B
1.690001, 5.000137, 0.774527, 1.912332, 1.858099, B
1.690001, 4.322370, 0.649412, 1.912332, 1.893209, B
1.690001, 3.740541, 0.552395, 1.912332, 1.893209, B
1.690001, 3.256549, 0.556119, 1.912332, 1.874086, B
1.690001, 2.804774, 0.439875, 1.912332, 1.912332, B
1.690001, 2.505224, 0.404507, 1.912332, 1.835839, B
1.690001, 2.274876, 0.357623, 1.912332, 1.809420, B
1.690001, 2.213905, 0.356125, 1.912332, 1.700839, B
1.690001, 2.117102, 0.326778, 1.912332, 1.701976, B
1.690001, 2.050787, 0.307503, 1.912332, 1.625483, B
1.690001, 2.038239, 0.298367, 1.912332, 1.644606, B
1.690001, 2.082674, 0.386286, 1.912332, 1.568113, B
1.690001, 2.103303, 0.305996, 1.912332, 1.603687, B
1.690001, 2.231029, 0.330486, 1.912332, 1.472496, B
1.690001, 2.365592, 0.384738, 1.912332, 1.412454, B
1.690001, 2.695676, 0.435452, 1.912332, 1.223893, B
1.690001, 3.090986, 0.521232, 1.912332, 1.164296, B
1.690001, 3.734611, 0.631303, 1.912332, 1.019089, B
1.690001, 4.353916, 0.682044, 1.912332, 1.001991, B
1.690001, 4.427701, 0.515609, 1.912332, 1.548960, B
1.690001, 4.021109, 0.448571, 1.912332, 1.835839, B
1.690001, 3.478251, 0.367022, 1.912332, 1.898354, B
1.690001, 3.065699, 0.409917, 1.912332, 1.854962, B
1.690001, 2.810874, 0.343196, 1.912332, 1.820931, B
1.690001, 2.634553, 0.376570, 1.912332, 1.743437, B
1.690001, 2.516153, 0.357541, 1.912332, 1.759346, B
1.690001, 2.435955, 0.353740, 1.912332, 1.721099, B
1.690001, 2.467435, 0.382341, 1.912332, 1.618744, B
