amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.793129, 3.186214, 0.793012, 2.021896, 1.612706, C
0.793129, 3.261137, 0.660466, 2.021896, 1.657954, C
0.793129, 3.320353, 0.679934, 2.021896, 1.688487, C
0.793129, 3.323133, 0.562581, 2.021896, 1.779268, C
0.793129, 3.383162, 0.545429, 2.021896, 1.585223, C
0.793129, 3.399210, 0.578089, 2.021896, 1.657954, C
0.793129, 3.577857, 0.707219, 2.021896, 1.475984, C
0.793129, 3.863420, 0.616053, 2.021896, 1.347641, C
0.793129, 4.426952, 0.799821, 2.021896, 1.172699, C
0.793129, 4.587549, 0.621114, 2.021896, 1.569186, C
0.793129, 4.969324, 0.809439, 2.021896, 1.395108, C
0.793129, 4.913754, 0.709799, 2.021896, 1.703487, C
0.793129, 4.672439, 0.589155, 2.021896, 1.819706, C
0.793129, 4.503393, 0.591369, 2.021896, 1.783291, C
0.793129, 4.299990, 0.531117, 2.021896, 1.785281, C
0.793129, 4.248149, 0.596362, 2.021896, 1.680586, C
0.793129, 3.977793, 0.553396, 2.021896, 1.860144, C
0.793129, 3.836374, 0.578845, 2.021896, 1.720220, C
0.793129, 4.101241, 0.671859, 2.021896, 1.525923, C
0.793129, 4.311061, 0.578751, 2.021896, 1.412587, C
0.793129, 4.413760, 0.551789, 2.021896, 1.617517, C
0.793129, 4.938835, 0.662599, 2.021896, 1.314232, C
0.793129, 4.516363, 0.523300, 2.021896, 1.991615, C
0.793129, 4.058582, 0.524756, 2.021896, 1.943061, C
0.793129, 3.606534, 0.480347, 2.021896, 1.961239, C
0.793129, 3.451163, 0.509700, 2.021896, 1.790679, C
0.793129, 3.260980, 0.529742, 2.021896, 1.839925, C
0.793129, 3.375374, 0.489756, 2.021896, 1.500425, C
0.793129, 3.731774, 0.614465, 2.021896, 1.385367, C
0.793129, 3.981422, 0.621918, 2.021896, 1.466242, C
0.793129, 4.269464, 0.721663, 2.021896, 1.496203, C
0.793129, 4.735157, 0.752520, 2.021896, 1.276948, C
0.793129, 4.268298, 0.712391, 2.021896, 1.880363, C
0.793129, 3.761827, 0.557801, 2.021896, 2.001677, C
0.793129, 3.367961, 0.461632, 2.021896, 2.001677, C
0.793129, 3.055470, 0.411262, 2.021896, 1.920801, C
0.793129, 2.751687, 0.398644, 2.021896, 1.880363, C
0.793129, 2.586176, 0.358985, 2.021896, 1.899483, C
0.793129, 2.647855, 0.367974, 2.021896, 1.698392, C
0.793129, 2.749207, 0.375086, 2.021896, 1.642229, C
0.793129, 2.849529, 0.404999, 2.021896, 1.617517, C
0.793129, 3.086919, 0.533873, 2.021896, 1.415327, C
0.793129, 2.907635, 0.421204, 2.021896, 1.846962, C
0.793129, 2.820503, 0.433631, 2.021896, 1.751564, C
0.793129, 2.598896, 0.319947, 2.021896, 1.920801, C
0.793129, 2.570068, 0.307137, 2.021896, 1.748829, C
0.793129, 2.495582, 0.374149, 2.021896, 1.847573, C
0.793129, 2.436615, 0.410700, 2.021896, 1.774064, C
0.793129, 2.340527, 0.363364, 2.021896, 1.819706, C
0.793129, 2.345389, 0.330473, 2.021896, 1.640828, C
0.793129, 2.221706, 0.250685, 2.021896, 1.798707, C
0.793129, 2.108915, 0.272285, 2.021896, 1.842879, C
0.793129, 1.897252, 0.232035, 2.021896, 1.903466, C
0.793129, 1.786684, 0.239532, 2.021896, 1.799487, C
0.793129, 1.636037, 0.252583, 2.021896, 1.900582, C
0.793129, 1.510234, 0.229650, 2.021896, 1.893938, C
0.793129, 1.493265, 0.221364, 2.021896, 1.759049, C
0.793129, 1.558023, 0.246824, 2.021896, 1.576641, C
0.793129, 1.735848, 0.280050, 2.021896, 1.213137, C
0.793129, 1.929690, 0.318479, 2.021896, 1.276599, C
0.793129, 2.063404, 0.294745, 2.021896, 1.621237, C
0.793129, 2.265973, 0.351088, 2.021896, 1.363006, C
0.793129, 2.182260, 0.299136, 2.021896, 1.819706, C
0.793129, 1.925373, 0.258702, 2.021896, 1.941020, C
0.793129, 1.775171, 0.231344, 2.021896, 1.895853, C
0.793129, 1.657143, 0.259359, 2.021896, 1.821989, C
0.793129, 1.612046, 0.225581, 2.021896, 1.760282, C
0.793129, 1.514601, 0.213557, 2.021896, 1.860144, C
0.793129, 1.503319, 0.207704, 2.021896, 1.690077, C
0.793129, 1.500518, 0.196025, 2.021896, 1.720055, C
0.793129, 1.598594, 0.239308, 2.021896, 1.428170, C
0.793129, 1.731611, 0.204462, 2.021896, 1.365717, C
0.793129, 1.716465, 0.254870, 2.021896, 1.732205, C
0.793129, 1.578158, 0.212390, 2.021896, 1.940815, C
0.793129, 1.569128, 0.217680, 2.021896, 1.698188, C
0.793129, 1.551389, 0.222034, 2.021896, 1.730971, C
0.793129, 1.623211, 0.229317, 2.021896, 1.556860, C
0.793129, 1.693010, 0.237709, 2.021896, 1.500431, C
0.793129, 1.615138, 0.218479, 2.021896, 1.831270, C
0.793129, 1.452240, 0.194022, 2.021896, 1.941020, C
0.793129, 1.331206, 0.188668, 2.021896, 1.895719, C
0.793129, 1.273689, 0.183086, 2.021896, 1.821264, C
0.793129, 1.130039, 0.149303, 2.021896, 2.004770, C
0.793129, 1.006227, 0.141499, 2.021896, 2.001677, C
0.793129, 0.867663, 0.116754, 2.021896, 2.001677, C
0.793129, 0.794226, 0.135270, 2.021896, 1.919417, C
0.793129, 0.716431, 0.125248, 2.021896, 1.901687, C
0.793129, 0.668669, 0.112802, 2.021896, 1.915938, C
0.793129, 0.631516, 0.101592, 2.021896, 1.857606, C
0.793129, 0.614935, 0.107282, 2.021896, 1.779268, C
0.793129, 0.599762, 0.094586, 2.021896, 1.739962, C
0.793129, 0.590710, 0.088423, 2.021896, 1.779268, C
0.793129, 0.607319, 0.088972, 2.021896, 1.576528, C
0.793129, 0.611716, 0.091524, 2.021896, 1.718611, C
0.793129, 0.640395, 0.106316, 2.021896, 1.516422, C
0.793129, 0.649904, 0.095353, 2.021896, 1.631729, C
0.793129, 0.714180, 0.108639, 2.021896, 1.342337, C
0.793129, 0.793278, 0.113623, 2.021896, 1.307910, C
0.793129, 0.912791, 0.129331, 2.021896, 1.164569, C
0.793129, 0.878050, 0.116867, 2.021896, 1.738830, C
