amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 3.080492, 0.832222, 2.585320, 2.068565, D
1.124094, 3.258359, 0.683088, 2.585320, 1.822042, D
1.124094, 3.738858, 0.770636, 2.585320, 1.503482, D
1.124094, 4.289557, 0.677413, 2.585320, 1.499485, D
1.124094, 4.081517, 0.518312, 2.585320, 2.341156, D
1.124094, 4.451466, 0.720703, 2.585320, 1.663160, D
1.124094, 5.311238, 0.850124, 2.585320, 1.274391, D
1.124094, 5.218545, 0.819917, 2.585320, 2.239189, D
1.124094, 4.490925, 0.550597, 2.585320, 2.559466, D
1.124094, 4.090024, 0.525083, 2.585320, 2.506355, D
1.124094, 3.720130, 0.539806, 2.585320, 2.456054, D
1.124094, 3.561859, 0.507757, 2.585320, 2.325105, D
1.124094, 3.597159, 0.577360, 2.585320, 2.207827, D
1.124094, 3.540562, 0.621033, 2.585320, 2.275665, D
1.124094, 3.517687, 0.627577, 2.585320, 2.209232, D
1.124094, 3.610656, 0.624828, 2.585320, 2.018066, D
1.124094, 3.818085, 0.618169, 2.585320, 1.924847, D
1.124094, 4.232082, 0.669952, 2.585320, 1.706173, D
1.124094, 4.599355, 0.798017, 2.585320, 1.873670, D
1.124094, 4.395788, 0.688888, 2.585320, 2.279809, D
1.124094, 4.275245, 0.672383, 2.585320, 2.264934, D
1.124094, 4.088379, 0.542168, 2.585320, 2.347569, D
1.124094, 4.315310, 0.680583, 2.585320, 1.934619, D
1.124094, 4.557873, 0.611493, 2.585320, 1.872721, D
1.124094, 5.366984, 0.777523, 2.585320, 1.260028, D
1.124094, 5.300097, 0.839429, 2.585320, 2.136828, D
1.124094, 5.177120, 0.859954, 2.585320, 2.108407, D
1.124094, 4.778838, 0.670750, 2.585320, 2.404347, D
1.124094, 4.371634, 0.650245, 2.585320, 2.438674, D
1.124094, 4.062813, 0.634861, 2.585320, 2.358422, D
1.124094, 4.029876, 0.628825, 2.585320, 2.187548, D
1.124094, 3.780007, 0.490333, 2.585320, 2.300934, D
1.124094, 3.541216, 0.505479, 2.585320, 2.283165, D
1.124094, 3.824976, 0.542415, 2.585320, 1.836009, D
1.124094, 4.278588, 0.673604, 2.585320, 1.602898, D
1.124094, 3.715560, 0.513574, 2.585320, 2.585320, D
1.124094, 3.292315, 0.468872, 2.585320, 2.475188, D
1.124094, 2.920787, 0.414992, 2.585320, 2.507760, D
1.124094, 2.639232, 0.433500, 2.585320, 2.430773, D
1.124094, 2.492127, 0.420357, 2.585320, 2.399383, D
1.124094, 2.428510, 0.375962, 2.585320, 2.268362, D
