amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.412168, 2.797777, 0.789420, 2.509260, 2.383797, E
1.412168, 2.569585, 0.542965, 2.509260, 2.381598, E
1.412168, 2.554214, 0.369140, 2.509260, 2.171767, E
1.412168, 2.520712, 0.368183, 2.509260, 2.143744, E
1.412168, 2.662639, 0.445268, 2.509260, 1.865063, E
1.412168, 2.872280, 0.414071, 2.509260, 1.724046, E
1.412168, 3.500328, 0.533002, 2.509260, 1.090785, E
1.412168, 4.690669, 0.693069, 2.509260, 0.585341, E
1.412168, 5.288893, 0.904394, 2.509260, 1.483264, E
1.412168, 5.277055, 0.622503, 2.509260, 2.012123, E
1.412168, 5.106429, 0.590761, 2.509260, 2.302879, E
1.412168, 4.841866, 0.586891, 2.509260, 2.283427, E
1.412168, 4.310287, 0.556153, 2.509260, 2.459075, E
1.412168, 3.977288, 0.611263, 2.509260, 2.408890, E
1.412168, 3.644740, 0.497327, 2.509260, 2.408890, E
1.412168, 3.355726, 0.477056, 2.509260, 2.342086, E
1.412168, 3.103289, 0.462967, 2.509260, 2.313676, E
1.412168, 3.222353, 0.451029, 2.509260, 1.963493, E
1.412168, 3.639397, 0.464430, 2.509260, 1.588745, E
1.412168, 4.591957, 0.716190, 2.509260, 1.071613, E
1.412168, 5.409442, 0.722262, 2.509260, 1.364336, E
1.412168, 4.896624, 0.561475, 2.509260, 2.395571, E
1.412168, 4.249015, 0.462221, 2.509260, 2.459075, E
1.412168, 3.639476, 0.437717, 2.509260, 2.459522, E
1.412168, 3.184518, 0.399543, 2.509260, 2.502656, E
1.412168, 2.885846, 0.379372, 2.509260, 2.433983, E
1.412168, 2.622871, 0.417339, 2.509260, 2.392008, E
1.412168, 2.313521, 0.331662, 2.509260, 2.509260, E
1.412168, 2.132923, 0.314163, 2.509260, 2.336946, E
1.412168, 2.101007, 0.372386, 2.509260, 2.191267, E
1.412168, 2.070517, 0.364774, 2.509260, 2.165541, E
1.412168, 2.182083, 0.357756, 2.509260, 1.841712, E
1.412168, 2.352166, 0.426008, 2.509260, 1.856853, E
1.412168, 2.705008, 0.448869, 2.509260, 1.405186, E
1.412168, 3.190355, 0.503842, 2.509260, 1.344437, E
1.412168, 3.878003, 0.611127, 2.509260, 1.171268, E
1.412168, 3.970150, 0.539858, 2.509260, 1.944420, E
1.412168, 3.935565, 0.482773, 2.509260, 2.215151, E
1.412168, 3.470625, 0.416657, 2.509260, 2.400806, E
1.412168, 3.058330, 0.378012, 2.509260, 2.433983, E
1.412168, 2.770954, 0.391480, 2.509260, 2.420438, E
1.412168, 2.706222, 0.432038, 2.509260, 2.261797, E
1.412168, 2.568144, 0.405416, 2.509260, 2.308520, E
1.412168, 2.444333, 0.329562, 2.509260, 2.258334, E
1.412168, 2.372478, 0.308911, 2.509260, 2.240354, E
1.412168, 2.415489, 0.327783, 2.509260, 2.007408, E
1.412168, 2.374026, 0.341278, 2.509260, 2.154403, E
1.412168, 2.365481, 0.381352, 2.509260, 2.082686, E
1.412168, 2.363606, 0.381067, 2.509260, 2.183057, E
1.412168, 2.352185, 0.372268, 2.509260, 2.057593, E
1.412168, 2.354592, 0.356357, 2.509260, 2.044821, E
1.412168, 2.367948, 0.321560, 2.509260, 2.110217, E
1.412168, 2.221578, 0.296547, 2.509260, 2.374955, E
