amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.606076, 1.094686, 4.986297, 1.856148, F
0.453340, 3.741093, 0.701599, 4.986297, 3.400309, F
0.453340, 3.921927, 0.530329, 4.986297, 3.180234, F
0.453340, 3.678200, 0.435959, 4.986297, 4.433842, F
0.453340, 3.605456, 0.433082, 4.986297, 3.981194, F
0.453340, 3.829828, 0.568741, 4.986297, 3.220317, F
0.453340, 4.421355, 0.645730, 4.986297, 2.440420, F
0.453340, 5.076739, 0.789246, 4.986297, 2.523005, F
0.453340, 4.991914, 0.644755, 4.986297, 3.867266, F
0.453340, 4.650398, 0.539609, 4.986297, 4.407950, F
0.453340, 4.238694, 0.491709, 4.986297, 4.600069, F
0.453340, 4.024646, 0.499543, 4.986297, 4.248430, F
0.453340, 4.157428, 0.572121, 4.986297, 3.560765, F
0.453340, 4.407428, 0.622303, 4.986297, 3.181633, F
0.453340, 5.243050, 0.811626, 4.986297, 2.356200, F
0.453340, 5.329297, 0.697204, 4.986297, 3.606908, F
0.453340, 4.988871, 0.582459, 4.986297, 4.389414, F
0.453340, 4.579880, 0.509008, 4.986297, 4.798910, F
0.453340, 4.408320, 0.499859, 4.986297, 4.120267, F
0.453340, 4.608919, 0.517020, 4.986297, 3.427677, F
0.453340, 4.313346, 0.542217, 4.986297, 4.459075, F
0.453340, 4.215790, 0.478379, 4.986297, 4.062396, F
0.453340, 4.680482, 0.696650, 4.986297, 3.210414, F
0.453340, 5.037388, 0.684901, 4.986297, 3.343272, F
0.453340, 5.029350, 0.616650, 4.986297, 4.056485, F
0.453340, 5.163678, 0.648966, 4.986297, 3.875498, F
0.453340, 4.916068, 0.608308, 4.986297, 4.387472, F
0.453340, 4.595777, 0.579519, 4.986297, 4.340177, F
0.453340, 4.722375, 0.618554, 4.986297, 3.718200, F
0.453340, 4.735210, 0.653840, 4.986297, 3.854933, F
0.453340, 4.458038, 0.629999, 4.986297, 4.428643, F
0.453340, 4.067929, 0.541987, 4.986297, 4.561588, F
0.453340, 3.703935, 0.444892, 4.986297, 4.761524, F
0.453340, 3.664660, 0.497848, 4.986297, 4.013981, F
