amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.724490, 3.065411, 0.828817, 2.632789, 2.262433, G
0.724490, 3.145309, 0.584770, 2.632789, 2.171492, G
0.724490, 3.448155, 0.539063, 2.632789, 1.813298, G
0.724490, 3.864993, 0.545898, 2.632789, 1.705842, G
0.724490, 4.400136, 0.652781, 2.632789, 1.402024, G
0.724490, 4.965503, 0.663278, 2.632789, 1.573153, G
0.724490, 4.530162, 0.553866, 2.632789, 2.472637, G
0.724490, 4.091651, 0.598015, 2.632789, 2.553805, G
0.724490, 3.648448, 0.466343, 2.632789, 2.580133, G
0.724490, 3.393523, 0.425711, 2.632789, 2.527477, G
0.724490, 3.281879, 0.439404, 2.632789, 2.358502, G
0.724490, 3.328060, 0.445637, 2.632789, 2.026161, G
0.724490, 3.396883, 0.502942, 2.632789, 2.101404, G
0.724490, 3.892463, 0.578593, 2.632789, 1.607051, G
0.724490, 4.350428, 0.539769, 2.632789, 1.733549, G
0.724490, 4.973124, 0.682960, 2.632789, 1.581718, G
0.724490, 5.512460, 0.792130, 2.632789, 1.742093, G
0.724490, 4.789147, 0.641330, 2.632789, 2.582997, G
0.724490, 4.084451, 0.551297, 2.632789, 2.580133, G
0.724490, 3.404680, 0.463054, 2.632789, 2.632789, G
0.724490, 2.923058, 0.417308, 2.632789, 2.581761, G
0.724490, 2.595414, 0.415047, 2.632789, 2.501149, G
0.724490, 2.253909, 0.331952, 2.632789, 2.606461, G
0.724490, 1.952699, 0.271253, 2.632789, 2.632789, G
0.724490, 1.737802, 0.244120, 2.632789, 2.527477, G
0.724490, 1.597550, 0.206893, 2.632789, 2.501149, G
0.724490, 1.549460, 0.228212, 2.632789, 2.392822, G
0.724490, 1.488266, 0.236897, 2.632789, 2.352226, G
0.724490, 1.418108, 0.217565, 2.632789, 2.369510, G
0.724490, 1.356890, 0.197940, 2.632789, 2.369510, G
0.724490, 1.349145, 0.223048, 2.632789, 2.237871, G
0.724490, 1.388298, 0.271026, 2.632789, 2.122082, G
0.724490, 1.419733, 0.217176, 2.632789, 2.053069, G
0.724490, 1.490475, 0.239247, 2.632789, 2.041507, G
0.724490, 1.711946, 0.282076, 2.632789, 1.503425, G
0.724490, 1.981694, 0.318103, 2.632789, 1.442486, G
0.724490, 2.379305, 0.335344, 2.632789, 1.262652, G
0.724490, 2.929257, 0.410020, 2.632789, 1.104685, G
0.724490, 3.642267, 0.529248, 2.632789, 1.131013, G
0.724490, 4.023537, 0.639910, 2.632789, 1.756562, G
0.724490, 3.592750, 0.494766, 2.632789, 2.580133, G
0.724490, 3.007240, 0.389014, 2.632789, 2.606461, G
0.724490, 2.717209, 0.341786, 2.632789, 2.527477, G
0.724490, 2.543647, 0.330263, 2.632789, 2.310581, G
0.724490, 2.327659, 0.320498, 2.632789, 2.474821, G
