amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.799433, 1.159872, 4.087576, 1.178727, H
0.736620, 4.332280, 0.972828, 4.087576, 2.232796, H
0.736620, 4.300612, 0.641161, 4.087576, 3.231811, H
0.736620, 4.169316, 0.526122, 4.087576, 3.459068, H
0.736620, 4.198966, 0.477015, 4.087576, 3.161074, H
0.736620, 4.645601, 0.557899, 4.087576, 2.305988, H
0.736620, 4.906100, 0.693689, 4.087576, 2.847926, H
0.736620, 4.588061, 0.584804, 4.087576, 3.602494, H
0.736620, 4.548884, 0.590801, 4.087576, 3.227989, H
0.736620, 4.816219, 0.629248, 4.087576, 2.792017, H
0.736620, 5.505938, 0.803471, 4.087576, 2.137125, H
0.736620, 5.267347, 0.688628, 4.087576, 3.613152, H
0.736620, 4.605287, 0.549870, 4.087576, 3.907527, H
0.736620, 4.224176, 0.554828, 4.087576, 3.852215, H
0.736620, 3.863997, 0.516819, 4.087576, 3.991761, H
0.736620, 3.680229, 0.571069, 4.087576, 3.554862, H
0.736620, 3.633332, 0.526538, 4.087576, 3.439950, H
0.736620, 3.911674, 0.626750, 4.087576, 3.008016, H
0.736620, 4.171265, 0.607623, 4.087576, 2.682806, H
0.736620, 4.204452, 0.655969, 4.087576, 3.194791, H
0.736620, 4.360497, 0.655769, 4.087576, 2.953479, H
0.736620, 4.655181, 0.689079, 4.087576, 2.807922, H
0.736620, 4.628744, 0.676535, 4.087576, 3.391667, H
0.736620, 4.309714, 0.532543, 4.087576, 3.586803, H
0.736620, 4.169203, 0.565029, 4.087576, 3.601299, H
0.736620, 4.405427, 0.549532, 4.087576, 2.977000, H
0.736620, 4.637362, 0.644669, 4.087576, 3.061963, H
0.736620, 4.375768, 0.548355, 4.087576, 3.735081, H
0.736620, 4.178709, 0.564846, 4.087576, 3.519182, H
0.736620, 4.084966, 0.566130, 4.087576, 3.505972, H
0.736620, 4.139258, 0.533951, 4.087576, 3.336131, H
0.736620, 4.270159, 0.654491, 4.087576, 3.140410, H
0.736620, 4.248474, 0.512015, 4.087576, 3.165793, H
0.736620, 3.992131, 0.467178, 4.087576, 3.668099, H
0.736620, 3.692252, 0.444566, 4.087576, 3.784361, H
0.736620, 3.397169, 0.502527, 4.087576, 3.769627, H
0.736620, 3.393004, 0.439659, 4.087576, 3.223457, H
0.736620, 3.821042, 0.564777, 4.087576, 2.456874, H
0.736620, 3.732757, 0.433520, 4.087576, 3.577376, H
0.736620, 3.349855, 0.363703, 4.087576, 3.995393, H
0.736620, 3.014859, 0.406033, 4.087576, 3.915484, H
0.736620, 2.831030, 0.375121, 4.087576, 3.747604, H
0.736620, 2.688083, 0.361584, 4.087576, 3.693484, H
0.736620, 2.655401, 0.368963, 4.087576, 3.494103, H
0.736620, 2.932225, 0.448229, 4.087576, 2.763514, H
0.736620, 2.919690, 0.431130, 4.087576, 3.427867, H
0.736620, 2.808435, 0.417957, 4.087576, 3.428612, H
0.736620, 2.442982, 0.339567, 4.087576, 4.005824, H
0.736620, 2.139202, 0.275164, 4.087576, 4.005824, H
0.736620, 1.937250, 0.292436, 4.087576, 3.918056, H
0.736620, 1.770932, 0.237824, 4.087576, 3.784227, H
0.736620, 1.674574, 0.207226, 4.087576, 3.502993, H
0.736620, 1.842672, 0.251972, 4.087576, 2.627144, H
0.736620, 2.284463, 0.290287, 4.087576, 1.664319, H
0.736620, 2.796153, 0.391796, 4.087576, 1.714435, H
0.736620, 2.357953, 0.336504, 4.087576, 4.046700, H
0.736620, 2.067512, 0.322757, 4.087576, 3.907735, H
0.736620, 1.776443, 0.276528, 4.087576, 4.046700, H
0.736620, 1.535871, 0.252124, 4.087576, 4.071238, H
0.736620, 1.386312, 0.222112, 4.087576, 3.964239, H
0.736620, 1.276979, 0.226789, 4.087576, 3.837129, H
0.736620, 1.180068, 0.192888, 4.087576, 3.883197, H
0.736620, 1.158335, 0.164208, 4.087576, 3.571852, H
0.736620, 1.199664, 0.191340, 4.087576, 3.049652, H
0.736620, 1.255660, 0.199298, 4.087576, 2.978561, H
0.736620, 1.543937, 0.271841, 4.087576, 1.629266, H
0.736620, 1.986732, 0.355342, 4.087576, 1.357852, H
0.736620, 2.259184, 0.334863, 4.087576, 2.136850, H
0.736620, 1.962805, 0.253457, 4.087576, 4.024254, H
0.736620, 1.697974, 0.227688, 4.087576, 4.053922, H
0.736620, 1.591631, 0.172944, 4.087576, 3.580080, H
0.736620, 1.601983, 0.201915, 4.087576, 3.188895, H
0.736620, 1.758670, 0.248710, 4.087576, 2.537688, H
0.736620, 1.844638, 0.272791, 4.087576, 2.820895, H
0.736620, 2.073406, 0.300416, 4.087576, 2.590803, H
0.736620, 1.897275, 0.232472, 4.087576, 3.784713, H
0.736620, 1.717163, 0.196086, 4.087576, 4.005410, H
0.736620, 1.572423, 0.205227, 4.087576, 3.883117, H
0.736620, 1.426044, 0.180514, 4.087576, 3.990170, H
0.736620, 1.308577, 0.167811, 4.087576, 3.828160, H
0.736620, 1.246736, 0.156938, 4.087576, 3.630790, H
0.736620, 1.258328, 0.182724, 4.087576, 3.389812, H
0.736620, 1.229544, 0.152985, 4.087576, 3.336380, H
0.736620, 1.194472, 0.153610, 4.087576, 3.510281, H
0.736620, 1.104587, 0.140781, 4.087576, 3.624756, H
0.736620, 0.960313, 0.123903, 4.087576, 3.977494, H
0.736620, 0.859209, 0.111881, 4.087576, 3.949927, H
0.736620, 0.786332, 0.117335, 4.087576, 3.842321, H
0.736620, 0.783795, 0.119116, 4.087576, 3.425844, H
0.736620, 0.757019, 0.116870, 4.087576, 3.506994, H
0.736620, 0.750832, 0.114822, 4.087576, 3.304586, H
0.736620, 0.748822, 0.112649, 4.087576, 3.474440, H
0.736620, 0.757819, 0.102209, 4.087576, 3.344047, H
0.736620, 0.760361, 0.096986, 4.087576, 3.422895, H
0.736620, 0.717337, 0.098835, 4.087576, 3.621449, H
0.736620, 0.811239, 0.121559, 4.087576, 2.663260, H
0.736620, 0.911317, 0.132951, 4.087576, 2.492058, H
0.736620, 0.818367, 0.100651, 4.087576, 3.883197, H
0.736620, 0.696115, 0.084898, 4.087576, 4.046700, H
0.736620, 0.585271, 0.079706, 4.087576, 4.087576, H
