amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 3.331937, 0.841205, 4.042147, 1.977702, I
0.688203, 3.781239, 0.659045, 4.042147, 2.115184, I
0.688203, 3.900680, 0.509452, 4.042147, 2.755248, I
0.688203, 4.492068, 0.643119, 4.042147, 2.097822, I
0.688203, 4.953798, 0.678913, 4.042147, 2.556721, I
0.688203, 4.238260, 0.524586, 4.042147, 4.013729, I
0.688203, 3.703878, 0.483307, 4.042147, 3.962491, I
0.688203, 3.227322, 0.463545, 4.042147, 3.957350, I
0.688203, 2.977643, 0.435819, 4.042147, 3.794331, I
0.688203, 2.780696, 0.424375, 4.042147, 3.779641, I
0.688203, 2.630402, 0.381022, 4.042147, 3.801628, I
0.688203, 2.630105, 0.433344, 4.042147, 3.451430, I
0.688203, 2.764766, 0.450472, 4.042147, 2.922151, I
0.688203, 3.112283, 0.521464, 4.042147, 2.568784, I
0.688203, 3.728249, 0.597396, 4.042147, 2.114427, I
0.688203, 4.186577, 0.665453, 4.042147, 2.457364, I
0.688203, 4.827459, 0.797063, 4.042147, 2.309673, I
0.688203, 4.948852, 0.640369, 4.042147, 3.170370, I
0.688203, 4.570743, 0.607137, 4.042147, 3.718775, I
0.688203, 4.289262, 0.533429, 4.042147, 3.591453, I
0.688203, 4.251621, 0.572242, 4.042147, 3.463999, I
0.688203, 4.255435, 0.608743, 4.042147, 3.157141, I
0.688203, 4.539925, 0.588412, 4.042147, 2.950045, I
0.688203, 5.125874, 0.666710, 4.042147, 2.365002, I
0.688203, 4.968350, 0.535324, 4.042147, 3.416571, I
0.688203, 4.606671, 0.572855, 4.042147, 3.679982, I
0.688203, 4.504484, 0.561631, 4.042147, 3.340521, I
0.688203, 4.856426, 0.668810, 4.042147, 2.768472, I
0.688203, 4.700839, 0.667569, 4.042147, 3.435825, I
0.688203, 4.538854, 0.558598, 4.042147, 3.472465, I
0.688203, 4.522211, 0.548754, 4.042147, 3.331873, I
0.688203, 4.439837, 0.535182, 4.042147, 3.507606, I
0.688203, 4.295707, 0.435078, 4.042147, 3.454570, I
0.688203, 3.882900, 0.462700, 4.042147, 3.777503, I
0.688203, 3.741837, 0.465823, 4.042147, 3.524691, I
0.688203, 3.316016, 0.418953, 4.042147, 3.949459, I
0.688203, 3.050083, 0.431117, 4.042147, 3.767543, I
0.688203, 2.894286, 0.410828, 4.042147, 3.675052, I
0.688203, 2.738918, 0.326026, 4.042147, 3.637932, I
0.688203, 2.823691, 0.465544, 4.042147, 3.120762, I
0.688203, 2.986734, 0.503460, 4.042147, 2.965340, I
0.688203, 3.243345, 0.498276, 4.042147, 2.699648, I
0.688203, 3.286774, 0.444611, 4.042147, 3.246890, I
0.688203, 2.917053, 0.363208, 4.042147, 3.920882, I
0.688203, 2.524071, 0.321242, 4.042147, 3.915780, I
0.688203, 2.357190, 0.296690, 4.042147, 3.718775, I
0.688203, 2.261138, 0.258996, 4.042147, 3.721312, I
0.688203, 2.312054, 0.337978, 4.042147, 3.133663, I
0.688203, 2.351631, 0.315085, 4.042147, 3.254711, I
0.688203, 2.343346, 0.315015, 4.042147, 3.403439, I
0.688203, 2.213686, 0.296641, 4.042147, 3.629579, I
0.688203, 2.148743, 0.332944, 4.042147, 3.607644, I
0.688203, 2.006596, 0.265269, 4.042147, 3.676470, I
0.688203, 2.087860, 0.318196, 4.042147, 3.018319, I
0.688203, 2.453850, 0.332974, 4.042147, 1.930747, I
