amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.450966, 0.851707, 2.240037, 1.366010, J
0.726488, 3.683551, 0.730632, 2.240037, 1.584338, J
0.726488, 3.948642, 0.745371, 2.240037, 1.560789, J
0.726488, 3.740621, 0.686243, 2.240037, 1.993633, J
0.726488, 3.386050, 0.516218, 2.240037, 2.150436, J
0.726488, 3.085826, 0.456301, 2.240037, 2.091170, J
0.726488, 2.927479, 0.537301, 2.240037, 2.058387, J
0.726488, 3.036605, 0.542054, 2.240037, 1.805778, J
0.726488, 3.069073, 0.444287, 2.240037, 1.827081, J
0.726488, 3.512380, 0.598969, 2.240037, 1.341945, J
0.726488, 4.075432, 0.764226, 2.240037, 1.365946, J
0.726488, 4.729483, 0.710496, 2.240037, 1.216040, J
0.726488, 5.270581, 0.840032, 2.240037, 1.478425, J
0.726488, 4.961201, 0.787889, 2.240037, 1.980944, J
0.726488, 4.484973, 0.716126, 2.240037, 2.112619, J
0.726488, 4.330416, 0.681495, 2.240037, 1.984407, J
0.726488, 3.901045, 0.546507, 2.240037, 2.195237, J
0.726488, 3.521958, 0.515390, 2.240037, 2.149577, J
0.726488, 3.345230, 0.529375, 2.240037, 2.048218, J
0.726488, 3.308847, 0.502145, 2.240037, 1.926432, J
0.726488, 3.377760, 0.561190, 2.240037, 1.836831, J
0.726488, 3.385460, 0.574523, 2.240037, 1.948833, J
0.726488, 3.516735, 0.559436, 2.240037, 1.715899, J
0.726488, 3.903429, 0.565487, 2.240037, 1.523225, J
0.726488, 4.391051, 0.845034, 2.240037, 1.464096, J
0.726488, 4.917148, 0.757049, 2.240037, 1.374818, J
0.726488, 5.114489, 0.811109, 2.240037, 1.710823, J
0.726488, 4.932558, 0.748117, 2.240037, 1.993633, J
0.726488, 4.356267, 0.639164, 2.240037, 2.195096, J
0.726488, 3.954059, 0.572349, 2.240037, 2.123983, J
0.726488, 3.494370, 0.501834, 2.240037, 2.172836, J
0.726488, 3.073075, 0.478303, 2.240037, 2.150436, J
0.726488, 2.788852, 0.441078, 2.240037, 2.128036, J
0.726488, 2.601667, 0.376230, 2.240037, 2.105635, J
0.726488, 2.510029, 0.361507, 2.240037, 1.993633, J
0.726488, 2.518199, 0.437769, 2.240037, 1.904032, J
0.726488, 2.608390, 0.463870, 2.240037, 1.768192, J
0.726488, 2.687747, 0.484955, 2.240037, 1.769630, J
0.726488, 2.876395, 0.493356, 2.240037, 1.562553, J
0.726488, 3.147265, 0.495130, 2.240037, 1.477053, J
0.726488, 3.558171, 0.637705, 2.240037, 1.441999, J
0.726488, 3.658972, 0.624506, 2.240037, 1.835422, J
0.726488, 3.194108, 0.462886, 2.240037, 2.240037, J
0.726488, 2.678637, 0.366137, 2.240037, 2.240037, J
0.726488, 2.296792, 0.316558, 2.240037, 2.217637, J
0.726488, 2.033038, 0.300001, 2.240037, 2.195237, J
0.726488, 1.761390, 0.282155, 2.240037, 2.217637, J
0.726488, 1.521366, 0.235175, 2.240037, 2.217637, J
0.726488, 1.308316, 0.211890, 2.240037, 2.217637, J
0.726488, 1.143351, 0.181043, 2.240037, 2.217637, J
0.726488, 1.044409, 0.174851, 2.240037, 2.105635, J
0.726488, 0.942264, 0.146425, 2.240037, 2.195237, J
0.726488, 0.861608, 0.123826, 2.240037, 2.195237, J
0.726488, 0.825092, 0.102154, 2.240037, 1.999784, J
0.726488, 0.871017, 0.112390, 2.240037, 1.702428, J
0.726488, 0.894458, 0.118925, 2.240037, 1.790374, J
0.726488, 0.982887, 0.154467, 2.240037, 1.590427, J
0.726488, 1.055154, 0.186930, 2.240037, 1.590427, J
0.726488, 1.268233, 0.231194, 2.240037, 1.099903, J
0.726488, 1.474767, 0.273025, 2.240037, 1.386038, J
0.726488, 1.794030, 0.303190, 2.240037, 1.075218, J
0.726488, 2.233457, 0.381651, 2.240037, 0.896015, J
0.726488, 2.340145, 0.373821, 2.240037, 1.737904, J
0.726488, 2.164081, 0.291443, 2.240037, 2.130161, J
0.726488, 1.862602, 0.249721, 2.240037, 2.207316, J
0.726488, 1.572432, 0.206697, 2.240037, 2.229716, J
0.726488, 1.348131, 0.204115, 2.240037, 2.195237, J
0.726488, 1.160347, 0.182031, 2.240037, 2.217637, J
0.726488, 1.006700, 0.152979, 2.240037, 2.240037, J
0.726488, 0.900974, 0.146201, 2.240037, 2.191840, J
0.726488, 0.826421, 0.161956, 2.240037, 2.105635, J
0.726488, 0.727705, 0.136676, 2.240037, 2.230306, J
0.726488, 0.659134, 0.113722, 2.240037, 2.195237, J
0.726488, 0.603130, 0.097149, 2.240037, 2.217637, J
0.726488, 0.583559, 0.098819, 2.240037, 1.971233, J
0.726488, 0.561122, 0.085911, 2.240037, 1.993633, J
0.726488, 0.552391, 0.086366, 2.240037, 1.819898, J
0.726488, 0.569799, 0.089320, 2.240037, 1.829593, J
0.726488, 0.564694, 0.087130, 2.240037, 1.971233, J
0.726488, 0.571401, 0.075146, 2.240037, 1.926432, J
0.726488, 0.601495, 0.082626, 2.240037, 1.702428, J
0.726488, 0.640490, 0.103826, 2.240037, 1.631623, J
0.726488, 0.667837, 0.093542, 2.240037, 1.590427, J
0.726488, 0.753746, 0.118653, 2.240037, 1.456024, J
0.726488, 0.818124, 0.123259, 2.240037, 1.680028, J
0.726488, 0.968475, 0.181888, 2.240037, 1.232270, J
0.726488, 1.067313, 0.172540, 2.240037, 1.568026, J
0.726488, 1.023003, 0.167947, 2.240037, 2.016034, J
0.726488, 0.874589, 0.134014, 2.240037, 2.240037, J
0.726488, 0.769600, 0.121581, 2.240037, 2.195237, J
0.726488, 0.667014, 0.090437, 2.240037, 2.240037, J
0.726488, 0.595050, 0.082491, 2.240037, 2.195237, J
0.726488, 0.546459, 0.081416, 2.240037, 2.128036, J
0.726488, 0.509356, 0.067007, 2.240037, 2.105635, J
0.726488, 0.478834, 0.066534, 2.240037, 2.038434, J
0.726488, 0.506064, 0.075237, 2.240037, 1.673134, J
0.726488, 0.540540, 0.091188, 2.240037, 1.590427, J
0.726488, 0.571933, 0.096745, 2.240037, 1.657628, J
0.726488, 0.596894, 0.094041, 2.240037, 1.747229, J
0.726488, 0.692394, 0.105265, 2.240037, 1.288388, J
