amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.168551, 3.349515, 1.032655, 2.585320, 9.440000, D
1.168551, 3.296701, 0.748089, 2.585320, 9.130000, D
1.168551, 3.220516, 0.546032, 2.585320, 8.930000, D
1.168551, 3.295557, 0.414095, 2.585320, 8.890000, D
1.168551, 3.257221, 0.361333, 2.585320, 8.790000, D
1.168551, 3.076489, 0.307892, 2.585320, 8.630000, D
1.168551, 2.873375, 0.265848, 2.585320, 8.590000, D
1.168551, 2.779591, 0.248393, 2.585320, 8.480000, D
1.168551, 2.801625, 0.266716, 2.585320, 8.460000, D
1.168551, 2.744604, 0.253075, 2.585320, 8.420000, D
1.168551, 2.578445, 0.224476, 2.585320, 8.300000, D
1.168551, 2.498798, 0.225017, 2.585320, 8.260000, D
1.168551, 2.360891, 0.198217, 2.585320, 8.150000, D
1.168551, 2.154988, 0.190700, 2.585320, 8.250000, D
1.168551, 2.038927, 0.185578, 2.585320, 8.090000, D
1.168551, 1.952189, 0.188759, 2.585320, 8.270000, D
1.168551, 1.946241, 0.209025, 2.585320, 8.420000, D
1.168551, 1.879572, 0.200753, 2.585320, 8.240000, D
1.168551, 1.801407, 0.192917, 2.585320, 8.120000, D
1.168551, 1.714022, 0.180317, 2.585320, 8.110000, D
1.168551, 1.625998, 0.170514, 2.585320, 8.080000, D
1.168551, 1.542725, 0.151716, 2.585320, 7.970000, D
1.168551, 1.510055, 0.154068, 2.585320, 7.960000, D
1.168551, 1.392473, 0.136475, 2.585320, 8.010000, D
1.168551, 1.280262, 0.127906, 2.585320, 8.090000, D
1.168551, 1.180702, 0.110388, 2.585320, 8.010000, D
1.168551, 1.128466, 0.111255, 2.585320, 7.940000, D
1.168551, 1.126514, 0.114020, 2.585320, 8.050000, D
1.168551, 1.021176, 0.094370, 2.585320, 8.020000, D
1.168551, 0.943455, 0.091272, 2.585320, 8.070000, D
1.168551, 0.885881, 0.090010, 2.585320, 7.990000, D
1.168551, 0.849570, 0.093598, 2.585320, 7.980000, D
1.168551, 0.849635, 0.095555, 2.585320, 8.020000, D
1.168551, 0.776331, 0.080114, 2.585320, 8.000000, D
1.168551, 0.703505, 0.067744, 2.585320, 8.040000, D
1.168551, 0.637997, 0.064924, 2.585320, 8.070000, D
1.168551, 0.590808, 0.058288, 2.585320, 7.920000, D
1.168551, 0.571444, 0.060548, 2.585320, 7.970000, D
1.168551, 0.580419, 0.063945, 2.585320, 8.110000, D
1.168551, 0.552252, 0.061784, 2.585320, 8.070000, D
1.168551, 0.509880, 0.051851, 2.585320, 7.960000, D
1.168551, 0.473242, 0.046965, 2.585320, 7.990000, D
1.168551, 0.453537, 0.049060, 2.585320, 8.070000, D
1.168551, 0.423502, 0.045246, 2.585320, 7.930000, D
1.168551, 0.390381, 0.044147, 2.585320, 8.060000, D
1.168551, 0.363003, 0.042019, 2.585320, 7.990000, D
1.168551, 0.341528, 0.038388, 2.585320, 7.840000, D
1.168551, 0.349488, 0.037954, 2.585320, 7.930000, D
1.168551, 0.343033, 0.038979, 2.585320, 8.090000, D
1.168551, 0.308179, 0.033633, 2.585320, 8.030000, D
1.168551, 0.277042, 0.027861, 2.585320, 8.120000, D
