amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.127113, 3.252097, 0.971745, 2.509260, 9.440000, E
1.127113, 3.238122, 0.759274, 2.509260, 9.130000, E
1.127113, 3.234811, 0.576719, 2.509260, 8.930000, E
1.127113, 3.179535, 0.421212, 2.509260, 8.890000, E
1.127113, 3.035869, 0.340392, 2.509260, 8.790000, E
1.127113, 2.993521, 0.308104, 2.509260, 8.630000, E
1.127113, 2.994211, 0.310088, 2.509260, 8.590000, E
1.127113, 2.795026, 0.252157, 2.509260, 8.480000, E
1.127113, 2.734454, 0.268428, 2.509260, 8.460000, E
1.127113, 2.710326, 0.260783, 2.509260, 8.420000, E
1.127113, 2.640946, 0.227261, 2.509260, 8.300000, E
1.127113, 2.573470, 0.208747, 2.509260, 8.260000, E
1.127113, 2.416515, 0.180960, 2.509260, 8.150000, E
1.127113, 2.180380, 0.160671, 2.509260, 8.250000, E
1.127113, 2.019665, 0.176381, 2.509260, 8.090000, E
1.127113, 1.919634, 0.203695, 2.509260, 8.270000, E
1.127113, 1.854244, 0.187463, 2.509260, 8.420000, E
1.127113, 2.028319, 0.217595, 2.509260, 8.240000, E
1.127113, 1.871916, 0.160752, 2.509260, 8.120000, E
1.127113, 1.700896, 0.129274, 2.509260, 8.110000, E
1.127113, 1.559792, 0.143988, 2.509260, 8.080000, E
1.127113, 1.449754, 0.147421, 2.509260, 7.970000, E
1.127113, 1.416649, 0.153895, 2.509260, 7.960000, E
1.127113, 1.473596, 0.159482, 2.509260, 8.010000, E
1.127113, 1.298654, 0.129442, 2.509260, 8.090000, E
1.127113, 1.171989, 0.115844, 2.509260, 8.010000, E
1.127113, 1.064234, 0.105553, 2.509260, 7.940000, E
1.127113, 1.011723, 0.107686, 2.509260, 8.050000, E
1.127113, 1.040097, 0.110825, 2.509260, 8.020000, E
1.127113, 0.999600, 0.097767, 2.509260, 8.070000, E
1.127113, 0.952766, 0.096093, 2.509260, 7.990000, E
1.127113, 0.858841, 0.086088, 2.509260, 7.980000, E
1.127113, 0.786349, 0.073913, 2.509260, 8.020000, E
1.127113, 0.727000, 0.077123, 2.509260, 8.000000, E
1.127113, 0.680555, 0.071014, 2.509260, 8.040000, E
1.127113, 0.670763, 0.068333, 2.509260, 8.070000, E
1.127113, 0.679491, 0.073423, 2.509260, 7.920000, E
1.127113, 0.631188, 0.061105, 2.509260, 7.970000, E
1.127113, 0.564500, 0.051656, 2.509260, 8.110000, E
1.127113, 0.516630, 0.050065, 2.509260, 8.070000, E
1.127113, 0.485867, 0.053378, 2.509260, 7.960000, E
1.127113, 0.473945, 0.049900, 2.509260, 7.990000, E
1.127113, 0.468414, 0.049525, 2.509260, 8.070000, E
1.127113, 0.429392, 0.040424, 2.509260, 7.930000, E
1.127113, 0.392495, 0.036612, 2.509260, 8.060000, E
1.127113, 0.367993, 0.037237, 2.509260, 7.990000, E
1.127113, 0.348273, 0.036149, 2.509260, 7.840000, E
1.127113, 0.340220, 0.039029, 2.509260, 7.930000, E
1.127113, 0.325356, 0.036196, 2.509260, 8.090000, E
1.127113, 0.311258, 0.035318, 2.509260, 8.030000, E
1.127113, 0.287319, 0.029383, 2.509260, 8.120000, E
1.127113, 0.265162, 0.027684, 2.509260, 8.100000, E
1.127113, 0.250749, 0.025700, 2.509260, 8.010000, E
1.127113, 0.248371, 0.028496, 2.509260, 7.980000, E
1.127113, 0.237196, 0.024952, 2.509260, 7.930000, E
1.127113, 0.220241, 0.021238, 2.509260, 8.120000, E
1.127113, 0.211150, 0.021507, 2.509260, 8.090000, E
1.127113, 0.197712, 0.019175, 2.509260, 7.940000, E
1.127113, 0.180147, 0.018354, 2.509260, 8.020000, E
1.127113, 0.176443, 0.020189, 2.509260, 8.010000, E
1.127113, 0.167487, 0.020459, 2.509260, 8.130000, E
1.127113, 0.156807, 0.015765, 2.509260, 7.970000, E
1.127113, 0.143428, 0.013732, 2.509260, 8.090000, E
1.127113, 0.131600, 0.012111, 2.509260, 7.990000, E
1.127113, 0.122741, 0.013405, 2.509260, 8.070000, E
1.127113, 0.119849, 0.014799, 2.509260, 7.970000, E
1.127113, 0.117579, 0.014553, 2.509260, 7.900000, E
1.127113, 0.112631, 0.012957, 2.509260, 8.130000, E
1.127113, 0.102671, 0.009972, 2.509260, 8.040000, E
1.127113, 0.094462, 0.010048, 2.509260, 8.140000, E
1.127113, 0.087468, 0.009369, 2.509260, 8.130000, E
1.127113, 0.082171, 0.008448, 2.509260, 8.130000, E
1.127113, 0.082669, 0.008716, 2.509260, 8.130000, E
1.127113, 0.082299, 0.007720, 2.509260, 8.170000, E
1.127113, 0.076442, 0.006704, 2.509260, 8.180000, E
1.127113, 0.071023, 0.005834, 2.509260, 8.200000, E
1.127113, 0.066736, 0.006060, 2.509260, 8.030000, E
1.127113, 0.062437, 0.006350, 2.509260, 8.070000, E
1.127113, 0.060847, 0.006987, 2.509260, 8.130000, E
1.127113, 0.057133, 0.006387, 2.509260, 8.070000, E
1.127113, 0.052754, 0.005634, 2.509260, 8.030000, E
1.127113, 0.050764, 0.005589, 2.509260, 8.150000, E
