amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.637623, 3.081738, 0.863255, 4.042147, 9.440000, I
0.637623, 3.504427, 0.801817, 4.042147, 9.130000, I
0.637623, 3.471897, 0.605655, 4.042147, 8.930000, I
0.637623, 3.262133, 0.435832, 4.042147, 8.890000, I
0.637623, 3.338486, 0.358557, 4.042147, 8.790000, I
0.637623, 3.126590, 0.307786, 4.042147, 8.630000, I
0.637623, 3.007142, 0.261258, 4.042147, 8.590000, I
0.637623, 3.028172, 0.272881, 4.042147, 8.480000, I
0.637623, 2.829521, 0.210940, 4.042147, 8.460000, I
0.637623, 2.707198, 0.240201, 4.042147, 8.420000, I
0.637623, 2.761994, 0.251803, 4.042147, 8.300000, I
0.637623, 2.484517, 0.209836, 4.042147, 8.260000, I
0.637623, 2.317875, 0.210225, 4.042147, 8.150000, I
0.637623, 2.327992, 0.218913, 4.042147, 8.250000, I
0.637623, 2.272986, 0.202152, 4.042147, 8.090000, I
0.637623, 2.053288, 0.159531, 4.042147, 8.270000, I
0.637623, 1.913084, 0.156042, 4.042147, 8.420000, I
0.637623, 1.939833, 0.193210, 4.042147, 8.240000, I
0.637623, 1.894122, 0.174589, 4.042147, 8.120000, I
0.637623, 1.798681, 0.142396, 4.042147, 8.110000, I
0.637623, 1.616524, 0.122613, 4.042147, 8.080000, I
0.637623, 1.523061, 0.140264, 4.042147, 7.970000, I
0.637623, 1.550923, 0.133392, 4.042147, 7.960000, I
0.637623, 1.424016, 0.118331, 4.042147, 8.010000, I
0.637623, 1.319601, 0.106564, 4.042147, 8.090000, I
0.637623, 1.233736, 0.103733, 4.042147, 8.010000, I
0.637623, 1.273651, 0.121667, 4.042147, 7.940000, I
0.637623, 1.124086, 0.097435, 4.042147, 8.050000, I
0.637623, 0.997139, 0.093447, 4.042147, 8.020000, I
0.637623, 0.913952, 0.095329, 4.042147, 8.070000, I
0.637623, 0.918068, 0.093757, 4.042147, 7.990000, I
0.637623, 0.894663, 0.091787, 4.042147, 7.980000, I
0.637623, 0.838496, 0.069024, 4.042147, 8.020000, I
0.637623, 0.777105, 0.057754, 4.042147, 8.000000, I
0.637623, 0.740082, 0.054768, 4.042147, 8.040000, I
0.637623, 0.718867, 0.062400, 4.042147, 8.070000, I
0.637623, 0.669408, 0.059228, 4.042147, 7.920000, I
0.637623, 0.609721, 0.057952, 4.042147, 7.970000, I
0.637623, 0.569774, 0.054286, 4.042147, 8.110000, I
0.637623, 0.547944, 0.058059, 4.042147, 8.070000, I
0.637623, 0.554452, 0.056585, 4.042147, 7.960000, I
0.637623, 0.498278, 0.040601, 4.042147, 7.990000, I
0.637623, 0.457894, 0.040116, 4.042147, 8.070000, I
0.637623, 0.430944, 0.043025, 4.042147, 7.930000, I
0.637623, 0.402773, 0.041343, 4.042147, 8.060000, I
0.637623, 0.407585, 0.046064, 4.042147, 7.990000, I
0.637623, 0.374868, 0.036555, 4.042147, 7.840000, I
0.637623, 0.350429, 0.032960, 4.042147, 7.930000, I
0.637623, 0.334231, 0.032181, 4.042147, 8.090000, I
0.637623, 0.305791, 0.028862, 4.042147, 8.030000, I
0.637623, 0.288938, 0.029216, 4.042147, 8.120000, I
0.637623, 0.295708, 0.030843, 4.042147, 8.100000, I
0.637623, 0.269293, 0.023884, 4.042147, 8.010000, I
0.637623, 0.248522, 0.020776, 4.042147, 7.980000, I
0.637623, 0.239011, 0.020501, 4.042147, 7.930000, I
0.637623, 0.224476, 0.018995, 4.042147, 8.120000, I
0.637623, 0.212417, 0.017892, 4.042147, 8.090000, I
0.637623, 0.198293, 0.016751, 4.042147, 7.940000, I
0.637623, 0.197664, 0.020722, 4.042147, 8.020000, I
0.637623, 0.175924, 0.016884, 4.042147, 8.010000, I
0.637623, 0.158363, 0.014280, 4.042147, 8.130000, I
0.637623, 0.150238, 0.015226, 4.042147, 7.970000, I
0.637623, 0.151303, 0.015187, 4.042147, 8.090000, I
0.637623, 0.145576, 0.013406, 4.042147, 7.990000, I
0.637623, 0.135553, 0.012569, 4.042147, 8.070000, I
0.637623, 0.126093, 0.011095, 4.042147, 7.970000, I
0.637623, 0.115617, 0.010470, 4.042147, 7.900000, I
0.637623, 0.111347, 0.012090, 4.042147, 8.130000, I
0.637623, 0.106144, 0.010176, 4.042147, 8.040000, I
0.637623, 0.099535, 0.009480, 4.042147, 8.140000, I
0.637623, 0.098750, 0.009482, 4.042147, 8.130000, I
0.637623, 0.090819, 0.007471, 4.042147, 8.130000, I
0.637623, 0.081538, 0.006643, 4.042147, 8.130000, I
0.637623, 0.076194, 0.006546, 4.042147, 8.170000, I
0.637623, 0.075427, 0.007383, 4.042147, 8.180000, I
0.637623, 0.076240, 0.007619, 4.042147, 8.200000, I
0.637623, 0.069508, 0.005880, 4.042147, 8.030000, I
0.637623, 0.062639, 0.005439, 4.042147, 8.070000, I
0.637623, 0.057629, 0.005952, 4.042147, 8.130000, I
0.637623, 0.057716, 0.006109, 4.042147, 8.070000, I
0.637623, 0.055060, 0.004965, 4.042147, 8.030000, I
0.637623, 0.051109, 0.004037, 4.042147, 8.150000, I
0.637623, 0.048604, 0.003622, 4.042147, 8.130000, I
0.637623, 0.046935, 0.004171, 4.042147, 8.170000, I
0.637623, 0.043928, 0.003831, 4.042147, 8.150000, I
0.637623, 0.041210, 0.003156, 4.042147, 8.240000, I
0.637623, 0.041178, 0.003345, 4.042147, 8.150000, I
0.637623, 0.037070, 0.002826, 4.042147, 8.070000, I
0.637623, 0.034315, 0.002919, 4.042147, 8.110000, I
0.637623, 0.032108, 0.003063, 4.042147, 8.010000, I
0.637623, 0.032135, 0.003146, 4.042147, 8.220000, I
0.637623, 0.030723, 0.002700, 4.042147, 8.120000, I
0.637623, 0.029919, 0.003025, 4.042147, 8.100000, I
0.637623, 0.028078, 0.002604, 4.042147, 8.100000, I
0.637623, 0.025555, 0.002182, 4.042147, 8.130000, I
0.637623, 0.024058, 0.002103, 4.042147, 8.340000, I
0.637623, 0.023529, 0.002322, 4.042147, 8.210000, I
0.637623, 0.024035, 0.002484, 4.042147, 8.180000, I
0.637623, 0.021327, 0.001959, 4.042147, 8.100000, I
0.637623, 0.019064, 0.001725, 4.042147, 8.070000, I
