amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 2.812614, 0.773191, 2.978407, 2.299502, A
0.883466, 2.929556, 0.589154, 2.978407, 2.150901, A
0.883466, 2.988160, 0.581939, 2.978407, 2.339502, A
0.883466, 3.033250, 0.470007, 2.978407, 2.472415, A
0.883466, 3.069527, 0.469104, 2.978407, 2.318743, A
0.883466, 3.175072, 0.443585, 2.978407, 2.243201, A
0.883466, 3.296227, 0.448958, 2.978407, 2.319717, A
0.883466, 3.389123, 0.466645, 2.978407, 2.237417, A
0.883466, 3.556247, 0.571484, 2.978407, 2.140353, A
0.883466, 3.667587, 0.552820, 2.978407, 2.358065, A
0.883466, 3.772889, 0.572520, 2.978407, 2.452017, A
0.883466, 3.930742, 0.642522, 2.978407, 2.281033, A
0.883466, 4.104810, 0.720815, 2.978407, 2.205283, A
0.883466, 4.146944, 0.637934, 2.978407, 2.423242, A
0.883466, 4.273712, 0.651406, 2.978407, 2.410165, A
0.883466, 4.342708, 0.701486, 2.978407, 2.455358, A
0.883466, 4.506671, 0.656239, 2.978407, 2.361415, A
0.883466, 4.755054, 0.728244, 2.978407, 2.358893, A
0.883466, 4.981569, 0.781496, 2.978407, 2.239686, A
0.883466, 5.063367, 0.723971, 2.978407, 2.393286, A
0.883466, 5.138309, 0.873199, 2.978407, 2.356896, A
0.883466, 5.266097, 0.845829, 2.978407, 2.285002, A
0.883466, 5.518301, 0.816471, 2.978407, 2.311375, A
0.883466, 5.545069, 0.840310, 2.978407, 2.547073, A
0.883466, 5.747240, 0.896419, 2.978407, 2.296391, A
0.883466, 5.681858, 0.834251, 2.978407, 2.566956, A
0.883466, 5.804814, 0.784990, 2.978407, 2.412509, A
0.883466, 5.879357, 0.781142, 2.978407, 2.353292, A
0.883466, 5.903459, 0.870191, 2.978407, 2.333975, A
0.883466, 6.102435, 0.784958, 2.978407, 2.325515, A
0.883466, 6.329181, 0.994973, 2.978407, 2.352449, A
0.883466, 6.609208, 1.253948, 2.978407, 2.360249, A
0.883466, 6.922124, 1.235725, 2.978407, 2.233215, A
0.883466, 7.327416, 1.288656, 2.978407, 2.241086, A
0.883466, 7.480104, 1.375413, 2.978407, 2.298899, A
0.883466, 7.792093, 1.295733, 2.978407, 2.157288, A
0.883466, 8.363778, 1.408777, 2.978407, 2.026238, A
0.883466, 8.575013, 1.509569, 2.978407, 2.451310, A
0.883466, 9.158790, 1.681061, 2.978407, 2.123474, A
0.883466, 9.358851, 1.596207, 2.978407, 2.217001, A
0.883466, 9.459842, 1.363493, 2.978407, 2.323093, A
0.883466, 9.998631, 1.608758, 2.978407, 2.177419, A
0.883466, 10.374750, 1.657178, 2.978407, 2.297832, A
0.883466, 10.479043, 1.353465, 2.978407, 2.416608, A
0.883466, 10.809972, 1.407201, 2.978407, 2.301244, A
0.883466, 11.067795, 1.523972, 2.978407, 2.317635, A
0.883466, 11.264327, 1.473533, 2.978407, 2.442396, A
0.883466, 11.679553, 1.623443, 2.978407, 2.422397, A
0.883466, 12.038657, 1.545009, 2.978407, 2.296887, A
0.883466, 12.620633, 2.073853, 2.978407, 2.125978, A
0.883466, 12.623920, 2.079789, 2.978407, 2.521257, A
0.883466, 13.218434, 2.168893, 2.978407, 2.289691, A
0.883466, 13.805142, 2.087939, 2.978407, 2.234538, A
0.883466, 14.358104, 1.914195, 2.978407, 2.242581, A
0.883466, 14.270745, 1.970109, 2.978407, 2.450669, A
0.883466, 14.663495, 2.154797, 2.978407, 2.267950, A
0.883466, 14.951840, 2.171291, 2.978407, 2.413862, A
0.883466, 15.881721, 2.423303, 2.978407, 2.278511, A
0.883466, 15.993944, 3.135278, 2.978407, 2.477036, A
0.883466, 15.981417, 2.618514, 2.978407, 2.391186, A
0.883466, 16.445461, 2.846340, 2.978407, 2.358725, A
0.883466, 17.118908, 2.482549, 2.978407, 2.324677, A
0.883466, 16.635600, 2.473099, 2.978407, 2.493616, A
0.883466, 17.008686, 2.849913, 2.978407, 2.318558, A
0.883466, 17.821639, 2.612973, 2.978407, 2.155533, A
0.883466, 18.054302, 2.940578, 2.978407, 2.341519, A
0.883466, 18.753321, 2.581469, 2.978407, 2.327186, A
0.883466, 19.260840, 3.255461, 2.978407, 2.336652, A
0.883466, 19.526521, 3.023022, 2.978407, 2.269718, A
0.883466, 19.871792, 3.201618, 2.978407, 2.518738, A
0.883466, 20.291187, 3.474093, 2.978407, 2.310222, A
0.883466, 20.935946, 3.277397, 2.978407, 2.467978, A
0.883466, 21.343231, 3.332019, 2.978407, 2.359057, A
0.883466, 21.491811, 2.921995, 2.978407, 2.573867, A
0.883466, 21.431912, 2.838160, 2.978407, 2.463967, A
0.883466, 22.006230, 3.317059, 2.978407, 2.328683, A
0.883466, 23.218122, 4.202771, 2.978407, 2.280856, A
0.883466, 23.824002, 4.066665, 2.978407, 2.343189, A
0.883466, 24.677848, 4.197236, 2.978407, 2.187404, A
0.883466, 24.164457, 3.417548, 2.978407, 2.568738, A
0.883466, 25.022948, 3.657155, 2.978407, 2.206627, A
0.883466, 25.637790, 3.473277, 2.978407, 2.331950, A
0.883466, 26.081602, 4.010119, 2.978407, 2.303588, A
0.883466, 26.664420, 3.737610, 2.978407, 2.442293, A
0.883466, 28.449044, 4.216162, 2.978407, 2.132309, A
0.883466, 29.672295, 4.414109, 2.978407, 2.232050, A
0.883466, 31.967941, 4.809327, 2.978407, 2.206198, A
0.883466, 33.362861, 5.217195, 2.978407, 2.426235, A
0.883466, 33.411029, 5.018597, 2.978407, 2.425677, A
0.883466, 33.117708, 4.041469, 2.978407, 2.498680, A
0.883466, 34.661890, 4.444421, 2.978407, 2.211989, A
0.883466, 35.877329, 4.895166, 2.978407, 2.258652, A
0.883466, 38.264977, 4.751537, 2.978407, 2.204789, A
0.883466, 39.167894, 4.669738, 2.978407, 2.329876, A
0.883466, 39.704495, 4.703096, 2.978407, 2.484655, A
0.883466, 41.032442, 5.675432, 2.978407, 2.384245, A
0.883466, 41.284467, 5.901348, 2.978407, 2.333378, A
0.883466, 42.085901, 5.651423, 2.978407, 2.429893, A
0.883466, 43.731888, 6.503815, 2.978407, 2.238498, A
0.883466, 45.232490, 6.559605, 2.978407, 2.220033, A
