amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.690001, 2.868430, 0.891641, 1.912332, 1.633956, B
1.690001, 2.925128, 0.696606, 1.912332, 1.568113, B
1.690001, 2.974024, 0.583986, 1.912332, 1.606359, B
1.690001, 2.976008, 0.503472, 1.912332, 1.587236, B
1.690001, 3.021290, 0.509925, 1.912332, 1.572819, B
1.690001, 2.903777, 0.431123, 1.912332, 1.740223, B
1.690001, 2.793686, 0.410213, 1.912332, 1.663729, B
1.690001, 2.737809, 0.396044, 1.912332, 1.701976, B
1.690001, 2.644947, 0.476610, 1.912332, 1.682853, B
1.690001, 2.670715, 0.495314, 1.912332, 1.621716, B
1.690001, 2.602917, 0.382102, 1.912332, 1.701976, B
1.690001, 2.584532, 0.390400, 1.912332, 1.638079, B
1.690001, 2.629181, 0.400142, 1.912332, 1.548989, B
1.690001, 2.723729, 0.459905, 1.912332, 1.500093, B
1.690001, 2.628994, 0.393960, 1.912332, 1.744929, B
1.690001, 2.614063, 0.452110, 1.912332, 1.625483, B
1.690001, 2.662667, 0.428354, 1.912332, 1.529866, B
1.690001, 2.591451, 0.383155, 1.912332, 1.644606, B
1.690001, 2.516427, 0.375631, 1.912332, 1.729573, B
1.690001, 2.564950, 0.477559, 1.912332, 1.548989, B
1.690001, 2.472311, 0.392358, 1.912332, 1.717332, B
1.690001, 2.368093, 0.348993, 1.912332, 1.746520, B
1.690001, 2.366685, 0.308496, 1.912332, 1.649313, B
1.690001, 2.258366, 0.282738, 1.912332, 1.663729, B
1.690001, 2.206570, 0.299390, 1.912332, 1.644606, B
1.690001, 2.162120, 0.321126, 1.912332, 1.644606, B
1.690001, 2.132973, 0.313515, 1.912332, 1.653080, B
1.690001, 2.112798, 0.306681, 1.912332, 1.633956, B
1.690001, 2.018515, 0.347448, 1.912332, 1.701976, B
1.690001, 1.992196, 0.315915, 1.912332, 1.644606, B
1.690001, 1.969303, 0.306518, 1.912332, 1.701976, B
1.690001, 1.994623, 0.327111, 1.912332, 1.598241, B
1.690001, 2.058510, 0.384589, 1.912332, 1.510743, B
1.690001, 1.997445, 0.349772, 1.912332, 1.657786, B
1.690001, 2.106278, 0.384424, 1.912332, 1.487852, B
1.690001, 2.111567, 0.326695, 1.912332, 1.548989, B
1.690001, 2.132907, 0.397751, 1.912332, 1.555287, B
1.690001, 2.078230, 0.331690, 1.912332, 1.736455, B
1.690001, 2.068967, 0.311755, 1.912332, 1.625483, B
1.690001, 2.103308, 0.303732, 1.912332, 1.510743, B
1.690001, 2.158296, 0.314700, 1.912332, 1.583469, B
1.690001, 2.111478, 0.278838, 1.912332, 1.644606, B
1.690001, 2.086603, 0.308944, 1.912332, 1.698209, B
1.690001, 2.078809, 0.324473, 1.912332, 1.638663, B
1.690001, 2.027344, 0.316369, 1.912332, 1.691326, B
1.690001, 1.995380, 0.328151, 1.912332, 1.659962, B
1.690001, 1.989645, 0.271532, 1.912332, 1.736455, B
1.690001, 1.996610, 0.291318, 1.912332, 1.644606, B
1.690001, 2.022849, 0.336364, 1.912332, 1.581293, B
1.690001, 2.081204, 0.329881, 1.912332, 1.491619, B
1.690001, 2.068719, 0.311323, 1.912332, 1.568113, B
1.690001, 2.070930, 0.312827, 1.912332, 1.595710, B
1.690001, 1.996892, 0.263392, 1.912332, 1.701976, B
1.690001, 2.015549, 0.302989, 1.912332, 1.563895, B
1.690001, 1.929034, 0.232682, 1.912332, 1.644606, B
1.690001, 1.869003, 0.276423, 1.912332, 1.701976, B
1.690001, 1.880333, 0.287414, 1.912332, 1.606359, B
1.690001, 1.922140, 0.349071, 1.912332, 1.487852, B
1.690001, 1.952384, 0.331084, 1.912332, 1.545222, B
1.690001, 1.959432, 0.286938, 1.912332, 1.640839, B
1.690001, 1.890919, 0.261606, 1.912332, 1.755579, B
1.690001, 1.867272, 0.261346, 1.912332, 1.706683, B
1.690001, 1.823979, 0.274973, 1.912332, 1.701976, B
1.690001, 1.773245, 0.291909, 1.912332, 1.701976, B
1.690001, 1.758344, 0.302110, 1.912332, 1.625483, B
1.690001, 1.772170, 0.288279, 1.912332, 1.621716, B
1.690001, 1.782501, 0.339581, 1.912332, 1.545222, B
1.690001, 1.859583, 0.342866, 1.912332, 1.449606, B
1.690001, 1.806508, 0.286567, 1.912332, 1.701976, B
1.690001, 1.711105, 0.223732, 1.912332, 1.759346, B
1.690001, 1.710517, 0.229461, 1.912332, 1.557463, B
1.690001, 1.721404, 0.244519, 1.912332, 1.611066, B
1.690001, 1.707613, 0.232333, 1.912332, 1.606359, B
1.690001, 1.709183, 0.274741, 1.912332, 1.564346, B
1.690001, 1.748658, 0.270012, 1.912332, 1.611066, B
1.690001, 1.715583, 0.313958, 1.912332, 1.653080, B
1.690001, 1.720119, 0.292377, 1.912332, 1.583469, B
1.690001, 1.684864, 0.239332, 1.912332, 1.701976, B
1.690001, 1.716002, 0.323413, 1.912332, 1.568113, B
1.690001, 1.702143, 0.324291, 1.912332, 1.644606, B
1.690001, 1.649932, 0.284178, 1.912332, 1.721099, B
1.690001, 1.607860, 0.259170, 1.912332, 1.721099, B
1.690001, 1.557429, 0.260264, 1.912332, 1.714572, B
1.690001, 1.515293, 0.268483, 1.912332, 1.721099, B
1.690001, 1.498653, 0.231514, 1.912332, 1.718923, B
1.690001, 1.530290, 0.258959, 1.912332, 1.553696, B
1.690001, 1.578430, 0.271803, 1.912332, 1.510743, B
1.690001, 1.554332, 0.248265, 1.912332, 1.663729, B
1.690001, 1.560013, 0.253260, 1.912332, 1.659962, B
1.690001, 1.543074, 0.244712, 1.912332, 1.682853, B
1.690001, 1.525279, 0.302535, 1.912332, 1.644606, B
1.690001, 1.499849, 0.238007, 1.912332, 1.653080, B
1.690001, 1.486592, 0.215370, 1.912332, 1.633956, B
1.690001, 1.469278, 0.233887, 1.912332, 1.653080, B
1.690001, 1.467743, 0.236112, 1.912332, 1.644606, B
1.690001, 1.444965, 0.227553, 1.912332, 1.698209, B
1.690001, 1.461781, 0.251341, 1.912332, 1.568113, B
1.690001, 1.476358, 0.269028, 1.912332, 1.644606, B
1.690001, 1.530484, 0.269155, 1.912332, 1.526099, B
1.690001, 1.589242, 0.268656, 1.912332, 1.568113, B
